,Mean,2.5%,97.5%,ESS,Rhat
mu_beta,5.79,4.59,6.97,4017,1.0
beta[1],8.94,8.03,9.9,1829,1.0
beta[2],8.44,7.91,9.02,2204,1.0
mu_delta[1],1.78,0.38,4.19,3256,1.0
mu_delta[2],1.57,0.36,3.64,3741,1.0
mu_delta[3],1.36,0.28,3.31,4329,1.0
"delta[1,1]",0.42,0.37,0.47,1895,1.0
"delta[2,1]",0.39,0.36,0.42,2504,1.0
"delta[1,2]",0.35,0.29,0.42,4980,1.0
"delta[2,2]",0.3,0.27,0.34,5185,1.0
"delta[1,3]",0.23,0.14,0.3,2236,1.0
"delta[2,3]",0.3,0.26,0.35,2722,1.0
mu_alpha[1],1.23,0.07,2.36,5208,1.0
mu_alpha[2],3.42,2.27,4.63,4699,1.0
mu_alpha[3],4.88,3.74,6.01,5485,1.0
"alpha[1,1]",2.18,1.94,2.43,3992,1.0
"alpha[2,1]",1.51,1.39,1.63,4424,1.0
"alpha[1,2]",5.75,5.28,6.23,3947,1.0
"alpha[2,2]",4.52,4.3,4.75,4286,1.0
"alpha[1,3]",7.9,7.29,8.57,3361,1.0
"alpha[2,3]",6.72,6.41,7.06,3899,1.0
alpha_pre[1],0.56,0.5,0.63,5061,1.0
alpha_pre[2],2.04,1.94,2.14,6585,1.0
alpha_pre[3],3.05,2.91,3.2,5907,1.0
