,,,mean,2.5%,97.5%
Control,"Yes, definitely","Yes, definitely",0.8975451693895038,0.8743735329331556,0.9192132550458634
Control,"Yes, definitely","Unsure, lean yes",0.09919323552736747,0.07811255096313272,0.12164948140139563
Control,"Yes, definitely","Unsure, lean no",0.002869670577010644,0.001707245709417049,0.004451648304565978
Control,"Yes, definitely","No, definitely not",0.00039192450611710714,0.00019063694949353062,0.0006783360898493935
Control,"Unsure, lean yes","Yes, definitely",0.1698866262832199,0.12852353603539918,0.2154242547269788
Control,"Unsure, lean yes","Unsure, lean yes",0.7074378941335989,0.657193988346038,0.7562677529360351
Control,"Unsure, lean yes","Unsure, lean no",0.10613948207436404,0.07415593827098917,0.1417741625814926
Control,"Unsure, lean yes","No, definitely not",0.016535997508814886,0.008885319201916672,0.02650810990533279
Control,"Unsure, lean no","Yes, definitely",0.00908969115861381,0.0045855801731393845,0.015776915126303644
Control,"Unsure, lean no","Unsure, lean yes",0.23136738524347164,0.15303224298333837,0.3206538109522685
Control,"Unsure, lean no","Unsure, lean no",0.4839983311551571,0.4011993811051147,0.5715843531555684
Control,"Unsure, lean no","No, definitely not",0.2755445924427579,0.19154633087589712,0.37009282970065854
Control,"No, definitely not","Yes, definitely",0.001279659338005761,0.0004611484276855561,0.002841126407363339
Control,"No, definitely not","Unsure, lean yes",0.041512983519718466,0.016011776210215,0.0839051761645498
Control,"No, definitely not","Unsure, lean no",0.2235022394426627,0.11626344767724121,0.34932293159896305
Control,"No, definitely not","No, definitely not",0.7337051176996133,0.5758573779028144,0.8631034982873241
Treatment,"Yes, definitely","Yes, definitely",0.8183267969316708,0.8003063569536097,0.8359108944165069
Treatment,"Yes, definitely","Unsure, lean yes",0.17087073843518277,0.15444938293380456,0.1877364993069301
Treatment,"Yes, definitely","Unsure, lean no",0.009584729045283595,0.007554719182571676,0.011889812323669476
Treatment,"Yes, definitely","No, definitely not",0.0012177355878584904,0.0008622698607498258,0.0016490509708494945
Treatment,"Unsure, lean yes","Yes, definitely",0.14188227661723554,0.12051420293265079,0.16574758343644405
Treatment,"Unsure, lean yes","Unsure, lean yes",0.6289295105686414,0.5993487258028889,0.6577458443831371
Treatment,"Unsure, lean yes","Unsure, lean no",0.19703627274741267,0.17326069240775324,0.22194431680186522
Treatment,"Unsure, lean yes","No, definitely not",0.03215194006671061,0.02411031277534547,0.04123558508163737
Treatment,"Unsure, lean no","Yes, definitely",0.01283584706956698,0.009036932768140191,0.017559345117391354
Treatment,"Unsure, lean no","Unsure, lean yes",0.19577024169383622,0.15547781481475131,0.23831968685032326
Treatment,"Unsure, lean no","Unsure, lean no",0.49339899685477534,0.44993312700857563,0.5380751995913404
Treatment,"Unsure, lean no","No, definitely not",0.2979949143818216,0.2472760343422998,0.35238032026170246
Treatment,"No, definitely not","Yes, definitely",0.0010152659179669564,0.0005574041953036061,0.0016251711044179607
Treatment,"No, definitely not","Unsure, lean yes",0.019237940836463404,0.011037195691366578,0.029796481224735667
Treatment,"No, definitely not","Unsure, lean no",0.13511443938790663,0.08717570402260133,0.18866254851716613
Treatment,"No, definitely not","No, definitely not",0.8446323538576628,0.7812892478544566,0.9003131216316999
Treatment-Control,"Yes, definitely","Yes, definitely",-0.07921837245782999,-0.10744767672651677,-0.04979281034949577
Treatment-Control,"Yes, definitely","Unsure, lean yes",0.07167750290781559,0.04385036115162165,0.09867889498363434
Treatment-Control,"Yes, definitely","Unsure, lean no",0.006715058468272928,0.004314606897131112,0.009304032811776112
Treatment-Control,"Yes, definitely","No, definitely not",0.0008258110817413812,0.0003931041778296646,0.00130755748509937
Treatment-Control,"Unsure, lean yes","Yes, definitely",-0.02800434966598406,-0.07753141354374836,0.018787993029404215
Treatment-Control,"Unsure, lean yes","Unsure, lean yes",-0.07850838356495925,-0.13425383980388217,-0.02083828181019009
Treatment-Control,"Unsure, lean yes","Unsure, lean no",0.09089679067304805,0.049282015719677524,0.1302481289989764
Treatment-Control,"Unsure, lean yes","No, definitely not",0.015615942557895609,0.0028794561547105667,0.027610317633257175
Treatment-Control,"Unsure, lean no","Yes, definitely",0.0037461559109531538,-0.003788211367758781,0.01013791832882491
Treatment-Control,"Unsure, lean no","Unsure, lean yes",-0.035597143549635585,-0.13301041664771923,0.05139514458258811
Treatment-Control,"Unsure, lean no","Unsure, lean no",0.009400665699619141,-0.08874353491803567,0.10496740998158158
Treatment-Control,"Unsure, lean no","No, definitely not",0.02245032193906325,-0.08277524584726038,0.12225382493439967
Treatment-Control,"No, definitely not","Yes, definitely",-0.0002643934200388028,-0.001863935667618176,0.0007901011543579023
Treatment-Control,"No, definitely not","Unsure, lean yes",-0.02227504268325532,-0.06502747741063081,0.0048613220050098644
Treatment-Control,"No, definitely not","Unsure, lean no",-0.08838780005475551,-0.21811494657093639,0.03199325604499233
Treatment-Control,"No, definitely not","No, definitely not",0.11092723615804996,-0.033627487869604115,0.2729915068581856
