,Mean,2.5%,97.5%,ESS,Rhat
mu_beta,5.66,4.51,6.83,5024,1.0
beta[1],8.72,7.98,9.54,2397,1.0
beta[2],8.25,7.76,8.78,2865,1.0
mu_delta[1],1.77,0.37,4.03,3996,1.0
mu_delta[2],1.51,0.31,3.55,4435,1.0
mu_delta[3],1.43,0.29,3.37,4253,1.0
"delta[1,1]",0.42,0.38,0.47,2952,1.0
"delta[2,1]",0.38,0.35,0.41,2943,1.0
"delta[1,2]",0.33,0.27,0.38,4806,1.0
"delta[2,2]",0.31,0.27,0.34,4891,1.0
"delta[1,3]",0.25,0.18,0.32,3177,1.0
"delta[2,3]",0.32,0.27,0.36,3020,1.0
mu_alpha[1],1.22,0.09,2.32,5146,1.0
mu_alpha[2],3.39,2.2,4.57,4908,1.0
mu_alpha[3],4.82,3.64,5.98,5446,1.0
"alpha[1,1]",2.21,1.94,2.49,3699,1.0
"alpha[2,1]",1.42,1.3,1.54,4745,1.0
"alpha[1,2]",5.87,5.43,6.33,3608,1.0
"alpha[2,2]",4.32,4.11,4.54,4004,1.0
"alpha[1,3]",8.07,7.5,8.68,3276,1.0
"alpha[2,3]",6.38,6.09,6.67,4478,1.0
alpha_pre[1],0.16,0.1,0.23,5332,1.0
alpha_pre[2],1.82,1.73,1.9,7538,1.0
alpha_pre[3],2.75,2.62,2.88,6421,1.0
