,,,mean,2.5%,97.5%
Control,"Yes, definitely","Yes, definitely",0.9003072810065327,0.8742241875605757,0.9233923908132899
Control,"Yes, definitely","Unsure, lean yes",0.09680215049419548,0.07447439357237226,0.12233452686291335
Control,"Yes, definitely","Unsure, lean no",0.0025633403935809923,0.0015730018094963383,0.0038835572870485366
Control,"Yes, definitely","No, definitely not",0.0003272281056925257,0.00017071787418589113,0.0005507541462477616
Control,"Unsure, lean yes","Yes, definitely",0.18655316432988223,0.14775639646872463,0.22799937806312973
Control,"Unsure, lean yes","Unsure, lean yes",0.7111053280419559,0.6655656164724777,0.7542854646108723
Control,"Unsure, lean yes","Unsure, lean no",0.08956882685098297,0.0647484222144824,0.11857587715435304
Control,"Unsure, lean yes","No, definitely not",0.012772680777178311,0.0070679137748143215,0.020395005482854618
Control,"Unsure, lean no","Yes, definitely",0.013767206958987865,0.007547116984386423,0.02280092764301611
Control,"Unsure, lean no","Unsure, lean yes",0.33082504684194897,0.24558180553870848,0.41864940544117973
Control,"Unsure, lean no","Unsure, lean no",0.47765647192145594,0.3969608008222437,0.5601240291955627
Control,"Unsure, lean no","No, definitely not",0.17775127427760798,0.1168582987190511,0.2537726695624418
Control,"No, definitely not","Yes, definitely",0.0015905249963723447,0.0006823582041513082,0.0029887088991224467
Control,"No, definitely not","Unsure, lean yes",0.055792172097121014,0.02708504016234578,0.09699272877995922
Control,"No, definitely not","Unsure, lean no",0.2880487157872726,0.19184418422660574,0.39747305070488037
Control,"No, definitely not","No, definitely not",0.6545685871192363,0.5184771384283103,0.771463839923908
Treatment,"Yes, definitely","Yes, definitely",0.8047192848600453,0.7854691049506058,0.8231439844068583
Treatment,"Yes, definitely","Unsure, lean yes",0.182049817788155,0.16500977978911904,0.19968943527876737
Treatment,"Yes, definitely","Unsure, lean no",0.011514990750372503,0.009170485861036476,0.014081618807909885
Treatment,"Yes, definitely","No, definitely not",0.0017159066014283458,0.0012633853149966595,0.002263940190579544
Treatment,"Unsure, lean yes","Yes, definitely",0.1536722913937179,0.13276571591009287,0.17530547019869563
Treatment,"Unsure, lean yes","Unsure, lean yes",0.6131676370097459,0.5855183621527394,0.6403231241424375
Treatment,"Unsure, lean yes","Unsure, lean no",0.19563132747619014,0.17378398359163297,0.21840380249728877
Treatment,"Unsure, lean yes","No, definitely not",0.03752874412034684,0.029104203550706767,0.047037369557298536
Treatment,"Unsure, lean no","Yes, definitely",0.01453992842566401,0.010592879010801073,0.019415647910254956
Treatment,"Unsure, lean no","Unsure, lean yes",0.19580372154497516,0.15822355585080405,0.23650685475936664
Treatment,"Unsure, lean no","Unsure, lean no",0.46430726245704296,0.4226978073082078,0.5063758279405043
Treatment,"Unsure, lean no","No, definitely not",0.32534908757231756,0.27302987082840124,0.3785036854675557
Treatment,"No, definitely not","Yes, definitely",0.0011094538622191776,0.0006361329151244681,0.0017329450940273665
Treatment,"No, definitely not","Unsure, lean yes",0.018608716689148066,0.01115002001637639,0.028553188840065667
Treatment,"No, definitely not","Unsure, lean no",0.11538295397388613,0.07645720784784447,0.16021856499836734
Treatment,"No, definitely not","No, definitely not",0.8648988754747472,0.811059388258484,0.9111550247995053
Treatment-Control,"Yes, definitely","Yes, definitely",-0.09558799614648554,-0.12493904299866423,-0.06449884517060811
Treatment-Control,"Yes, definitely","Unsure, lean yes",0.08524766729395811,0.05549560398329525,0.1136418750733937
Treatment-Control,"Yes, definitely","Unsure, lean no",0.008951650356791538,0.006315838282232721,0.011706543299743745
Treatment-Control,"Yes, definitely","No, definitely not",0.0013886784957358065,0.00089422664557402,0.0019714765429019844
Treatment-Control,"Unsure, lean yes","Yes, definitely",-0.032880872936165,-0.0806215493368175,0.011062944855565788
Treatment-Control,"Unsure, lean yes","Unsure, lean yes",-0.09793769103221119,-0.1481276129365303,-0.04450176332083075
Treatment-Control,"Unsure, lean yes","Unsure, lean no",0.1060625006252074,0.07121226523496209,0.13987090776799327
Treatment-Control,"Unsure, lean yes","No, definitely not",0.02475606334316862,0.013716061849748584,0.03569926817441157
Treatment-Control,"Unsure, lean no","Yes, definitely",0.0007727214666761252,-0.008628349184383337,0.008627422149594811
Treatment-Control,"Unsure, lean no","Unsure, lean yes",-0.13502132529697408,-0.22948786893380246,-0.04320956719136809
Treatment-Control,"Unsure, lean no","Unsure, lean no",-0.013349209464412246,-0.10416336247004783,0.07661642818018911
Treatment-Control,"Unsure, lean no","No, definitely not",0.14759781329470978,0.058749987053215304,0.22904304650404736
Treatment-Control,"No, definitely not","Yes, definitely",-0.0004810711341531687,-0.0020023738457242693,0.0006118823348293321
Treatment-Control,"No, definitely not","Unsure, lean yes",-0.03718345540797277,-0.07822539314925056,-0.007162560185732285
Treatment-Control,"No, definitely not","Unsure, lean no",-0.1726657618133859,-0.2859662486693074,-0.068850039521615
Treatment-Control,"No, definitely not","No, definitely not",0.2103302883555124,0.08127823699263872,0.352458691422656
