,,mean,2.5%,97.5%
Pre Exposure,"Yes, definitely",0.569987587192772,0.5380879338032405,0.6001771175335565
Pre Exposure,"Unsure, lean yes",0.2201224468255544,0.19431009363665822,0.2462016228217503
Pre Exposure,"Unsure, lean no",0.0875775767795641,0.07089706744166495,0.10572450723190142
Pre Exposure,"No, definitely not",0.12231238920211081,0.10230918510596149,0.14347102257017164
Post Exposure,"Yes, definitely",0.5480618241571154,0.517380826985706,0.5772539014676057
Post Exposure,"Unsure, lean yes",0.21429006577702367,0.18973712155757264,0.2409129212652005
Post Exposure,"Unsure, lean no",0.10849383575115483,0.08978200410107878,0.12831269139736576
Post Exposure,"No, definitely not",0.12915427431470536,0.11008233265487467,0.14947109446443516
Post-Pre,"Yes, definitely",-0.02192576303565422,-0.06444250560547278,0.020859905818943928
Post-Pre,"Unsure, lean yes",-0.00583238104853107,-0.042224593137285944,0.03040636304904015
Post-Pre,"Unsure, lean no",0.020916258971590537,-0.004960648045846364,0.046885916148646754
Post-Pre,"No, definitely not",0.0068418851125947025,-0.022515658118839706,0.03509826888348625
