,,mean,2.5%,97.5%
Pre Exposure,"Yes, definitely",0.4582839519972486,0.42701838064195236,0.488816273829905
Pre Exposure,"Unsure, lean yes",0.2762185951056158,0.24831366124689577,0.3043339800606704
Pre Exposure,"Unsure, lean no",0.12129637609529116,0.10171610948619642,0.14298372356986688
Pre Exposure,"No, definitely not",0.14420107680184496,0.12281567166107676,0.16666710257304113
Post Exposure,"Yes, definitely",0.4810212735200732,0.44929795423145397,0.5122551610804124
Post Exposure,"Unsure, lean yes",0.24419702923721076,0.21736463131782408,0.2724534791953958
Post Exposure,"Unsure, lean no",0.12176143087038405,0.1024591209922672,0.14183077733260327
Post Exposure,"No, definitely not",0.1530202663723308,0.13137963165802574,0.1761677973087669
Post-Pre,"Yes, definitely",0.0227373215228245,-0.02085101523428396,0.06632951778734346
Post-Pre,"Unsure, lean yes",-0.032021565868404066,-0.07073720206207583,0.008506457418534114
Post-Pre,"Unsure, lean no",0.00046505477509302265,-0.028624984327620083,0.02888008246458901
Post-Pre,"No, definitely not",0.00881918957048652,-0.021712071383717446,0.03880848537886949
