,,mean,2.5%,97.5%
Pre Exposure,"Yes, definitely",0.5204448328916526,0.5024496005760688,0.5381489654131012
Pre Exposure,"Unsure, lean yes",0.2556289369455778,0.24010334422299595,0.2712373706903749
Pre Exposure,"Unsure, lean no",0.10485123382230231,0.09408266760125733,0.11615060371391898
Pre Exposure,"No, definitely not",0.11907499634046721,0.10769952713378758,0.13106430979113443
Post Exposure,"Yes, definitely",0.4465146740676982,0.4289641584159781,0.4641644362644069
Post Exposure,"Unsure, lean yes",0.27242764074837894,0.25696221346745096,0.28860980842496103
Post Exposure,"Unsure, lean no",0.12775194888772073,0.11568722975105408,0.1402727235608263
Post Exposure,"No, definitely not",0.15330573629620267,0.14070237870938287,0.16616596124260027
Post-Pre,"Yes, definitely",-0.07393015882395614,-0.09933110748231362,-0.04814470849492435
Post-Pre,"Unsure, lean yes",0.016798703802801133,-0.00556163278041476,0.03938343031410999
Post-Pre,"Unsure, lean no",0.02290071506541856,0.006177230842780485,0.03998651724565746
Post-Pre,"No, definitely not",0.03423073995573611,0.01735540088245431,0.05110845155102116
