,Mean,2.5%,97.5%,ESS,Rhat
mu_beta,5.02,3.85,6.18,6419,1.0
beta[1],7.45,6.83,8.11,3521,1.0
beta[2],7.63,7.22,8.04,2935,1.0
mu_delta[1],1.74,0.38,4.06,4493,1.0
mu_delta[2],1.46,0.31,3.36,4578,1.0
mu_delta[3],1.49,0.32,3.53,4424,1.0
"delta[1,1]",0.41,0.37,0.46,4443,1.0
"delta[2,1]",0.38,0.35,0.41,3744,1.0
"delta[1,2]",0.31,0.25,0.38,5862,1.0
"delta[2,2]",0.28,0.25,0.31,6857,1.0
"delta[1,3]",0.27,0.21,0.34,4734,1.0
"delta[2,3]",0.34,0.3,0.38,4507,1.0
mu_alpha[1],1.07,-0.03,2.2,6243,1.0
mu_alpha[2],2.77,1.65,3.91,5497,1.0
mu_alpha[3],4.0,2.85,5.14,6138,1.0
"alpha[1,1]",1.93,1.69,2.19,4652,1.0
"alpha[2,1]",1.3,1.19,1.43,5250,1.0
"alpha[1,2]",4.4,4.03,4.79,3997,1.0
"alpha[2,2]",3.9,3.69,4.1,4687,1.0
"alpha[1,3]",6.25,5.75,6.77,3765,1.0
"alpha[2,3]",5.74,5.48,6.02,4031,1.0
alpha_pre[1],0.13,0.07,0.19,5808,1.0
alpha_pre[2],1.26,1.19,1.33,9575,1.0
alpha_pre[3],1.99,1.9,2.09,9981,1.0
