,,,mean,2.5%,97.5%
Control,"Yes, definitely","Yes, definitely",0.8730573921994231,0.8447128663353491,0.8992872648051611
Control,"Yes, definitely","Unsure, lean yes",0.11460672432908808,0.09044974155177067,0.14068438641965025
Control,"Yes, definitely","Unsure, lean no",0.010344835896566524,0.006883110283780242,0.014635835071703376
Control,"Yes, definitely","No, definitely not",0.001991047574921708,0.0011500833634197267,0.0031577633790283747
Control,"Unsure, lean yes","Yes, definitely",0.2424060595488772,0.1913309150805541,0.29509676590455275
Control,"Unsure, lean yes","Unsure, lean yes",0.5461211668030358,0.49360319625582405,0.5997727977058673
Control,"Unsure, lean yes","Unsure, lean no",0.17029030681584637,0.13296088561983369,0.21018676844788572
Control,"Unsure, lean yes","No, definitely not",0.04118246683223853,0.026074483762486132,0.06051380698397279
Control,"Unsure, lean no","Yes, definitely",0.031071872508081473,0.018441804462151087,0.047822680094841793
Control,"Unsure, lean no","Unsure, lean yes",0.2392077842045527,0.17728107384375869,0.3066037742759152
Control,"Unsure, lean no","Unsure, lean no",0.4277963411580167,0.3614315354869968,0.49609330874528584
Control,"Unsure, lean no","No, definitely not",0.30192400212934906,0.22600919212452386,0.3863386931997612
Control,"No, definitely not","Yes, definitely",0.004192325108505549,0.0021941680081229526,0.007171049236144804
Control,"No, definitely not","Unsure, lean yes",0.04246378094946309,0.024710254268546412,0.06621995031212749
Control,"No, definitely not","Unsure, lean no",0.18683269462167565,0.1326292820429744,0.24830834860821535
Control,"No, definitely not","No, definitely not",0.7665111993203566,0.6890244942544635,0.8358404536289402
Treatment,"Yes, definitely","Yes, definitely",0.7863874211778844,0.7658823651797946,0.8068409697631219
Treatment,"Yes, definitely","Unsure, lean yes",0.19360083756514493,0.17507360501786784,0.21175333641734045
Treatment,"Yes, definitely","Unsure, lean no",0.016789056722526723,0.01356244902092157,0.020521069217900978
Treatment,"Yes, definitely","No, definitely not",0.0032226845344458426,0.0024253844649165025,0.00416962243463065
Treatment,"Unsure, lean yes","Yes, definitely",0.17168573093713543,0.1494556595406058,0.19664287974402647
Treatment,"Unsure, lean yes","Unsure, lean yes",0.5622426894482587,0.5340255301607247,0.5903562965068069
Treatment,"Unsure, lean yes","Unsure, lean no",0.21175307118319917,0.18931780830146536,0.2356635652619041
Treatment,"Unsure, lean yes","No, definitely not",0.05431850843140512,0.04353792500841659,0.06680480523894006
Treatment,"Unsure, lean no","Yes, definitely",0.023751693006496596,0.018101137869842118,0.030776850170170088
Treatment,"Unsure, lean no","Unsure, lean yes",0.22042874359031478,0.18701994615930972,0.2554973237447908
Treatment,"Unsure, lean no","Unsure, lean no",0.42675702142041566,0.39105628540374826,0.4640417910368203
Treatment,"Unsure, lean no","No, definitely not",0.3290625419827738,0.2855796008618952,0.3721233012220781
Treatment,"No, definitely not","Yes, definitely",0.0018267370579546623,0.0012120628861079187,0.0026608961933983675
Treatment,"No, definitely not","Unsure, lean yes",0.021939512634878932,0.015405814785810202,0.03050222780934872
Treatment,"No, definitely not","Unsure, lean no",0.1092489498257173,0.08156670212843484,0.1392607099633891
Treatment,"No, definitely not","No, definitely not",0.8669848004814469,0.829595893625218,0.9006147772720394
Treatment-Control,"Yes, definitely","Yes, definitely",-0.08666997102154089,-0.12074653257444974,-0.053459964790912924
Treatment-Control,"Yes, definitely","Unsure, lean yes",0.07899411323605614,0.04886276231150053,0.1096403170342683
Treatment-Control,"Yes, definitely","Unsure, lean no",0.006444220825960193,0.0010597396801484277,0.011661491817112977
Treatment-Control,"Yes, definitely","No, definitely not",0.0012316369595241348,-0.00015629160236454436,0.002506676429380556
Treatment-Control,"Unsure, lean yes","Yes, definitely",-0.07072032861174204,-0.128515107791315,-0.015422147455918293
Treatment-Control,"Unsure, lean yes","Unsure, lean yes",0.01612152264522281,-0.04406188077331029,0.07477459715686478
Treatment-Control,"Unsure, lean yes","Unsure, lean no",0.04146276436735285,-0.00663382796932064,0.0858984042947517
Treatment-Control,"Unsure, lean yes","No, definitely not",0.013136041599166417,-0.008929144524858532,0.03296939946150451
Treatment-Control,"Unsure, lean no","Yes, definitely",-0.007320179501584804,-0.024388024944027524,0.006523000861299264
Treatment-Control,"Unsure, lean no","Unsure, lean yes",-0.018779040614238206,-0.09242733528335141,0.053232322214280176
Treatment-Control,"Unsure, lean no","Unsure, lean no",-0.001039319737602157,-0.07924105114320816,0.07550686887357308
Treatment-Control,"Unsure, lean no","No, definitely not",0.02713853985342504,-0.06608801434114016,0.11503833026635826
Treatment-Control,"No, definitely not","Yes, definitely",-0.002365588050550885,-0.005360269806033813,-0.00023444449266958573
Treatment-Control,"No, definitely not","Unsure, lean yes",-0.020524268314584065,-0.046241090680419886,-0.00019447068330042967
Treatment-Control,"No, definitely not","Unsure, lean no",-0.0775837447959577,-0.14454221528000288,-0.013708952191157522
Treatment-Control,"No, definitely not","No, definitely not",0.10047360116109236,0.02060793300502607,0.18709570564933983
