,Mean,2.5%,97.5%,ESS,Rhat
mu_beta,4.96,3.79,6.16,7100,1.0
beta[1],7.53,6.91,8.15,3457,1.0
beta[2],7.34,6.99,7.69,3931,1.0
mu_delta[1],1.73,0.39,4.12,4927,1.0
mu_delta[2],1.45,0.31,3.45,5333,1.0
mu_delta[3],1.59,0.35,3.71,5089,1.0
"delta[1,1]",0.38,0.34,0.43,3965,1.0
"delta[2,1]",0.38,0.35,0.4,3547,1.0
"delta[1,2]",0.29,0.24,0.35,5611,1.0
"delta[2,2]",0.29,0.26,0.32,5992,1.0
"delta[1,3]",0.33,0.27,0.38,5105,1.0
"delta[2,3]",0.33,0.3,0.37,4516,1.0
mu_alpha[1],1.09,0.01,2.21,6030,1.0
mu_alpha[2],2.77,1.66,3.9,6242,1.0
mu_alpha[3],4.0,2.83,5.21,6273,1.0
"alpha[1,1]",1.93,1.67,2.22,4033,1.0
"alpha[2,1]",1.33,1.19,1.47,4531,1.0
"alpha[1,2]",4.41,4.03,4.8,3772,1.0
"alpha[2,2]",3.93,3.73,4.14,3934,1.0
"alpha[1,3]",6.24,5.76,6.72,3590,1.0
"alpha[2,3]",5.8,5.54,6.06,4126,1.0
alpha_pre[1],-0.3,-0.36,-0.24,5519,1.0
alpha_pre[2],0.97,0.9,1.04,8519,1.0
alpha_pre[3],1.73,1.65,1.82,9461,1.0
