,,,mean,2.5%,97.5%
Control,"Yes, definitely","Yes, definitely",0.8728600457318634,0.8421732100836004,0.9019293450971614
Control,"Yes, definitely","Unsure, lean yes",0.11493079330140955,0.08855372015660258,0.14275326807057956
Control,"Yes, definitely","Unsure, lean no",0.010195224402934295,0.006770540763500304,0.014626046259982414
Control,"Yes, definitely","No, definitely not",0.002013936563791547,0.001204137284346432,0.0031369527740430173
Control,"Unsure, lean yes","Yes, definitely",0.2845300029248922,0.23819086315570814,0.33458125363826424
Control,"Unsure, lean yes","Unsure, lean yes",0.5398695888705479,0.4914832228521081,0.589229693937948
Control,"Unsure, lean yes","Unsure, lean no",0.14190714041361904,0.11199724193158749,0.1760057275012913
Control,"Unsure, lean yes","No, definitely not",0.03369326779093945,0.02236982490104979,0.04845759809299893
Control,"Unsure, lean no","Yes, definitely",0.04229706352271989,0.02712667756430027,0.06163810476910987
Control,"Unsure, lean no","Unsure, lean yes",0.29857107302486263,0.23972701346180997,0.3630164324434505
Control,"Unsure, lean no","Unsure, lean no",0.4189105493068409,0.35912428439486616,0.4808723868134946
Control,"Unsure, lean no","No, definitely not",0.2402213141455773,0.18106119270804458,0.3070062159937222
Control,"No, definitely not","Yes, definitely",0.003858269295482789,0.002097645381237563,0.0064304019563845806
Control,"No, definitely not","Unsure, lean yes",0.039761073467415135,0.023922794469893722,0.06110772800834546
Control,"No, definitely not","Unsure, lean no",0.17376340288807066,0.12320277285803125,0.2297305084338931
Control,"No, definitely not","No, definitely not",0.7826172543490335,0.7091319994910532,0.8461276348649224
Treatment,"Yes, definitely","Yes, definitely",0.7908193016118923,0.7673974103760395,0.8134754484748045
Treatment,"Yes, definitely","Unsure, lean yes",0.18974802937714144,0.16922192874580608,0.21085298444088138
Treatment,"Yes, definitely","Unsure, lean no",0.016378555916654443,0.013225504784728127,0.019870118566709602
Treatment,"Yes, definitely","No, definitely not",0.0030541130943100123,0.0023291155357495655,0.003922145530868468
Treatment,"Unsure, lean yes","Yes, definitely",0.19394177785262848,0.1709781740148852,0.21740873115367945
Treatment,"Unsure, lean yes","Unsure, lean yes",0.5687542656477172,0.5418004034970092,0.5959450040774669
Treatment,"Unsure, lean yes","Unsure, lean no",0.19138076452278543,0.17148944067758679,0.21262387729202398
Treatment,"Unsure, lean yes","No, definitely not",0.0459231919768722,0.03711433140637986,0.05589749409329795
Treatment,"Unsure, lean no","Yes, definitely",0.027963430544085746,0.021547951687017376,0.03531986434442845
Treatment,"Unsure, lean no","Unsure, lean yes",0.24916607116936856,0.21487188206732694,0.2841602441763795
Treatment,"Unsure, lean no","Unsure, lean no",0.435302047025756,0.4008244709656869,0.4694741821252364
Treatment,"Unsure, lean no","No, definitely not",0.28756845126079106,0.24761153565025804,0.3288990403566949
Treatment,"No, definitely not","Yes, definitely",0.002498349642835191,0.0017583678011566638,0.003414291273214916
Treatment,"No, definitely not","Unsure, lean yes",0.029863555953991133,0.02198898446016593,0.03892800343202056
Treatment,"No, definitely not","Unsure, lean no",0.14514466545023272,0.11762076489819004,0.17314081569371803
Treatment,"No, definitely not","No, definitely not",0.8224934289529425,0.78702074175549,0.8566938432515034
Treatment-Control,"Yes, definitely","Yes, definitely",-0.08204074411997066,-0.12047121687102214,-0.044202982951169596
Treatment-Control,"Yes, definitely","Unsure, lean yes",0.07481723607573203,0.04020436772111309,0.10873057498039887
Treatment-Control,"Yes, definitely","Unsure, lean no",0.006183331513720144,0.0009371167709418844,0.011136005554128392
Treatment-Control,"Yes, definitely","No, definitely not",0.0010401765305184565,-0.00026954100558111975,0.002232002841206313
Treatment-Control,"Unsure, lean yes","Yes, definitely",-0.09058822507226401,-0.1455311715958076,-0.038635655882205536
Treatment-Control,"Unsure, lean yes","Unsure, lean yes",0.028884676777164702,-0.026805833093666027,0.08381248010538124
Treatment-Control,"Unsure, lean yes","Unsure, lean no",0.04947362410916677,0.011596727827225374,0.08527827517989252
Treatment-Control,"Unsure, lean yes","No, definitely not",0.01222992418593265,-0.004830574987494933,0.027624529814866097
Treatment-Control,"Unsure, lean no","Yes, definitely",-0.014333632978634039,-0.03490222118092434,0.0025966928549952077
Treatment-Control,"Unsure, lean no","Unsure, lean yes",-0.049405001855494284,-0.12127924250665724,0.01895360044765409
Treatment-Control,"Unsure, lean no","Unsure, lean no",0.016391497718914592,-0.05279339132457746,0.0852351702674175
Treatment-Control,"Unsure, lean no","No, definitely not",0.04734713711521362,-0.028016536552414317,0.11963725370990055
Treatment-Control,"No, definitely not","Yes, definitely",-0.0013599196526475964,-0.004008269319143302,0.0006147853786331521
Treatment-Control,"No, definitely not","Unsure, lean yes",-0.00989751751342394,-0.03235465148649195,0.008150444071490945
Treatment-Control,"No, definitely not","Unsure, lean no",-0.028618737437837563,-0.09077527594030725,0.02825932312204402
Treatment-Control,"No, definitely not","No, definitely not",0.03987617460390906,-0.032227532180213014,0.12105564130725446
