,Mean,2.5%,97.5%,ESS,Rhat
mu_beta,5.8,4.62,7.03,4568,1.0
beta[1],8.97,8.04,9.93,2358,1.0
beta[2],8.43,7.9,9.03,2260,1.0
mu_delta[1],1.79,0.37,4.35,4388,1.0
mu_delta[2],1.55,0.33,3.71,4034,1.0
mu_delta[3],1.38,0.28,3.28,4629,1.0
"delta[1,1]",0.42,0.37,0.48,2963,1.0
"delta[2,1]",0.39,0.36,0.42,2308,1.0
"delta[1,2]",0.35,0.29,0.42,5331,1.0
"delta[2,2]",0.3,0.27,0.34,5465,1.0
"delta[1,3]",0.23,0.14,0.31,3066,1.0
"delta[2,3]",0.3,0.26,0.35,2766,1.0
mu_alpha[1],1.23,0.12,2.35,5235,1.0
mu_alpha[2],3.43,2.32,4.52,5806,1.0
mu_alpha[3],4.87,3.7,6.06,6192,1.0
"alpha[1,1]",2.17,1.93,2.43,5400,1.0
"alpha[2,1]",1.51,1.39,1.62,4232,1.0
"alpha[1,2]",5.74,5.29,6.23,4325,1.0
"alpha[2,2]",4.52,4.3,4.74,4224,1.0
"alpha[1,3]",7.89,7.27,8.54,3858,1.0
"alpha[2,3]",6.72,6.4,7.05,3906,1.0
