,Mean,2.5%,97.5%,ESS,Rhat
mu_beta,5.66,4.51,6.81,4812,1.0
beta[1],8.73,7.94,9.57,2530,1.0
beta[2],8.24,7.77,8.77,2671,1.0
mu_delta[1],1.77,0.36,4.31,4042,1.0
mu_delta[2],1.52,0.31,3.64,4003,1.0
mu_delta[3],1.44,0.3,3.42,4616,1.0
"delta[1,1]",0.42,0.38,0.47,2872,1.0
"delta[2,1]",0.38,0.35,0.41,2980,1.0
"delta[1,2]",0.32,0.27,0.38,5308,1.0
"delta[2,2]",0.31,0.27,0.34,5226,1.0
"delta[1,3]",0.25,0.18,0.32,3128,1.0
"delta[2,3]",0.31,0.27,0.36,3178,1.0
mu_alpha[1],1.19,-0.02,2.4,6568,1.0
mu_alpha[2],3.4,2.19,4.55,5791,1.0
mu_alpha[3],4.81,3.68,5.96,6154,1.0
"alpha[1,1]",2.21,1.94,2.5,4088,1.0
"alpha[2,1]",1.42,1.3,1.54,5264,1.0
"alpha[1,2]",5.87,5.43,6.34,4258,1.0
"alpha[2,2]",4.32,4.11,4.53,4027,1.0
"alpha[1,3]",8.08,7.48,8.7,3689,1.0
"alpha[2,3]",6.38,6.09,6.66,4272,1.0
