,,,mean,2.5%,97.5%
Control,"Yes, definitely","Yes, definitely",0.8973267194994575,0.8727255748161876,0.9194055870755887
Control,"Yes, definitely","Unsure, lean yes",0.0993813719163848,0.0779248660853091,0.12325602826258619
Control,"Yes, definitely","Unsure, lean no",0.002899624684522609,0.0017129561875942668,0.004435875355234878
Control,"Yes, definitely","No, definitely not",0.00039228389963413715,0.00019509641699103354,0.0006957877863554174
Control,"Unsure, lean yes","Yes, definitely",0.1701117475954587,0.12811132775454384,0.21693705770762073
Control,"Unsure, lean yes","Unsure, lean yes",0.7065035580821383,0.6537864516122228,0.7573963356535669
Control,"Unsure, lean yes","Unsure, lean no",0.10685347184243606,0.07488808219796836,0.14334049046338185
Control,"Unsure, lean yes","No, definitely not",0.01653122247996479,0.008971229158608967,0.027329109662584596
Control,"Unsure, lean no","Yes, definitely",0.009130532924728768,0.004545775875385642,0.015836088762447777
Control,"Unsure, lean no","Unsure, lean yes",0.2305884048207816,0.15566084881155764,0.3195736133741244
Control,"Unsure, lean no","Unsure, lean no",0.4856423212528512,0.3975883660646232,0.5714068818819494
Control,"Unsure, lean no","No, definitely not",0.2746387410016375,0.18938035158753497,0.3725851104161777
Control,"No, definitely not","Yes, definitely",0.001254510565982491,0.00043495468253544416,0.002801558156844666
Control,"No, definitely not","Unsure, lean yes",0.04033091338388341,0.015330628353226168,0.08153465877786213
Control,"No, definitely not","Unsure, lean no",0.22028838706484005,0.11509264840163348,0.34614485899557396
Control,"No, definitely not","No, definitely not",0.7381261889852935,0.5785203592801483,0.864472440126756
Treatment,"Yes, definitely","Yes, definitely",0.8182016838829291,0.8003307494683375,0.8350755877273276
Treatment,"Yes, definitely","Unsure, lean yes",0.1709757241545294,0.15512531595375914,0.18779129033357816
Treatment,"Yes, definitely","Unsure, lean no",0.00960243306881622,0.007600720429366626,0.011872278340957757
Treatment,"Yes, definitely","No, definitely not",0.0012201588937249363,0.0008645282655048492,0.001664450573447285
Treatment,"Unsure, lean yes","Yes, definitely",0.14199519338627098,0.12041023522326724,0.16518754323594764
Treatment,"Unsure, lean yes","Unsure, lean yes",0.6287523442904749,0.5993122471220405,0.6579306823033305
Treatment,"Unsure, lean yes","Unsure, lean no",0.1970883377902321,0.17181028164322465,0.22300789882052968
Treatment,"Unsure, lean yes","No, definitely not",0.03216412453302034,0.023972035926708907,0.04179399589737135
Treatment,"Unsure, lean no","Yes, definitely",0.012854776062177166,0.009122763992337423,0.01755561738232184
Treatment,"Unsure, lean no","Unsure, lean yes",0.19580716505575027,0.1571122015177885,0.2377205871671288
Treatment,"Unsure, lean no","Unsure, lean no",0.4935155437442036,0.44650989763350285,0.5407537234159868
Treatment,"Unsure, lean no","No, definitely not",0.2978225151378681,0.24451952940815838,0.3514022895362186
Treatment,"No, definitely not","Yes, definitely",0.0010163333541045266,0.000544998295635314,0.0016521391525356679
Treatment,"No, definitely not","Unsure, lean yes",0.019218307467939243,0.010707204543478033,0.030113768404696515
Treatment,"No, definitely not","Unsure, lean no",0.1350137440572358,0.08651090257263987,0.18978608531034644
Treatment,"No, definitely not","No, definitely not",0.8447516151207225,0.7812898603194213,0.900953648267182
Treatment-Control,"Yes, definitely","Yes, definitely",-0.07912503561652874,-0.10777438852221688,-0.04900255510834268
Treatment-Control,"Yes, definitely","Unsure, lean yes",0.0715943522381445,0.042533586160886816,0.09883163628490287
Treatment-Control,"Yes, definitely","Unsure, lean no",0.006702808384293606,0.004228902782409466,0.009267969392287407
Treatment-Control,"Yes, definitely","No, definitely not",0.0008278749940908014,0.0003659252247274536,0.0013186418119134958
Treatment-Control,"Unsure, lean yes","Yes, definitely",-0.028116554209188616,-0.0798783793595375,0.02104265872865304
Treatment-Control,"Unsure, lean yes","Unsure, lean yes",-0.07775121379166318,-0.13461848589516776,-0.01960897512745532
Treatment-Control,"Unsure, lean yes","Unsure, lean no",0.0902348659477957,0.047410362991278605,0.1323718650621697
Treatment-Control,"Unsure, lean yes","No, definitely not",0.0156329020530557,0.0018790047914961417,0.02804418818265354
Treatment-Control,"Unsure, lean no","Yes, definitely",0.003724243137448363,-0.0038325716900463563,0.010105020043956681
Treatment-Control,"Unsure, lean no","Unsure, lean yes",-0.034781239765030836,-0.13138037965709878,0.050384982499665304
Treatment-Control,"Unsure, lean no","Unsure, lean no",0.007873222491351806,-0.09018313204710214,0.10974223359226781
Treatment-Control,"Unsure, lean no","No, definitely not",0.023183774136230843,-0.08798774596735805,0.12587052957337394
Treatment-Control,"No, definitely not","Yes, definitely",-0.00023817721187796115,-0.0018380459575084087,0.0008235092708367026
Treatment-Control,"No, definitely not","Unsure, lean yes",-0.021112605915944042,-0.06291237795500561,0.005969647278916956
Treatment-Control,"No, definitely not","Unsure, lean no",-0.08527464300760475,-0.2182059265431615,0.03346036004528217
Treatment-Control,"No, definitely not","No, definitely not",0.1066254261354266,-0.03778618702410007,0.2701965658614634
