,,,mean,2.5%,97.5%
Control,"Yes, definitely","Yes, definitely",0.9000944816098023,0.8739875726200782,0.9238047913853042
Control,"Yes, definitely","Unsure, lean yes",0.09701013533760071,0.07400112230699345,0.12230715536828689
Control,"Yes, definitely","Unsure, lean no",0.002569144130341576,0.0015544766573925728,0.0038934675169617324
Control,"Yes, definitely","No, definitely not",0.00032623892225406415,0.00016740319606824426,0.0005615024750790207
Control,"Unsure, lean yes","Yes, definitely",0.18577536137759104,0.14884286795596682,0.22749034426152137
Control,"Unsure, lean yes","Unsure, lean yes",0.7115667936089456,0.6649766855057707,0.7547281276045857
Control,"Unsure, lean yes","Unsure, lean no",0.08991249004628403,0.06449872190218608,0.1195210277078275
Control,"Unsure, lean yes","No, definitely not",0.012745354967180296,0.007132730779005303,0.020617001694079654
Control,"Unsure, lean no","Yes, definitely",0.013694461155766289,0.0076128709879917655,0.022328017806736256
Control,"Unsure, lean no","Unsure, lean yes",0.3304518335383282,0.24628668491142633,0.41985951382616815
Control,"Unsure, lean no","Unsure, lean no",0.4788199673585387,0.3954727764835219,0.5602751072315193
Control,"Unsure, lean no","No, definitely not",0.17703373794736685,0.11577005922411245,0.2483126828157351
Control,"No, definitely not","Yes, definitely",0.0015804519428618254,0.0006468231022347581,0.0031623419524196583
Control,"No, definitely not","Unsure, lean yes",0.055427211642359066,0.025712029892251943,0.10047072754076175
Control,"No, definitely not","Unsure, lean no",0.2876347216598031,0.18475560062401644,0.3955342624095098
Control,"No, definitely not","No, definitely not",0.6553576147549751,0.5181749503773841,0.7819140753356388
Treatment,"Yes, definitely","Yes, definitely",0.8049849996366487,0.7853415816995167,0.82387722620438
Treatment,"Yes, definitely","Unsure, lean yes",0.18178623999090487,0.16433657179369404,0.20036203275883793
Treatment,"Yes, definitely","Unsure, lean no",0.01151357475218683,0.009225840659533727,0.014067353445225323
Treatment,"Yes, definitely","No, definitely not",0.0017151856202588175,0.0012780173936567025,0.0022532640555204125
Treatment,"Unsure, lean yes","Yes, definitely",0.15371055594386537,0.1333816720092549,0.17472474067592733
Treatment,"Unsure, lean yes","Unsure, lean yes",0.6128811694956501,0.5860872329507167,0.6396303274830469
Treatment,"Unsure, lean yes","Unsure, lean no",0.19582404028707154,0.17427620757550147,0.2179225871406541
Treatment,"Unsure, lean yes","No, definitely not",0.037584234273415375,0.02928267296987091,0.04693427748483814
Treatment,"Unsure, lean no","Yes, definitely",0.014539444106929138,0.01058295111730253,0.019315456693466414
Treatment,"Unsure, lean no","Unsure, lean yes",0.1955095070600627,0.15811163210675627,0.23669045570455957
Treatment,"Unsure, lean no","Unsure, lean no",0.46415632686291347,0.42316659960717645,0.5041538860846395
Treatment,"Unsure, lean no","No, definitely not",0.325794721970094,0.27496272991119575,0.3793965559267482
Treatment,"No, definitely not","Yes, definitely",0.0011184760219650769,0.0006367470054381534,0.0017323174633049616
Treatment,"No, definitely not","Unsure, lean yes",0.018709051212043616,0.011323404752224653,0.028058598132472717
Treatment,"No, definitely not","Unsure, lean no",0.11593550416434747,0.07781026752609756,0.15857689154685733
Treatment,"No, definitely not","No, definitely not",0.8642369686016427,0.8130822749113397,0.9089249697247984
Treatment-Control,"Yes, definitely","Yes, definitely",-0.09510948197315422,-0.12661580066232309,-0.06274885120186575
Treatment-Control,"Yes, definitely","Unsure, lean yes",0.08477610465330455,0.053707895621740935,0.11429800200552978
Treatment-Control,"Yes, definitely","Unsure, lean no",0.008944430621845278,0.006326538350067672,0.01164520288420596
Treatment-Control,"Yes, definitely","No, definitely not",0.001388946698004754,0.0009040074773859708,0.0019429785002043733
Treatment-Control,"Unsure, lean yes","Yes, definitely",-0.03206480543372552,-0.07861063760736692,0.010807982120375046
Treatment-Control,"Unsure, lean yes","Unsure, lean yes",-0.09868562411329702,-0.14934956883841163,-0.04600517334034372
Treatment-Control,"Unsure, lean yes","Unsure, lean no",0.1059115502407871,0.07104191227302581,0.13943106996231397
Treatment-Control,"Unsure, lean yes","No, definitely not",0.02483887930623497,0.013549499241247404,0.03584973204918708
Treatment-Control,"Unsure, lean no","Yes, definitely",0.0008449829511628475,-0.008708060182449923,0.008880798659347166
Treatment-Control,"Unsure, lean no","Unsure, lean yes",-0.13494232647826446,-0.23353908373225812,-0.04316366182816492
Treatment-Control,"Unsure, lean no","Unsure, lean no",-0.01466364049562579,-0.105400110511307,0.079367048887113
Treatment-Control,"Unsure, lean no","No, definitely not",0.1487609840227277,0.0578935792043841,0.23343774322701588
Treatment-Control,"No, definitely not","Yes, definitely",-0.0004619759208967429,-0.0020751983872716448,0.0006203180585345926
Treatment-Control,"No, definitely not","Unsure, lean yes",-0.036718160430315346,-0.08271155584060066,-0.0063536737323685285
Treatment-Control,"No, definitely not","Unsure, lean no",-0.17169921749545555,-0.28469716078236496,-0.0627967379632427
Treatment-Control,"No, definitely not","No, definitely not",0.2088793538466675,0.07596363500403554,0.35161233394997554
