,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.19,-1.38,1.0,740,1.0
"beta_Age[2,1]",-0.34,-1.47,0.79,656,1.0
"beta_Age[1,2]",-0.34,-1.47,0.79,725,1.0
"beta_Age[2,2]",0.08,-1.03,1.23,644,1.0
"beta_Age[1,3]",-0.25,-1.4,0.92,717,1.0
"beta_Age[2,3]",-0.35,-1.48,0.78,643,1.0
"beta_Age[1,4]",-0.45,-1.61,0.71,735,1.0
"beta_Age[2,4]",-0.27,-1.4,0.87,642,1.0
"beta_Age[1,5]",-0.87,-2.02,0.34,784,1.0
"beta_Age[2,5]",-0.45,-1.57,0.68,654,1.0
"beta_Age[1,6]",-0.51,-1.79,0.83,942,1.0
"beta_Age[2,6]",-0.57,-1.7,0.58,693,1.0
mu_beta_Age[1],-0.17,-1.51,1.13,1484,1.0
mu_beta_Age[2],-0.09,-1.42,1.21,1532,1.0
mu_beta_Age[3],-0.21,-1.48,1.08,1509,1.0
mu_beta_Age[4],-0.24,-1.52,1.09,1619,1.0
mu_beta_Age[5],-0.44,-1.78,0.86,1734,1.0
mu_beta_Age[6],-0.36,-1.7,0.96,1998,1.0
"beta_Gender[1,1]",-0.92,-2.45,0.57,1192,1.01
"beta_Gender[2,1]",-1.05,-2.5,0.46,1002,1.01
"beta_Gender[1,2]",-1.0,-2.55,0.49,1217,1.0
"beta_Gender[2,2]",-0.74,-2.19,0.75,1003,1.01
"beta_Gender[1,3]",-0.52,-2.37,1.29,1601,1.0
"beta_Gender[2,3]",-0.02,-1.63,1.57,1261,1.0
mu_beta_Gender[1],-0.66,-2.07,0.81,1646,1.0
mu_beta_Gender[2],-0.57,-2.04,0.87,1821,1.0
mu_beta_Gender[3],-0.16,-1.64,1.32,1941,1.0
"beta_Education[1,1]",-0.22,-1.52,1.07,1044,1.0
"beta_Education[2,1]",0.14,-1.06,1.31,778,1.0
"beta_Education[1,2]",-0.6,-1.74,0.53,757,1.0
"beta_Education[2,2]",-0.3,-1.46,0.81,737,1.01
"beta_Education[1,3]",-0.56,-1.69,0.58,795,1.0
"beta_Education[2,3]",-0.44,-1.58,0.66,758,1.0
"beta_Education[1,4]",-0.4,-1.53,0.73,773,1.0
"beta_Education[2,4]",-0.47,-1.6,0.63,739,1.0
"beta_Education[1,5]",-0.33,-1.48,0.84,826,1.0
"beta_Education[2,5]",-0.38,-1.54,0.72,766,1.0
"beta_Education[1,6]",-0.51,-1.79,0.74,956,1.0
"beta_Education[2,6]",-0.33,-1.52,0.77,733,1.0
mu_beta_Education[1],-0.01,-1.32,1.35,2092,1.0
mu_beta_Education[2],-0.3,-1.62,0.99,1749,1.0
mu_beta_Education[3],-0.33,-1.63,0.96,1952,1.0
mu_beta_Education[4],-0.28,-1.59,1.0,1688,1.0
mu_beta_Education[5],-0.24,-1.52,1.03,1932,1.0
