,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.14968806505608356,-0.7969401665011673,0.4801637088766468,227
Control,Age,35-44,-0.06244603156459394,-0.7204115227841273,0.6117991874210942,190
Control,Age,45-54,-0.2646497087354067,-0.9643593807406738,0.43224459513540436,162
Control,Age,55-64,-0.6800523915688134,-1.4463314712689963,0.0864292139843452,127
Control,Age,65+,-0.3234831293860455,-1.385936700140773,0.7294922249272918,154
Control,Gender,Female,-0.08143821836872955,-0.43539720715763847,0.28844300999641115,573
Control,Gender,Other,0.39847252581946013,-1.146119111403316,1.9808405527688069,6
Control,Education,Level-0,0.11080659140126574,-0.8165465391080686,1.0198784032756705,40
Control,Education,Level-1,-0.26273607234735596,-0.8285387141450258,0.2870734044669174,276
Control,Education,Level-2,-0.22486142411046606,-0.8338045499816271,0.37823570456427225,190
Control,Education,Level-3,-0.0701382216875798,-0.6162089210123373,0.4699072782987191,258
Control,Education,Other,-0.17619314988821663,-0.993451381338623,0.6184467391665954,73
Control,Employment,Unemployed,0.4256528206707869,-0.30169922394770715,1.1162142244957278,56
Control,Employment,Student,-0.6113897344419111,-1.514839089679111,0.25949107701684937,64
Control,Employment,Retired,-0.3906817429642253,-1.3038932989167829,0.5272212888003299,151
Control,Employment,Other,-0.029219270787072545,-0.5998371785595162,0.5398648744361534,110
Control,Religion,Jewish,1.5003482122485472,0.05796820933649786,2.8779108852427275,10
Control,Religion,Muslim,0.016388658173843343,-0.9468963848200163,0.9459249446043304,34
Control,Religion,Atheist,-0.018360597437753652,-0.441381410129722,0.3932656848443213,342
Control,Religion,Other,0.24917421416642296,-0.23416737143661145,0.7218316685907504,172
Control,Political,Labour,0.08206846818407508,-0.3608598227442007,0.5279807489323737,350
Control,Political,Liberal-Democrat,-0.27672045810726115,-0.9721931915037846,0.38770871072236107,87
Control,Political,SNP,-0.18795278341019858,-1.0389622430921959,0.6394081650209564,44
Control,Political,Other,-0.13473635491390962,-0.6463075728794934,0.3822538359626447,212
Control,Ethnicity,Black,0.6009274507493304,-0.3580595946699624,1.5239856678857786,27
Control,Ethnicity,Asian,-0.3192874778674286,-0.9839830500176183,0.3325027642567081,82
Control,Ethnicity,Other,0.18792445567536145,-0.7902304933448845,1.2218994106273608,19
Control,Income,Level-0,0.5919152012143937,-0.04352826660026309,1.2432845828232344,154
Control,Income,Level-1,0.44611858513431724,-0.14123305776334794,1.0442079544858427,197
Control,Income,Level-2,0.3561454706620588,-0.2567732015445612,0.9687617862717818,167
Control,Income,Level-3,-0.09537302917407683,-0.6416078024041806,0.46817243835722117,230
Control,Income,Other,0.24452866574652282,-0.5392940506933983,1.020096785454392,68
Treatment,Age,25-34,0.4212747746491799,0.0852562534747065,0.7715741122303972,575
Treatment,Age,35-44,-0.015269149491932065,-0.3639378546888275,0.3400423731763242,586
Treatment,Age,45-54,0.06631036837681915,-0.30540988465290375,0.42263702674060244,528
Treatment,Age,55-64,-0.11640760474995357,-0.48345107241196755,0.2515939302265083,437
Treatment,Age,65+,-0.23433357352140832,-0.7149438579400313,0.25085662458859004,510
Treatment,Gender,Female,0.30450068157893817,0.12154156336192673,0.4902754328236416,1710
Treatment,Gender,Other,1.027972776186587,0.04940213136732943,2.0025395676123847,19
Treatment,Education,Level-0,0.5190156230646917,0.05026710024741206,0.9637925879543612,138
Treatment,Education,Level-1,0.07759241236051895,-0.19809510365534733,0.3571870271346098,875
Treatment,Education,Level-2,-0.06032049297029524,-0.36344827325341356,0.24184481745203684,501
Treatment,Education,Level-3,-0.08525305960619393,-0.3568677846642794,0.18558144900330947,787
Treatment,Education,Other,0.047713358722011316,-0.32815633396578137,0.42161114565657426,234
Treatment,Employment,Unemployed,-0.1079790889399763,-0.4967550595007739,0.27206017167777896,165
Treatment,Employment,Student,0.14280145061423974,-0.3151721250939718,0.603586502985022,134
Treatment,Employment,Retired,-0.40908664188810906,-0.8067307329282962,-0.017947273039580602,496
Treatment,Employment,Other,-0.097715277716223,-0.4041801757920161,0.19189599711630306,291
Treatment,Religion,Jewish,-0.07970671438780522,-0.8915207933822642,0.6959462228002902,34
Treatment,Religion,Muslim,0.197727938250914,-0.2819429435507918,0.6793542234502977,117
Treatment,Religion,Atheist,-0.2032943794753748,-0.4141421512020917,-0.0010742495086157155,1001
Treatment,Religion,Other,-0.1756984080144884,-0.41289965346126273,0.0754379967037861,562
Treatment,Political,Labour,-0.05420705349680444,-0.2681713581844486,0.16900632389601308,1060
Treatment,Political,Liberal-Democrat,-0.3134600113499849,-0.7036179487616661,0.05023009658036059,220
Treatment,Political,SNP,0.1158710756070185,-0.33803915144919705,0.580993332588711,109
Treatment,Political,Other,0.09681846577878403,-0.15625435708496258,0.348197441509726,633
Treatment,Ethnicity,Black,0.36782815562077703,-0.08515590789055928,0.7976553763242163,109
Treatment,Ethnicity,Asian,0.021490895337954587,-0.3420329657137524,0.3902342599332462,216
Treatment,Ethnicity,Other,0.18275526311759807,-0.40163989349864415,0.7868736562751919,54
