,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.62,-1.8,0.54,1082,1.0
"beta_Age[2,1]",-0.1,-1.21,0.98,900,1.0
"beta_Age[1,2]",-0.58,-1.74,0.53,982,1.0
"beta_Age[2,2]",-0.25,-1.34,0.83,898,1.0
"beta_Age[1,3]",-0.57,-1.69,0.52,964,1.0
"beta_Age[2,3]",-0.38,-1.47,0.7,885,1.0
"beta_Age[1,4]",-0.38,-1.54,0.75,1010,1.0
"beta_Age[2,4]",-0.32,-1.4,0.75,883,1.0
"beta_Age[1,5]",-0.59,-1.74,0.51,983,1.0
"beta_Age[2,5]",-0.51,-1.61,0.59,886,1.0
"beta_Age[1,6]",-0.07,-1.33,1.18,1247,1.0
"beta_Age[2,6]",-0.54,-1.67,0.55,942,1.0
mu_beta_Age[1],-0.26,-1.57,1.06,2416,1.0
mu_beta_Age[2],-0.29,-1.62,0.97,1968,1.0
mu_beta_Age[3],-0.31,-1.59,1.05,2483,1.0
mu_beta_Age[4],-0.22,-1.54,1.02,2206,1.0
mu_beta_Age[5],-0.37,-1.61,0.91,2311,1.0
mu_beta_Age[6],-0.21,-1.54,1.13,2244,1.0
"beta_Gender[1,1]",-0.75,-2.32,0.82,1307,1.0
"beta_Gender[2,1]",-0.94,-2.45,0.55,1055,1.0
"beta_Gender[1,2]",-0.81,-2.38,0.78,1308,1.0
"beta_Gender[2,2]",-0.68,-2.18,0.79,1058,1.0
"beta_Gender[1,3]",-1.03,-2.91,0.89,1751,1.0
"beta_Gender[2,3]",-0.23,-1.83,1.33,1212,1.0
mu_beta_Gender[1],-0.57,-2.0,0.91,1860,1.0
mu_beta_Gender[2],-0.49,-2.01,0.95,1915,1.0
mu_beta_Gender[3],-0.41,-1.88,1.17,1873,1.0
"beta_Education[1,1]",-0.45,-1.78,0.82,1064,1.0
"beta_Education[2,1]",-0.17,-1.32,0.98,876,1.0
"beta_Education[1,2]",-0.46,-1.59,0.67,852,1.0
"beta_Education[2,2]",-0.41,-1.5,0.74,826,1.0
"beta_Education[1,3]",-0.61,-1.77,0.52,853,1.0
"beta_Education[2,3]",-0.31,-1.4,0.84,831,1.0
"beta_Education[1,4]",-0.42,-1.56,0.7,862,1.0
"beta_Education[2,4]",-0.49,-1.58,0.63,836,1.0
"beta_Education[1,5]",-0.23,-1.41,0.91,889,1.0
"beta_Education[2,5]",-0.4,-1.51,0.73,823,1.0
"beta_Education[1,6]",-0.57,-1.82,0.67,1001,1.0
