,,,mean,2.5%,97.5%,counts
Control,Age,25-34,1.1008571073266107,0.5549658964420859,1.9474786695728754,227
Control,Age,35-44,1.106234118675011,0.5619752322405532,1.9747702697225937,190
Control,Age,45-54,1.3535171102968726,0.6616686896222597,2.4719832987251107,162
Control,Age,55-64,1.101927643058107,0.49303653503355804,2.1190036568556323,127
Control,Age,65+,1.9775505988515891,0.6593327682753262,4.54538980651485,154
Control,Gender,Female,0.9573596413745538,0.6667794318687266,1.324320584881237,573
Control,Gender,Other,1.0424323747295998,0.16086347404663962,3.5999395033932893,6
Control,Education,Level-0,0.8892009213734784,0.31449903923282635,1.9403060303500375,40
Control,Education,Level-1,0.8283186048086357,0.4537026282968105,1.3890256491807313,276
Control,Education,Level-2,0.7187492983226157,0.3746224851070531,1.2433732470454755,190
Control,Education,Level-3,0.8589429062185092,0.4927940749239226,1.4452042110566572,258
Control,Education,Other,0.7735035188547433,0.32181733934654744,1.5654064891370196,73
Control,Employment,Unemployed,2.3052588847266873,1.0835546508513068,4.262958806300633,56
Control,Employment,Student,1.3422742176875515,0.5346384188311623,2.7524836583980923,64
Control,Employment,Retired,0.737305062854483,0.29038771149723686,1.6201920807955492,151
Control,Employment,Other,1.3762601604577922,0.7506565595165278,2.327614935607243,110
Control,Religion,Jewish,5.81843569840978,1.0112706364931046,17.90668090254328,10
Control,Religion,Muslim,2.216134787293562,0.8257474671777423,4.837815423514995,34
Control,Religion,Atheist,1.3053206777782123,0.8783318141213858,1.8508071684610357,342
Control,Religion,Other,2.018065046628148,1.2226533612982893,3.1538365142823936,172
Control,Political,Labour,0.9423657931934014,0.5871071251479837,1.4258004262423964,350
Control,Political,Liberal-Democrat,1.027000674628974,0.503117107025974,1.871222158777172,87
Control,Political,SNP,1.118973612718595,0.4379961133041365,2.3058998595400917,44
Control,Political,Other,0.9623322000880263,0.5763957777063822,1.5251123554406216,212
Control,Ethnicity,Black,1.9992363055409308,0.6915793985907392,4.507082280831948,27
Control,Ethnicity,Asian,0.9238639926363074,0.4491922273182228,1.6651063993751503,82
Control,Ethnicity,Other,0.7467076043097856,0.23693404965562462,1.865492036399591,19
Control,Income,Level-0,1.1784037213716905,0.6048524538032485,2.083215026022349,154
Control,Income,Level-1,0.8159316131188654,0.43976421653106745,1.4021655815395564,197
Control,Income,Level-2,1.120162428979694,0.5904430294827036,1.9204577467665145,167
Control,Income,Level-3,1.1681733410628297,0.6622600247814596,1.9397459773725665,230
Control,Income,Other,1.0657387056519962,0.48839241053879706,2.0022254692650074,68
Treatment,Age,25-34,0.873439269955357,0.6317662017868002,1.1944774495362611,575
Treatment,Age,35-44,0.7669618207158566,0.5465726573099183,1.0519552542839332,586
Treatment,Age,45-54,0.8198821733852675,0.5827726782034853,1.1316236611567612,528
Treatment,Age,55-64,0.6750052050090942,0.46188198569136074,0.9498487888404089,437
Treatment,Age,65+,0.660507233548019,0.40470763701612267,1.0019984411660605,510
Treatment,Gender,Female,1.3030394162160528,1.08399318531943,1.5497139523102108,1710
Treatment,Gender,Other,2.2907580262561202,0.8120063184896801,5.066728851820115,19
Treatment,Education,Level-0,1.2864052487145625,0.8032995541098902,1.9721860209216058,138
Treatment,Education,Level-1,0.9947789726767383,0.743531320973463,1.3117346578031088,875
Treatment,Education,Level-2,1.1003206917170933,0.8095063903109696,1.4652393488520787,501
Treatment,Education,Level-3,0.9181735405032433,0.6948587004763059,1.1917100683359105,787
Treatment,Education,Other,1.1808107854395173,0.7885962714746864,1.672138595147353,234
Treatment,Employment,Unemployed,0.8200098181171777,0.5582098524886272,1.1781754037333114,165
Treatment,Employment,Student,0.6883890448641299,0.4304449802070337,1.0623446794875453,134
Treatment,Employment,Retired,0.7421315066273478,0.49456986764354227,1.0515622289585613,496
Treatment,Employment,Other,0.9832489644720429,0.7239702048104616,1.2888724461736447,291
Treatment,Religion,Jewish,1.0898720592451832,0.4519416001618144,2.241549651034208,34
Treatment,Religion,Muslim,0.8446936467618477,0.5128412927901834,1.3164347421048417,117
Treatment,Religion,Atheist,0.8677876529338829,0.712517076331119,1.049572539214178,1001
Treatment,Religion,Other,0.9229790308908445,0.7216668061162914,1.1655599703577013,562
