,Mean,2.5%,97.5%,ESS,Rhat
mu_beta,4.97,3.86,6.13,5195,1.0
beta[1],7.54,6.95,8.14,3278,1.0
beta[2],7.33,6.99,7.7,3413,1.0
mu_delta[1],1.71,0.38,3.94,4285,1.0
mu_delta[2],1.46,0.31,3.33,4880,1.0
mu_delta[3],1.57,0.34,3.63,4050,1.0
"delta[1,1]",0.38,0.33,0.42,3439,1.0
"delta[2,1]",0.38,0.35,0.4,4038,1.0
"delta[1,2]",0.3,0.24,0.35,5193,1.0
"delta[2,2]",0.29,0.26,0.32,6002,1.0
"delta[1,3]",0.33,0.27,0.38,4784,1.0
"delta[2,3]",0.33,0.3,0.37,4715,1.0
mu_alpha[1],1.08,-0.06,2.22,5755,1.0
mu_alpha[2],2.76,1.6,3.91,6766,1.0
mu_alpha[3],4.0,2.8,5.16,6093,1.0
"alpha[1,1]",1.93,1.66,2.22,3697,1.0
"alpha[2,1]",1.33,1.2,1.47,4157,1.0
"alpha[1,2]",4.41,4.01,4.8,3633,1.0
"alpha[2,2]",3.92,3.73,4.13,4016,1.0
"alpha[1,3]",6.24,5.77,6.71,3294,1.0
"alpha[2,3]",5.8,5.54,6.07,3789,1.0
