,,,mean,2.5%,97.5%
Control,"Yes, definitely","Yes, definitely",0.8733589580083475,0.8453265461929386,0.8997165715689973
Control,"Yes, definitely","Unsure, lean yes",0.11436818182796359,0.0907023633369834,0.13974410817536737
Control,"Yes, definitely","Unsure, lean no",0.010296096060136007,0.006751733334257306,0.014833076073593302
Control,"Yes, definitely","No, definitely not",0.0019767641035523644,0.0011470737758155851,0.0031654585724940594
Control,"Unsure, lean yes","Yes, definitely",0.2426836698675214,0.19347995135698495,0.2969460018041124
Control,"Unsure, lean yes","Unsure, lean yes",0.5465448453280243,0.4937546009454723,0.5994250915044638
Control,"Unsure, lean yes","Unsure, lean no",0.16983449026790273,0.13146474439783237,0.21170302535319857
Control,"Unsure, lean yes","No, definitely not",0.04093699453655061,0.026144287983990187,0.06009567600473609
Control,"Unsure, lean no","Yes, definitely",0.031014947610230856,0.018765672678367096,0.04765729264489162
Control,"Unsure, lean no","Unsure, lean yes",0.23970618708859834,0.17668904212578673,0.30616206166432036
Control,"Unsure, lean no","Unsure, lean no",0.4281208095460251,0.36276027063918026,0.49406025894069905
Control,"Unsure, lean no","No, definitely not",0.30115805575514565,0.22650731439420774,0.38439665444407
Control,"No, definitely not","Yes, definitely",0.004135385404420929,0.0021947003411133684,0.007036496837281776
Control,"No, definitely not","Unsure, lean yes",0.04209537637886973,0.023962890811965173,0.06669942966200643
Control,"No, definitely not","Unsure, lean no",0.18587015185862582,0.1290961126604676,0.24751910979263592
Control,"No, definitely not","No, definitely not",0.7678990863580841,0.6900138675791704,0.8394374560636261
Treatment,"Yes, definitely","Yes, definitely",0.7862766320264413,0.7653619317864958,0.8064246305307688
Treatment,"Yes, definitely","Unsure, lean yes",0.19370230092742763,0.17598236234254844,0.21254722580637397
Treatment,"Yes, definitely","Unsure, lean no",0.01678597929612325,0.013603666281794909,0.020388562418565088
Treatment,"Yes, definitely","No, definitely not",0.0032350877500063975,0.002451704763932472,0.004150752006792441
Treatment,"Unsure, lean yes","Yes, definitely",0.1715583054915377,0.1488729843586726,0.1949898084561653
Treatment,"Unsure, lean yes","Unsure, lean yes",0.5622435758795905,0.5337120182359502,0.5893714742450645
Treatment,"Unsure, lean yes","Unsure, lean no",0.2116866759740096,0.18921669911034208,0.23606239776451685
Treatment,"Unsure, lean yes","No, definitely not",0.05451144265486236,0.04365968144977328,0.06638843768295756
Treatment,"Unsure, lean no","Yes, definitely",0.0238500641088975,0.01817044311661809,0.030819804523101565
Treatment,"Unsure, lean no","Unsure, lean yes",0.22112396796584813,0.18624048107966973,0.2567787165738265
Treatment,"Unsure, lean no","Unsure, lean no",0.42611691156941345,0.39014389604551436,0.46290834715037843
Treatment,"Unsure, lean no","No, definitely not",0.3289090563558388,0.2830429535452621,0.3743526324177658
Treatment,"No, definitely not","Yes, definitely",0.0018351288822820032,0.0012242043419187839,0.002622347232782437
Treatment,"No, definitely not","Unsure, lean yes",0.022042550999067004,0.015328197199679906,0.030798542231468447
Treatment,"No, definitely not","Unsure, lean no",0.10930534365614891,0.08203183022318847,0.13872439891454355
Treatment,"No, definitely not","No, definitely not",0.8668169764625019,0.8301121138065262,0.9001793980707847
Treatment-Control,"Yes, definitely","Yes, definitely",-0.08708232598190564,-0.1207223633622814,-0.05286360227647369
Treatment-Control,"Yes, definitely","Unsure, lean yes",0.07933411909946406,0.04744780920027761,0.10973078021947931
Treatment-Control,"Yes, definitely","Unsure, lean no",0.006489883235987274,0.0009384309452119378,0.011636228376410887
Treatment-Control,"Yes, definitely","No, definitely not",0.0012583236464540324,-0.0001579069394652188,0.0024845197006303026
Treatment-Control,"Unsure, lean yes","Yes, definitely",-0.07112536437598306,-0.12747445322202017,-0.015950595123976466
Treatment-Control,"Unsure, lean yes","Unsure, lean yes",0.015698730551564684,-0.04474547198484695,0.0764610939043921
Treatment-Control,"Unsure, lean yes","Unsure, lean no",0.04185218570610666,-0.006833101886383303,0.08638770137436229
Treatment-Control,"Unsure, lean yes","No, definitely not",0.013574448118311743,-0.007653532095305791,0.03290267706272157
Treatment-Control,"Unsure, lean no","Yes, definitely",-0.007164883501333427,-0.024804880007202143,0.006809136128311297
Treatment-Control,"Unsure, lean no","Unsure, lean yes",-0.0185822191227496,-0.09417631095952789,0.053921536334317496
Treatment-Control,"Unsure, lean no","Unsure, lean no",-0.0020038979766112313,-0.07648501352086623,0.07228905544648619
Treatment-Control,"Unsure, lean no","No, definitely not",0.027751000600694305,-0.06425673374570648,0.1143719372701729
Treatment-Control,"No, definitely not","Yes, definitely",-0.002300256522138943,-0.005198157772884995,-0.00020771889064680977
Treatment-Control,"No, definitely not","Unsure, lean yes",-0.020052825379802866,-0.0446037560100468,-0.0009951662778934771
Treatment-Control,"No, definitely not","Unsure, lean no",-0.07656480820247714,-0.14280513305639714,-0.011881989726614884
Treatment-Control,"No, definitely not","No, definitely not",0.09891789010441886,0.018931554810744627,0.1815221418775601
