,,,mean,2.5%,97.5%
Control,"Yes, definitely","Yes, definitely",0.872518878801195,0.8398188589122495,0.9016084353070898
Control,"Yes, definitely","Unsure, lean yes",0.11522726521209667,0.08873545910851205,0.14432664870046846
Control,"Yes, definitely","Unsure, lean no",0.010246167820143752,0.006751720663352637,0.014902933030022287
Control,"Yes, definitely","No, definitely not",0.0020076881665593107,0.0012131851092132301,0.0031142925255295494
Control,"Unsure, lean yes","Yes, definitely",0.2851808768215427,0.23692392454158182,0.33801326348948657
Control,"Unsure, lean yes","Unsure, lean yes",0.5396026442648233,0.49025082544671533,0.589034793842408
Control,"Unsure, lean yes","Unsure, lean no",0.14181290386088116,0.1097168746162121,0.17672981259478288
Control,"Unsure, lean yes","No, definitely not",0.03340357505275281,0.0217846984449189,0.047728810939002136
Control,"Unsure, lean no","Yes, definitely",0.04211868877380812,0.027183881546454732,0.06218244215752436
Control,"Unsure, lean no","Unsure, lean yes",0.29784582487535494,0.2347454041884837,0.361989223073963
Control,"Unsure, lean no","Unsure, lean no",0.419992679655389,0.3609876313798247,0.4836575653355736
Control,"Unsure, lean no","No, definitely not",0.2400428066954469,0.180897322161478,0.3113479386577361
Control,"No, definitely not","Yes, definitely",0.0037952720532059506,0.00211721816265615,0.006223480869774902
Control,"No, definitely not","Unsure, lean yes",0.03917778014443881,0.02361394199541305,0.05990383566837289
Control,"No, definitely not","Unsure, lean no",0.17292102143052748,0.12273593678767572,0.22823516318351636
Control,"No, definitely not","No, definitely not",0.7841059263718252,0.715004138793649,0.8469404382924361
Treatment,"Yes, definitely","Yes, definitely",0.7904942018929426,0.7678793088004334,0.8124194506243344
Treatment,"Yes, definitely","Unsure, lean yes",0.19003405161342551,0.17012799151180946,0.2107085088665379
Treatment,"Yes, definitely","Unsure, lean no",0.01641676452562554,0.013329248009403823,0.019906789684032592
Treatment,"Yes, definitely","No, definitely not",0.0030549819680055746,0.0023010903450278062,0.003925789329796842
Treatment,"Unsure, lean yes","Yes, definitely",0.19388956579940383,0.17078009001834432,0.21868924142375679
Treatment,"Unsure, lean yes","Unsure, lean yes",0.5686904142312745,0.5417036207292099,0.595216900772112
Treatment,"Unsure, lean yes","Unsure, lean no",0.19156850796125652,0.17068674623958222,0.2130710640654878
Treatment,"Unsure, lean yes","No, definitely not",0.04585151200806437,0.03698169833933453,0.05578787149449638
Treatment,"Unsure, lean no","Yes, definitely",0.027947495913148806,0.021678293281005477,0.03541697296619004
Treatment,"Unsure, lean no","Unsure, lean yes",0.24903646079433922,0.21457082003983693,0.2845682589482185
Treatment,"Unsure, lean no","Unsure, lean no",0.43573995660429216,0.4012494987103388,0.4709546489050696
Treatment,"Unsure, lean no","No, definitely not",0.287276086688219,0.24830303107012838,0.3297358268562344
Treatment,"No, definitely not","Yes, definitely",0.0024943501142911445,0.0017497922477772614,0.0034287713931550143
Treatment,"No, definitely not","Unsure, lean yes",0.029813181422412953,0.021932292345284567,0.039156874266375645
Treatment,"No, definitely not","Unsure, lean no",0.14530840235828985,0.11727251729761586,0.1755946553378004
Treatment,"No, definitely not","No, definitely not",0.8223840661050061,0.7851424090606971,0.8574483057522263
Treatment-Control,"Yes, definitely","Yes, definitely",-0.08202467690825603,-0.11818031404745989,-0.04329418011826189
Treatment-Control,"Yes, definitely","Unsure, lean yes",0.07480678640132819,0.03996478764933354,0.10726676459777264
Treatment-Control,"Yes, definitely","Unsure, lean no",0.0061705967054818105,0.0004500723261515989,0.010933303877477379
Treatment-Control,"Yes, definitely","No, definitely not",0.0010472938014462563,-0.00024962844466718816,0.0021825967328398424
Treatment-Control,"Unsure, lean yes","Yes, definitely",-0.09129131102213837,-0.14808734687637407,-0.03790537446731079
Treatment-Control,"Unsure, lean yes","Unsure, lean yes",0.029087769966452275,-0.028865416271877574,0.0850105061621703
Treatment-Control,"Unsure, lean yes","Unsure, lean no",0.049755604100374565,0.011010436804787197,0.087165454921119
Treatment-Control,"Unsure, lean yes","No, definitely not",0.01244793695531163,-0.004384985019121095,0.02778052691815958
Treatment-Control,"Unsure, lean no","Yes, definitely",-0.014171192860659317,-0.03465578577646638,0.002243646530134238
Treatment-Control,"Unsure, lean no","Unsure, lean yes",-0.04880936408101537,-0.1234863049015551,0.02234921604269202
Treatment-Control,"Unsure, lean no","Unsure, lean no",0.015747276948903224,-0.057139120000526185,0.08453263484068979
Treatment-Control,"Unsure, lean no","No, definitely not",0.04723327999277152,-0.031170981140549184,0.12151632060509732
Treatment-Control,"No, definitely not","Yes, definitely",-0.0013009219389148053,-0.0038464163778148155,0.0005886782319496083
Treatment-Control,"No, definitely not","Unsure, lean yes",-0.009364598722025923,-0.031836521063083045,0.008586507658688711
Treatment-Control,"No, definitely not","Unsure, lean no",-0.0276126190722371,-0.08919112776245428,0.02939761387211495
Treatment-Control,"No, definitely not","No, definitely not",0.03827813973317776,-0.03397628263697077,0.1162705003939434
