,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.4,-1.54,0.73,1119,1.0
"beta_Age[2,1]",-0.42,-1.53,0.74,1068,1.0
"beta_Age[1,2]",-0.48,-1.6,0.64,1065,1.0
"beta_Age[2,2]",-0.2,-1.29,0.94,1034,1.0
"beta_Age[1,3]",-0.56,-1.71,0.57,1104,1.0
"beta_Age[2,3]",-0.42,-1.49,0.76,1051,1.0
"beta_Age[1,4]",0.22,-0.92,1.38,1084,1.0
"beta_Age[2,4]",-0.28,-1.36,0.87,1037,1.0
"beta_Age[1,5]",-0.36,-1.51,0.84,1152,1.0
"beta_Age[2,5]",-0.23,-1.32,0.91,1043,1.0
"beta_Age[1,6]",-0.35,-1.54,0.83,1215,1.0
"beta_Age[2,6]",-0.33,-1.42,0.84,1033,1.0
mu_beta_Age[1],-0.27,-1.54,1.02,2469,1.0
mu_beta_Age[2],-0.23,-1.54,1.08,2481,1.0
mu_beta_Age[3],-0.33,-1.62,0.92,2565,1.0
mu_beta_Age[4],-0.01,-1.3,1.28,2257,1.0
mu_beta_Age[5],-0.19,-1.45,1.07,2374,1.0
mu_beta_Age[6],-0.23,-1.55,1.05,2460,1.0
"beta_Gender[1,1]",-0.79,-2.34,0.77,1556,1.0
"beta_Gender[2,1]",-0.6,-2.07,0.89,1310,1.0
"beta_Gender[1,2]",-0.86,-2.42,0.74,1568,1.0
"beta_Gender[2,2]",-0.25,-1.72,1.22,1299,1.0
"beta_Gender[1,3]",-0.34,-2.15,1.5,2135,1.0
"beta_Gender[2,3]",-1.02,-2.62,0.56,1313,1.0
mu_beta_Gender[1],-0.47,-1.88,0.95,2480,1.0
mu_beta_Gender[2],-0.37,-1.83,1.07,2320,1.0
mu_beta_Gender[3],-0.46,-1.89,0.97,2150,1.0
"beta_Education[1,1]",-0.68,-1.88,0.53,1036,1.0
"beta_Education[2,1]",-0.51,-1.64,0.63,893,1.0
"beta_Education[1,2]",-0.39,-1.47,0.7,876,1.0
"beta_Education[2,2]",-0.15,-1.24,0.96,846,1.0
"beta_Education[1,3]",-0.33,-1.43,0.79,921,1.0
"beta_Education[2,3]",-0.21,-1.28,0.88,843,1.0
"beta_Education[1,4]",-0.26,-1.37,0.86,927,1.0
"beta_Education[2,4]",-0.47,-1.55,0.66,810,1.0
"beta_Education[1,5]",-0.25,-1.38,0.86,924,1.0
"beta_Education[2,5]",-0.44,-1.54,0.68,803,1.0
"beta_Education[1,6]",-0.24,-1.43,0.96,1030,1.0
"beta_Education[2,6]",-0.17,-1.3,0.98,809,1.0
mu_beta_Education[1],-0.4,-1.68,0.87,1784,1.0
mu_beta_Education[2],-0.19,-1.51,1.12,2250,1.0
mu_beta_Education[3],-0.18,-1.48,1.11,1957,1.0
mu_beta_Education[4],-0.23,-1.5,1.03,2262,1.0
mu_beta_Education[5],-0.23,-1.51,1.12,2328,1.0
mu_beta_Education[6],-0.14,-1.46,1.18,2013,1.0
"beta_Employment[1,1]",-0.37,-1.59,0.89,1019,1.0
"beta_Employment[2,1]",-0.38,-1.54,0.82,1066,1.0
"beta_Employment[1,2]",-0.36,-1.6,0.97,1032,1.0
"beta_Employment[2,2]",-0.45,-1.62,0.78,1081,1.0
"beta_Employment[1,3]",-0.47,-1.78,0.88,1117,1.0
"beta_Employment[2,3]",-0.39,-1.59,0.89,1156,1.0
"beta_Employment[1,4]",-0.39,-1.67,0.98,1190,1.0
"beta_Employment[2,4]",-0.38,-1.54,0.85,1067,1.0
"beta_Employment[1,5]",-0.37,-1.61,0.96,1118,1.0
"beta_Employment[2,5]",-0.3,-1.45,0.91,1062,1.0
mu_beta_Employment[1],-0.26,-1.61,1.06,2287,1.0
mu_beta_Employment[2],-0.27,-1.53,1.04,2060,1.0
mu_beta_Employment[3],-0.3,-1.65,1.1,2104,1.0
mu_beta_Employment[4],-0.26,-1.57,1.08,2372,1.0
mu_beta_Employment[5],-0.24,-1.57,1.1,2323,1.0
"beta_Religion[1,1]",-0.45,-1.71,0.81,978,1.0
"beta_Religion[2,1]",-0.22,-1.48,1.04,890,1.0
"beta_Religion[1,2]",-0.48,-1.93,0.96,1234,1.0
"beta_Religion[2,2]",-0.21,-1.49,1.09,925,1.0
"beta_Religion[1,3]",-0.15,-1.52,1.24,1188,1.0
"beta_Religion[2,3]",-0.86,-2.21,0.46,984,1.0
"beta_Religion[1,4]",-0.49,-1.87,0.81,1067,1.0
"beta_Religion[2,4]",-0.45,-1.72,0.83,889,1.0
"beta_Religion[1,5]",-0.34,-1.63,0.91,1026,1.0
"beta_Religion[2,5]",-0.19,-1.48,1.06,900,1.0
mu_beta_Religion[1],-0.23,-1.64,1.13,2245,1.0
mu_beta_Religion[2],-0.23,-1.59,1.13,2132,1.0
mu_beta_Religion[3],-0.34,-1.68,1.0,1945,1.0
mu_beta_Religion[4],-0.31,-1.71,1.04,2139,1.0
mu_beta_Religion[5],-0.17,-1.56,1.19,1880,1.0
"beta_Political[1,1]",-0.6,-2.1,0.9,1222,1.0
"beta_Political[2,1]",-0.58,-1.98,0.89,1223,1.0
"beta_Political[1,2]",-0.94,-2.41,0.56,1176,1.0
"beta_Political[2,2]",-0.76,-2.18,0.76,1228,1.0
"beta_Political[1,3]",-0.34,-1.8,1.16,1154,1.0
"beta_Political[2,3]",-0.51,-1.94,0.96,1212,1.0
mu_beta_Political[1],-0.4,-1.8,1.03,1935,1.0
mu_beta_Political[2],-0.56,-1.99,0.85,2074,1.0
mu_beta_Political[3],-0.29,-1.7,1.14,1989,1.0
"beta_Ethnicity[1,1]",-0.56,-1.77,0.67,1000,1.0
"beta_Ethnicity[2,1]",-0.55,-1.71,0.65,931,1.0
"beta_Ethnicity[1,2]",-0.43,-1.66,0.86,1108,1.0
"beta_Ethnicity[2,2]",-0.53,-1.77,0.66,946,1.0
"beta_Ethnicity[1,3]",-0.26,-1.5,1.02,1091,1.0
"beta_Ethnicity[2,3]",-0.22,-1.41,0.98,961,1.0
"beta_Ethnicity[1,4]",-0.8,-2.11,0.53,1228,1.0
"beta_Ethnicity[2,4]",-0.46,-1.67,0.76,948,1.0
"beta_Ethnicity[1,5]",0.1,-1.17,1.39,1192,1.01
"beta_Ethnicity[2,5]",-0.18,-1.41,1.03,959,1.0
mu_beta_Ethnicity[1],-0.36,-1.69,0.96,2104,1.0
mu_beta_Ethnicity[2],-0.32,-1.7,1.01,2166,1.0
mu_beta_Ethnicity[3],-0.16,-1.48,1.14,2223,1.0
mu_beta_Ethnicity[4],-0.42,-1.76,0.96,1960,1.0
mu_beta_Ethnicity[5],-0.04,-1.34,1.27,2018,1.0
"beta_Income[1,1]",-0.09,-1.26,1.03,648,1.0
"beta_Income[2,1]",-0.16,-1.24,0.97,660,1.0
"beta_Income[1,2]",-0.19,-1.34,0.92,643,1.0
"beta_Income[2,2]",-0.24,-1.33,0.89,659,1.0
"beta_Income[1,3]",-0.06,-1.21,1.06,639,1.0
"beta_Income[2,3]",-0.26,-1.34,0.87,665,1.0
"beta_Income[1,4]",-0.42,-1.55,0.69,621,1.0
"beta_Income[2,4]",-0.32,-1.41,0.8,662,1.0
"beta_Income[1,5]",-0.92,-2.09,0.26,689,1.0
"beta_Income[2,5]",-0.32,-1.4,0.81,670,1.0
"beta_Income[1,6]",-0.2,-1.44,0.99,733,1.0
"beta_Income[2,6]",-0.51,-1.64,0.64,684,1.0
mu_beta_Income[1],-0.08,-1.4,1.21,1828,1.0
mu_beta_Income[2],-0.15,-1.46,1.18,1710,1.0
mu_beta_Income[3],-0.11,-1.39,1.2,1644,1.0
mu_beta_Income[4],-0.24,-1.55,1.07,1618,1.0
mu_beta_Income[5],-0.42,-1.71,0.85,1573,1.0
