,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.9489918698983989,0.5614280487631333,1.4826358598588913,249
Control,Age,35-44,0.8874365612698953,0.47095599283038986,1.4922702926152447,226
Control,Age,45-54,1.943236829047828,1.011986109306584,3.4372248509515217,97
Control,Age,55-64,1.0977499947755898,0.5527103742283559,1.9855536832632568,75
Control,Age,65+,1.1154473804168537,0.49628501070571734,2.0873172184002,121
Control,Gender,Female,0.9483129191689469,0.6522320919785108,1.3284089771435756,499
Control,Gender,Other,2.132433650435222,0.3363082807268953,7.335483776783094,9
Control,Education,Level-0,0.7173557072018715,0.2809067642687033,1.5047844183142014,52
Control,Education,Level-1,0.9041585237880599,0.5058692467039118,1.4990093740599544,301
Control,Education,Level-2,0.9744939809660269,0.5037335730519155,1.7253137576038389,133
Control,Education,Level-3,1.0315959424262198,0.5923542803389509,1.6876272009025428,234
Control,Education,Other,1.0919409211454958,0.47748815038362735,2.221949462597332,76
Control,Employment,Unemployed,1.040861066348238,0.6158240860631861,1.6445418171344712,117
Control,Employment,Student,0.9494810713045988,0.48749722889353997,1.684539542923139,82
Control,Employment,Retired,1.041397584448144,0.5145578088058548,1.8784817054225906,110
Control,Employment,Other,1.0431377991554371,0.5432926230298554,1.7978578812519599,79
Control,Religion,Jewish,1.100880742418973,0.3449867018966544,2.5446930264393255,27
Control,Religion,Muslim,1.4441701908975801,0.610651557042441,2.805433179258927,57
Control,Religion,Atheist,0.9974288088821065,0.5129551563405866,1.7099921226086343,77
Control,Religion,Other,1.1335237574033443,0.757308730762534,1.6445955205955962,256
Control,Political,Democrat,0.7277328073439994,0.48255377545894795,1.0652524890248412,366
Control,Political,Other,1.3295907580312063,0.8741188120294345,1.9478810173136134,336
Control,Ethnicity,Hispanic,1.1789632016054452,0.6611373855197878,1.9190062464931192,101
Control,Ethnicity,Black,1.384000768924459,0.8399879820731488,2.171058320899758,143
Control,Ethnicity,Asian,0.8439420508616784,0.36760057964519394,1.6365461820136644,60
Control,Ethnicity,Other,2.01574770436767,1.0945829540213297,3.4625456428830224,93
Control,Income,Level-0,2.4151856246584895,1.2107624200293847,4.306874265479535,178
Control,Income,Level-1,2.172254331253089,1.169176299736256,3.690287083885839,191
Control,Income,Level-2,2.4686458579319024,1.269339075081718,4.385327812547847,126
Control,Income,Level-3,1.717118924460963,0.9461003069030481,2.8635848770834818,208
Control,Income,Other,2.2196759932846355,0.9719617768591458,4.446754512875206,71
Treatment,Age,25-34,1.279233037046688,0.8689159196434432,1.82141086960252,480
Treatment,Age,35-44,1.0243330262840837,0.6688075525853556,1.4954488968481685,469
Treatment,Age,45-54,1.1776853442986577,0.7935541013711801,1.69155778016211,570
Treatment,Age,55-64,1.2374448357994845,0.8305732002731527,1.791919573183765,479
Treatment,Age,65+,1.1256627450822727,0.7303609478496639,1.6637380552783416,748
Treatment,Gender,Female,1.4188282599931756,1.192672075418567,1.6802799298297255,1705
Treatment,Gender,Other,0.7237585679481372,0.275388577517979,1.5325654231360775,30
Treatment,Education,Level-0,0.9553730483735074,0.587921012620602,1.4647324355573041,137
Treatment,Education,Level-1,1.3481325347204207,1.041224225476524,1.7388738002060238,955
Treatment,Education,Level-2,1.271681339952421,0.9483450566096377,1.6686832763980164,508
Treatment,Education,Level-3,0.98030953202984,0.7492105056692991,1.2534860208185503,664
Treatment,Education,Other,1.3419502985146303,0.8752777642514071,2.006728897120673,175
Treatment,Employment,Unemployed,0.9419306977296568,0.6876298950814742,1.2576570700716458,257
Treatment,Employment,Student,1.0204713404784456,0.6013174016680991,1.62274486356747,94
Treatment,Employment,Retired,1.0147989741296348,0.7686974483225812,1.314818088142788,726
Treatment,Employment,Other,1.0977340088442136,0.82871325932565,1.4206836200463722,380
Treatment,Religion,Jewish,1.025158058986789,0.6721719384580944,1.4789616565610748,138
Treatment,Religion,Muslim,0.5453016854199609,0.3010664127360776,0.9116111552163892,102
Treatment,Religion,Atheist,0.802948771657334,0.6058308142637707,1.0414297508486934,304
Treatment,Religion,Other,1.0318620505866845,0.8254708783555732,1.2702866798837273,640
Treatment,Political,Democrat,0.837850258215676,0.675575112286419,1.0263087859328115,1023
Treatment,Political,Other,1.0714439960095394,0.8648464827008447,1.3134758187562907,987
Treatment,Ethnicity,Hispanic,1.0319324001096923,0.728042068053302,1.3996930119103055,211
Treatment,Ethnicity,Black,1.4009075462335356,1.061582507808784,1.8350768042205474,367
Treatment,Ethnicity,Asian,1.1228078615548887,0.7112538038993883,1.655530995138049,127
Treatment,Ethnicity,Other,1.4675657058845992,1.0005424045278426,2.0847884873039417,194
Treatment,Income,Level-0,1.1859085264534655,0.8407013373574715,1.6378691428890306,383
Treatment,Income,Level-1,1.0919692348471544,0.8226802962880592,1.4260051979619468,680
Treatment,Income,Level-2,1.0672105036253803,0.7964182195095124,1.4112727665694687,499
Treatment,Income,Level-3,1.0010855514417043,0.7663221585113881,1.2973380070117952,671
Treatment,Income,Other,0.8421508895174514,0.5361093501586026,1.27448653163155,160
Treatment-Control,Age,25-34,1.4334161728594346,0.7485759961114593,2.523535527634673,729
Treatment-Control,Age,35-44,1.2579192841142102,0.6003948823239531,2.362877460761662,695
Treatment-Control,Age,45-54,0.6690629444668362,0.3034996169781496,1.2730669727702824,667
Treatment-Control,Age,55-64,1.255905783495103,0.5454619237766739,2.4285951385867404,554
Treatment-Control,Age,65+,1.1485711157177405,0.4617794776187536,2.403062907896467,869
Treatment-Control,Gender,Female,1.5462319548674257,1.0176780512710606,2.25824877165025,2204
Treatment-Control,Gender,Other,0.6121192027212922,0.07441608550917961,2.3024233040404707,39
Treatment-Control,Education,Level-0,1.6031686225566164,0.5538955711653057,3.821552443048732,189
Treatment-Control,Education,Level-1,1.613967283332233,0.8327297203849696,2.8422079447015025,1256
Treatment-Control,Education,Level-2,1.4366648168108376,0.6927266970683941,2.6061790037278536,641
Treatment-Control,Education,Level-3,1.0208754186121458,0.5431817911190563,1.722124035752906,898
Treatment-Control,Education,Other,1.425666212657752,0.5464646416855506,3.0982141828998366,251
Treatment-Control,Employment,Unemployed,0.9633673104942763,0.5193461763997498,1.6733956183135268,374
Treatment-Control,Employment,Student,1.1903257231472075,0.487278845821777,2.446411204766551,176
Treatment-Control,Employment,Retired,1.0881147381557783,0.5078078062299325,2.052549438752994,836
Treatment-Control,Employment,Other,1.1537235921066384,0.5623191280143433,2.102308245809163,459
Treatment-Control,Religion,Jewish,1.2113893166385117,0.36751816451009733,3.145940885531267,165
Treatment-Control,Religion,Muslim,0.4382376692451137,0.1568123115752668,1.0253381132548987,159
Treatment-Control,Religion,Atheist,0.8857803950409445,0.43563210168933675,1.6483401623612335,381
Treatment-Control,Religion,Other,0.9460261759757783,0.5878233101456267,1.4291443234362973,896
Treatment-Control,Political,Democrat,1.2005659886766566,0.7369163924519528,1.8171947757854237,1389
Treatment-Control,Political,Other,0.8417212781172206,0.5119455437993353,1.2924097460869282,1323
