,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.48,-1.68,0.69,876,1.0
"beta_Age[2,1]",-0.74,-1.86,0.36,904,1.0
"beta_Age[1,2]",-0.65,-1.83,0.51,925,1.0
"beta_Age[2,2]",-0.36,-1.49,0.7,871,1.0
"beta_Age[1,3]",-0.29,-1.46,0.88,863,1.0
"beta_Age[2,3]",-0.27,-1.37,0.8,870,1.0
"beta_Age[1,4]",-0.02,-1.19,1.15,925,1.0
"beta_Age[2,4]",-0.23,-1.34,0.83,862,1.0
"beta_Age[1,5]",-0.11,-1.29,1.08,952,1.0
"beta_Age[2,5]",-0.24,-1.34,0.82,869,1.0
"beta_Age[1,6]",-0.25,-1.42,0.96,930,1.0
"beta_Age[2,6]",-0.26,-1.39,0.82,898,1.0
mu_beta_Age[1],-0.41,-1.7,0.91,1943,1.0
mu_beta_Age[2],-0.34,-1.63,0.94,1983,1.0
mu_beta_Age[3],-0.18,-1.48,1.13,1969,1.0
mu_beta_Age[4],-0.09,-1.4,1.18,2170,1.0
mu_beta_Age[5],-0.13,-1.45,1.18,1871,1.0
mu_beta_Age[6],-0.16,-1.44,1.12,2012,1.0
"beta_Gender[1,1]",-1.12,-2.7,0.48,1701,1.0
"beta_Gender[2,1]",-0.57,-2.02,0.86,1166,1.0
"beta_Gender[1,2]",-0.92,-2.49,0.65,1689,1.0
"beta_Gender[2,2]",-0.3,-1.75,1.12,1153,1.0
"beta_Gender[1,3]",0.25,-1.74,2.27,2844,1.0
"beta_Gender[2,3]",-1.13,-2.67,0.43,1239,1.0
mu_beta_Gender[1],-0.55,-1.96,0.83,1902,1.0
mu_beta_Gender[2],-0.41,-1.81,0.98,2165,1.0
mu_beta_Gender[3],-0.29,-1.76,1.22,2324,1.0
"beta_Education[1,1]",-0.51,-1.72,0.73,978,1.01
"beta_Education[2,1]",-0.54,-1.64,0.59,901,1.01
"beta_Education[1,2]",-0.11,-1.21,1.0,962,1.01
"beta_Education[2,2]",-0.24,-1.31,0.87,837,1.01
"beta_Education[1,3]",-0.15,-1.27,1.01,909,1.01
"beta_Education[2,3]",-0.18,-1.28,0.93,835,1.01
"beta_Education[1,4]",-0.19,-1.29,0.91,987,1.01
"beta_Education[2,4]",-0.42,-1.5,0.66,833,1.01
"beta_Education[1,5]",-0.6,-1.72,0.54,996,1.01
"beta_Education[2,5]",-0.45,-1.55,0.7,844,1.01
"beta_Education[1,6]",-0.11,-1.29,1.1,1024,1.01
"beta_Education[2,6]",-0.09,-1.19,1.04,878,1.01
mu_beta_Education[1],-0.36,-1.63,0.96,2008,1.0
mu_beta_Education[2],-0.12,-1.44,1.2,1907,1.0
mu_beta_Education[3],-0.11,-1.43,1.17,1826,1.0
mu_beta_Education[4],-0.2,-1.43,1.04,2037,1.0
mu_beta_Education[5],-0.35,-1.62,0.95,2060,1.0
mu_beta_Education[6],-0.05,-1.39,1.3,2244,1.0
"beta_Employment[1,1]",-0.39,-1.61,0.78,1086,1.0
"beta_Employment[2,1]",-0.48,-1.67,0.73,916,1.0
"beta_Employment[1,2]",-0.32,-1.59,0.89,1120,1.0
"beta_Employment[2,2]",-0.48,-1.66,0.76,939,1.0
"beta_Employment[1,3]",-0.42,-1.68,0.82,1153,1.0
"beta_Employment[2,3]",-0.4,-1.64,0.89,970,1.0
"beta_Employment[1,4]",-0.42,-1.75,0.88,1192,1.0
"beta_Employment[2,4]",-0.32,-1.53,0.88,954,1.0
"beta_Employment[1,5]",-0.15,-1.44,1.07,1211,1.0
"beta_Employment[2,5]",-0.3,-1.52,0.94,938,1.0
mu_beta_Employment[1],-0.29,-1.63,1.06,1970,1.0
mu_beta_Employment[2],-0.26,-1.61,1.04,2392,1.0
mu_beta_Employment[3],-0.27,-1.65,1.09,2170,1.0
mu_beta_Employment[4],-0.25,-1.58,1.07,2012,1.0
mu_beta_Employment[5],-0.16,-1.46,1.17,2237,1.0
"beta_Religion[1,1]",-0.37,-1.58,0.89,969,1.0
"beta_Religion[2,1]",-0.14,-1.29,1.01,935,1.0
"beta_Religion[1,2]",-0.07,-1.52,1.41,1373,1.0
"beta_Religion[2,2]",-0.59,-1.76,0.62,934,1.0
"beta_Religion[1,3]",-0.45,-1.76,0.92,1019,1.0
"beta_Religion[2,3]",-0.74,-1.93,0.47,1100,1.0
"beta_Religion[1,4]",-0.43,-1.66,0.88,1011,1.0
"beta_Religion[2,4]",-0.35,-1.53,0.82,952,1.0
"beta_Religion[1,5]",-0.32,-1.52,0.95,983,1.0
"beta_Religion[2,5]",-0.13,-1.28,1.01,934,1.0
mu_beta_Religion[1],-0.17,-1.49,1.11,2238,1.0
mu_beta_Religion[2],-0.21,-1.6,1.17,2351,1.0
mu_beta_Religion[3],-0.4,-1.73,0.92,1946,1.0
mu_beta_Religion[4],-0.27,-1.59,1.06,2078,1.0
mu_beta_Religion[5],-0.14,-1.4,1.18,2056,1.0
"beta_Political[1,1]",-0.61,-2.07,0.8,1310,1.0
"beta_Political[2,1]",-0.72,-2.15,0.72,1385,1.0
