,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.16773805794379154,-0.651727142566422,0.3148175365057164,249
Control,Age,35-44,0.19216795505599096,-0.3275631219700624,0.714847636275769,226
Control,Age,45-54,0.46212510001845203,-0.10760280911786607,1.036012259763283,97
Control,Age,55-64,0.37090915481843395,-0.25494192280702554,1.0129553749427476,75
Control,Age,65+,0.23675304640430267,-0.4176234167959834,0.8911799280074683,121
Control,Gender,Female,0.1986603736860155,-0.13218497212439648,0.5301352426104127,499
Control,Gender,Other,1.3707558795461163,-0.5465543152086628,3.4724444385772366,9
Control,Education,Level-0,0.08665294643646701,-0.7238464407240615,0.8914232243974775,52
Control,Education,Level-1,0.49437966734234184,-0.05654926641172947,1.0493683998293633,301
Control,Education,Level-2,0.4460383727103673,-0.14800858032117278,1.0062123071922922,133
Control,Education,Level-3,0.40611063681436765,-0.1253401842357974,0.9286623253818984,234
Control,Education,Other,0.49254588901414553,-0.2745527371751351,1.2278929348364878,76
Control,Employment,Unemployed,0.07128526732348059,-0.40661335521031444,0.5605929821722292,117
Control,Employment,Student,-0.02270880487308138,-0.5810018143729954,0.5492556080749192,82
Control,Employment,Retired,-0.03112773269608513,-0.6420815309923638,0.5947285896131763,110
Control,Employment,Other,0.23898386362116905,-0.33577897134294826,0.8001887677015961,79
Control,Religion,Jewish,0.30662579543281204,-0.725042885620702,1.2992956821925266,27
Control,Religion,Muslim,-0.07208924640086498,-0.8506775070227366,0.6441774938249403,57
Control,Religion,Atheist,-0.056955650182044314,-0.6297916563187795,0.5114913394414549,77
Control,Religion,Other,0.04974034146344093,-0.3276313658184224,0.4332229735326317,256
Control,Political,Democrat,-0.1626781462836609,-0.5676513535049755,0.21930401745092273,366
Control,Political,Other,0.16122622433610564,-0.23356697399883908,0.5613673065070656,336
Control,Ethnicity,Hispanic,-0.18073148109365983,-0.7178110864999604,0.36497847499344976,101
Control,Ethnicity,Black,0.17817850819856199,-0.2758639226049599,0.6370159874594031,143
Control,Ethnicity,Asian,-0.03490801043036598,-0.6806491090097715,0.6240219779939996,60
Control,Ethnicity,Other,0.9467421774869359,0.39024495790679525,1.5219936995657075,93
Control,Income,Level-0,0.8999847231593698,0.2543782144376086,1.5367233786615762,178
Control,Income,Level-1,0.5704871493440941,0.014798367417922082,1.1554265280510645,191
