,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",0.5,-0.96,1.99,2602,1.0
"beta_Age[2,1]",1.07,-0.19,2.32,1835,1.0
"beta_Age[1,2]",0.24,-1.09,1.58,2064,1.0
"beta_Age[2,2]",0.34,-0.83,1.54,1589,1.0
"beta_Age[1,3]",1.09,-0.25,2.44,2206,1.0
"beta_Age[2,3]",0.84,-0.39,2.08,1668,1.0
"beta_Age[1,4]",1.52,0.1,2.94,2295,1.0
"beta_Age[2,4]",0.93,-0.27,2.14,1646,1.0
"beta_Age[1,5]",0.87,-0.63,2.42,2730,1.0
"beta_Age[2,5]",0.97,-0.28,2.18,1729,1.0
"beta_Age[1,6]",1.2,-0.64,3.05,3208,1.0
"beta_Age[2,6]",0.65,-0.74,2.09,2032,1.0
mu_beta_Age[1],0.53,-0.81,1.86,3798,1.0
mu_beta_Age[2],0.2,-1.09,1.49,3433,1.0
mu_beta_Age[3],0.65,-0.68,1.97,3306,1.0
mu_beta_Age[4],0.81,-0.53,2.16,3393,1.0
mu_beta_Age[5],0.61,-0.73,1.98,3344,1.0
mu_beta_Age[6],0.61,-0.85,2.07,3143,1.0
"beta_Gender[1,1]",2.37,0.75,4.03,2371,1.0
"beta_Gender[2,1]",1.38,-0.19,2.91,2156,1.0
"beta_Gender[1,2]",2.18,0.5,3.83,2460,1.0
"beta_Gender[2,2]",1.6,0.03,3.14,2202,1.0
"beta_Gender[1,3]",0.72,-1.54,2.9,4085,1.0
"beta_Gender[2,3]",1.7,-0.28,3.72,3340,1.0
mu_beta_Gender[1],1.24,-0.2,2.67,3035,1.0
mu_beta_Gender[2],1.26,-0.2,2.76,3036,1.0
mu_beta_Gender[3],0.81,-0.83,2.41,3925,1.0
"beta_Education[1,1]",0.27,-1.47,2.12,3294,1.0
"beta_Education[2,1]",0.64,-0.71,2.04,2202,1.0
"beta_Education[1,2]",0.61,-0.69,1.9,2278,1.0
"beta_Education[2,2]",0.54,-0.63,1.73,1715,1.0
"beta_Education[1,3]",0.96,-0.38,2.33,2314,1.0
"beta_Education[2,3]",1.03,-0.15,2.25,1813,1.0
"beta_Education[1,4]",1.5,0.12,2.87,2529,1.0
"beta_Education[2,4]",0.55,-0.6,1.71,1646,1.0
"beta_Education[1,5]",1.28,-0.12,2.66,2493,1.0
"beta_Education[2,5]",0.92,-0.34,2.16,1725,1.0
"beta_Education[1,6]",0.72,-0.81,2.27,2770,1.0
"beta_Education[2,6]",1.03,-0.23,2.31,1961,1.0
mu_beta_Education[1],0.3,-1.1,1.74,3682,1.0
mu_beta_Education[2],0.38,-0.91,1.67,3671,1.0
mu_beta_Education[3],0.67,-0.64,2.0,3381,1.0
mu_beta_Education[4],0.68,-0.67,2.06,3669,1.0
mu_beta_Education[5],0.73,-0.57,2.03,3433,1.0
mu_beta_Education[6],0.58,-0.76,1.94,3535,1.0
"beta_Employment[1,1]",0.54,-0.85,1.92,2052,1.0
"beta_Employment[2,1]",1.13,-0.13,2.37,1818,1.0
"beta_Employment[1,2]",1.29,-0.35,2.92,2677,1.0
"beta_Employment[2,2]",0.87,-0.51,2.25,2032,1.0
"beta_Employment[1,3]",0.6,-1.13,2.34,2963,1.0
"beta_Employment[2,3]",0.68,-0.82,2.13,2406,1.0
"beta_Employment[1,4]",1.07,-0.78,2.93,3019,1.0
"beta_Employment[2,4]",0.98,-0.5,2.48,2282,1.0
"beta_Employment[1,5]",1.78,0.22,3.37,2221,1.0
"beta_Employment[2,5]",0.94,-0.39,2.25,1919,1.0
mu_beta_Employment[1],0.57,-0.74,1.9,3203,1.0
mu_beta_Employment[2],0.72,-0.6,2.16,3312,1.0
mu_beta_Employment[3],0.42,-1.0,1.84,3378,1.0
mu_beta_Employment[4],0.69,-0.72,2.14,3357,1.0
mu_beta_Employment[5],0.9,-0.45,2.28,3333,1.0
"beta_Religion[1,1]",0.38,-1.11,1.77,2175,1.0
"beta_Religion[2,1]",1.0,-0.29,2.3,1742,1.0
"beta_Religion[1,2]",0.6,-1.82,3.14,4329,1.0
"beta_Religion[2,2]",0.78,-1.3,2.85,3965,1.0
"beta_Religion[1,3]",1.77,0.01,3.54,2801,1.0
"beta_Religion[2,3]",0.84,-0.68,2.31,2345,1.0
"beta_Religion[1,4]",1.45,-0.01,2.91,2196,1.0
"beta_Religion[2,4]",1.1,-0.2,2.41,1825,1.0
"beta_Religion[1,5]",1.08,-0.43,2.55,2116,1.0
"beta_Religion[2,5]",0.94,-0.38,2.26,1855,1.0
mu_beta_Religion[1],0.45,-0.93,1.8,3042,1.0
mu_beta_Religion[2],0.45,-1.24,2.17,3875,1.0
mu_beta_Religion[3],0.87,-0.54,2.31,3015,1.0
