,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.9726639980628532,0.20899230313640657,2.9205335950900757,227
Control,Age,35-44,2.305491550818871,0.4640444012545097,7.155507138226449,190
Control,Age,45-54,3.672996357591283,0.6282757844992519,12.2587496093082,162
Control,Age,55-64,2.0165097092798705,0.30253961920081535,7.036683246615433,127
Control,Age,65+,3.485257161010036,0.2578606776755137,15.480707628396308,154
Control,Gender,Female,0.9137575385391036,0.36084788011510915,1.990191281622171,573
Control,Gender,Other,0.384323607677602,0.018945005419792427,1.9253834753847794,6
Control,Education,Level-0,0.5751720262126184,0.05696412158657773,2.413970360712305,40
Control,Education,Level-1,0.6322810417433362,0.14759397257723142,1.7661527020428665,276
Control,Education,Level-2,0.8952365307431361,0.19918317414182166,2.5993677988019073,190
Control,Education,Level-3,1.531137605215645,0.36767464766536534,4.575094099618611,258
Control,Education,Other,0.7897308378973954,0.1170853432859026,2.8356863496101505,73
Control,Employment,Unemployed,2.7517900564941344,0.4884029811083093,8.990055447038861,56
Control,Employment,Student,1.4841751706467872,0.22278009239380317,5.467533857624904,64
Control,Employment,Retired,2.6099489024543017,0.2883897919710642,10.485430488862773,151
Control,Employment,Other,4.253501876622434,1.0418482367860527,12.196177477786726,110
Control,Religion,Jewish,3.199214679439929,0.08696574616010065,18.027222453544653,10
Control,Religion,Muslim,5.933674101357319,0.7642250161444164,23.29200986979828,34
Control,Religion,Atheist,3.2915383267617493,1.1753069842721735,7.660509830456948,342
Control,Religion,Other,2.3321637773456008,0.7118504078399855,5.848338247226463,172
Control,Political,Labour,0.9641940840222629,0.29930183374256847,2.415073132700715,350
Control,Political,Liberal-Democrat,1.7019451397075989,0.3220919611859832,5.259317846064221,87
Control,Political,SNP,1.598962617900758,0.1625789705457835,6.618938909009171,44
Control,Political,Other,1.5649183617446905,0.48369102451754015,3.8183467234418016,212
Control,Ethnicity,Black,1.8789060709253826,0.2085024633627685,7.110031338755147,27
Control,Ethnicity,Asian,0.9962641128685451,0.18477889562972594,3.1385790759040124,82
Control,Ethnicity,Other,0.8179193433216013,0.11317389897880492,2.928692945475366,19
Control,Income,Level-0,1.9038402963687278,0.36975260099750307,5.753382423648622,154
Control,Income,Level-1,0.7398211929233494,0.1637830671994923,2.099110882244521,197
Control,Income,Level-2,1.5452717216151386,0.3067912525709957,4.627811132172208,167
Control,Income,Level-3,2.098956964182007,0.5041907104966094,5.680919933224388,230
Control,Income,Other,1.2984674204347946,0.19566091053335136,4.432655510218266,68
Control,Social media usage,Less than 10 minutes per day,0.29851279973436123,0.04785962926286327,1.0013871404167505,122
Control,Social media usage,10–30 minutes per day,1.1067180871461126,0.23559161147291022,3.387820103512825,215
Control,Social media usage,31–60 minutes per day,0.5467043304649433,0.11531947758083923,1.598485667576698,160
Control,Social media usage,1–2 hours per day,0.7837689272512594,0.15971454014099673,2.3044120255015534,154
Control,Social media usage,2–3 hours per day,1.843217490153306,0.25975099157515114,6.409830974696126,94
Control,Social media usage,More than 3 hours per day,1.2943146384083335,0.22212145133634095,4.342849243622827,119
Treatment,Age,25-34,0.5269906194498802,0.19825355949159237,1.129095796831062,575
Treatment,Age,35-44,0.8816717926390666,0.31829595664200705,1.9543538336606863,586
Treatment,Age,45-54,0.9637731785803945,0.35506124649072035,2.1272564213608076,528
Treatment,Age,55-64,1.0203007845148333,0.3449290554957503,2.3418958741165343,437
Treatment,Age,65+,0.8118843354618033,0.18297865645369027,2.363952115338788,510
Treatment,Gender,Female,1.287959642639514,0.7686139237726302,2.015586550278864,1710
Treatment,Gender,Other,2.20564169317673,0.21827305557888876,9.397950980645312,19
Treatment,Education,Level-0,0.9084493181148298,0.2416530283833355,2.4598170415950773,138
Treatment,Education,Level-1,0.7376947243200763,0.3144025619534381,1.460657086466195,875
Treatment,Education,Level-2,1.233113507779509,0.4728499728057733,2.657138709649481,501
Treatment,Education,Level-3,0.7434799877971794,0.320253158890262,1.488759003360274,787
Treatment,Education,Other,1.2714475143976587,0.4160659374728484,3.0501985738277986,234
Treatment,Employment,Unemployed,0.8465568338293675,0.3197982083011097,1.8535397641304023,165
Treatment,Employment,Student,0.7450811481191627,0.2118179802709145,1.9403726731974047,134
Treatment,Employment,Retired,1.0012933378578912,0.2833396109615359,2.469693338793876,496
Treatment,Employment,Other,0.8781191185891162,0.39869574160639754,1.7115807985851517,291
Treatment,Religion,Jewish,1.4014539959336478,0.10198326114344487,6.689906828245278,34
Treatment,Religion,Muslim,1.0074140171640251,0.2801154720701085,2.659160281384575,117
Treatment,Religion,Atheist,1.1472922810842325,0.628176837538839,1.909296705119856,1001
Treatment,Religion,Other,0.9829420740685245,0.5095994474075812,1.7301752523011993,562
Treatment,Political,Labour,1.0940479323556762,0.5895727412803851,1.8729639471555302,1060
Treatment,Political,Liberal-Democrat,0.8046604466654631,0.2710809984013924,1.8532734414990357,220
Treatment,Political,SNP,0.8583876605256013,0.21014001987308079,2.429126286159719,109
Treatment,Political,Other,2.1484655967667443,1.157293303157275,3.761634173361796,633
Treatment,Ethnicity,Black,0.8706324169445439,0.286406593618482,2.106145388474835,109
Treatment,Ethnicity,Asian,1.0732858624270165,0.37748416405393836,2.4560500636034406,216
Treatment,Ethnicity,Other,1.3054591620576013,0.3342450087669138,3.6489654743966318,54
Treatment,Income,Level-0,1.2137307168033014,0.4620361789743027,2.4869809360692847,430
Treatment,Income,Level-1,0.9326236045354286,0.39444058445901414,1.8928652541094553,593
Treatment,Income,Level-2,0.6543425566919777,0.26393696091270386,1.3372545548132873,581
Treatment,Income,Level-3,0.6128826281804043,0.2619745550301139,1.223743345993245,726
Treatment,Income,Other,0.7770799549715548,0.25771731806301296,1.8359434671810653,179
Treatment,Social media usage,Less than 10 minutes per day,0.7356920469288623,0.2944071416398752,1.5331696678048707,413
Treatment,Social media usage,10–30 minutes per day,0.7234383598082508,0.29584859445580064,1.4833689611433574,616
Treatment,Social media usage,31–60 minutes per day,0.7268721436949213,0.27374828492920966,1.603843582995552,463
Treatment,Social media usage,1–2 hours per day,1.2040328515087897,0.4854792377897522,2.54339361365236,481
Treatment,Social media usage,2–3 hours per day,1.935171792126791,0.6982962257847802,4.3451833685022025,289
Treatment,Social media usage,More than 3 hours per day,1.1369934573262972,0.4592356602123855,2.370757876018168,343
Treatment-Control,Age,25-34,0.8461141370601174,0.13001528693443137,2.977261137795902,802
Treatment-Control,Age,35-44,0.6050903329658729,0.0892291849627811,2.1405439916173283,776
Treatment-Control,Age,45-54,0.45076913564490184,0.05760649814570218,1.7084591769149984,690
Treatment-Control,Age,55-64,0.9635348191977485,0.10307244371407367,3.7797455974169187,564
Treatment-Control,Age,65+,0.615207377141115,0.036682368751861295,3.0461912448294344,664
Treatment-Control,Gender,Female,1.7052090909004356,0.5698729884138207,3.8802694840176364,2283
Treatment-Control,Gender,Other,16.952231084314025,0.5886775016041373,92.8451219591011,25
Treatment-Control,Education,Level-0,3.7313249191131357,0.2558747344598784,16.557860762391275,178
Treatment-Control,Education,Level-1,1.733136971001436,0.3125480640000461,5.3787472054139585,1151
Treatment-Control,Education,Level-2,2.075421767044183,0.3576130840764451,6.961127514981205,691
Treatment-Control,Education,Level-3,0.7232940632310164,0.1285977071607465,2.2424037147895812,1045
Treatment-Control,Education,Other,3.01756078012665,0.3074821624130042,11.676898275232348,307
Treatment-Control,Employment,Unemployed,0.5059093623404205,0.07108876420447166,1.8689652362479772,221
Treatment-Control,Employment,Student,0.9204229450436592,0.09879148874712004,3.587961207867646,198
Treatment-Control,Employment,Retired,0.8254245226803777,0.07195958813851505,3.4874592034040783,647
Treatment-Control,Employment,Other,0.30683943034230016,0.056430405425977534,0.9624337677074335,401
Treatment-Control,Religion,Jewish,1.8813630376619297,0.03901570530474216,10.85316752138266,44
Treatment-Control,Religion,Muslim,0.3444560508412775,0.029381517951451937,1.4985933307707953,151
Treatment-Control,Religion,Atheist,0.4346551894020331,0.1279956632661939,1.0612841356800895,1343
Treatment-Control,Religion,Other,0.5585969971108065,0.14384574640863945,1.5403756630784922,734
Treatment-Control,Political,Labour,1.4846097539443426,0.3797418938066579,4.013513150580403,1410
Treatment-Control,Political,Liberal-Democrat,0.7630221667732842,0.10773275956842304,2.7465774881915057,307
Treatment-Control,Political,SNP,1.1795638599410152,0.08548641013063142,5.292677751823922,153
Treatment-Control,Political,Other,1.8099173001719404,0.4646082088135436,5.018796996881367,845
Treatment-Control,Ethnicity,Black,0.996989827831534,0.09145929487746383,4.337048059413353,136
Treatment-Control,Ethnicity,Asian,1.7737987535454622,0.24803892375016517,6.536531184095559,298
Treatment-Control,Ethnicity,Other,2.9857497309305985,0.2836582252613873,12.948394055520447,73
Treatment-Control,Income,Level-0,1.0379280560354835,0.14934638729702773,3.631431897781426,584
Treatment-Control,Income,Level-1,1.9154485315491339,0.32100886014381186,6.2836286115485285,790
Treatment-Control,Income,Level-2,0.6825927337701897,0.10468117207637388,2.3581526852542956,748
Treatment-Control,Income,Level-3,0.42002062327145795,0.0827938305927029,1.3311667498546627,956
Treatment-Control,Income,Other,1.0953843848742875,0.12690811207687205,4.401057394080641,247
Treatment-Control,Social media usage,Less than 10 minutes per day,4.369038298481275,0.5646479750961132,15.034234783549305,535
Treatment-Control,Social media usage,10–30 minutes per day,1.027806241007971,0.15647047159857552,3.410729972351912,831
Treatment-Control,Social media usage,31–60 minutes per day,2.060712675154561,0.3353993785221646,7.127344156785039,623
Treatment-Control,Social media usage,1–2 hours per day,2.4544218700676383,0.3817835673712863,8.455519287217752,635
Treatment-Control,Social media usage,2–3 hours per day,2.0463849549879294,0.20985509576835865,8.071885761085097,383
Treatment-Control,Social media usage,More than 3 hours per day,1.56126107643374,0.19234824976349263,5.851748447642149,462
