,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.2578434326454483,-1.5654581397896568,1.0717663067658973,227
Control,Age,35-44,0.5931681121469875,-0.7677750833445243,1.9678813923137801,190
Control,Age,45-54,1.0210388335759746,-0.4647760758089307,2.5062394815946556,162
Control,Age,55-64,0.3695105956133929,-1.1955447528281573,1.9511368692361641,127
Control,Age,65+,0.7001096556544925,-1.355336273166588,2.7395945665662693,154
Control,Gender,Female,-0.18933760229348248,-1.0192988252367765,0.6882306845680657,573
Control,Gender,Other,-1.6488081295327337,-3.9662150907301665,0.6551251354926009,6
Control,Education,Level-0,-1.0078700901467967,-2.865333722962791,0.8812728442483886,40
Control,Education,Level-1,-0.6631332971254246,-1.9132903314652931,0.5688035558876996,276
Control,Education,Level-2,-0.3216173445077748,-1.613530498825052,0.9552681307387039,190
Control,Education,Level-3,0.2224178176788491,-1.0005569381568533,1.5206272250936135,258
Control,Education,Other,-0.5619461884612148,-2.144852512135289,1.042283943559361,73
Control,Employment,Unemployed,0.7457412112941971,-0.7166144457222019,2.1961187823648234,56
Control,Employment,Student,0.05359225717293897,-1.5015710582207813,1.6988276563270375,64
Control,Employment,Retired,0.5283953114146672,-1.2434425903122328,2.349986635499801,151
Control,Employment,Other,1.2389234909582174,0.04099626305362346,2.501122569119436,110
Control,Religion,Jewish,0.22220182762583734,-2.442240981917391,2.891882595432312,10
Control,Religion,Muslim,1.390765049188191,-0.26889449961950623,3.1481101825605045,34
Control,Religion,Atheist,1.0768793651196433,0.16152866671000554,2.0360785118961244,342
Control,Religion,Other,0.7040507988156821,-0.3398874982249478,1.7661575155485933,172
Control,Political,Labour,-0.17413927456491307,-1.2063027559062554,0.8817294721887966,350
Control,Political,Liberal-Democrat,0.27412513000047745,-1.132918219072296,1.6600009313569835,87
Control,Political,SNP,0.026814679957406256,-1.8165914768086027,1.8899350453823027,44
Control,Political,Other,0.3076862984565859,-0.7263089615174163,1.339817529762439,212
Control,Ethnicity,Black,0.23007819569086027,-1.5678044627796466,1.9615064338182375,27
Control,Ethnicity,Asian,-0.26838908533540373,-1.6885954858007668,1.1437670430409395,82
Control,Ethnicity,Other,-0.5466056744467259,-2.1788298033241267,1.0745561376010544,19
Control,Income,Level-0,0.3947286703521713,-0.9949211447208122,1.7497879208155027,154
Control,Income,Level-1,-0.5166312723123034,-1.809213758644427,0.74151353423333,197
Control,Income,Level-2,0.19227868985615004,-1.1815879735400037,1.5320837863547658,167
Control,Income,Level-3,0.5548570112565436,-0.6848006933248872,1.7371124439783312,230
Control,Income,Other,-0.05104987998450717,-1.631372597414328,1.4889988270831331,68
Control,Social media usage,Less than 10 minutes per day,-1.508913810825542,-3.0394829438040003,0.0013856298975576471,122
