,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.054855692493441965,-0.5497488453275027,0.6714474885162922,227
Control,Age,35-44,0.06152238440440501,-0.5694610621259738,0.6822593427379503,190
Control,Age,45-54,0.2946261549476052,-0.3539486038486522,0.9755747096172357,162
Control,Age,55-64,0.11683746678586975,-0.6186909468031861,0.8708731732881584,127
Control,Age,65+,0.6085969314456494,-0.44294054400810645,1.5954137862789233,154
Control,Gender,Female,-0.10056236456195902,-0.4449511949856013,0.2553771534277087,573
Control,Gender,Other,-0.3795871127624304,-1.949698580134767,1.1991979365208976,6
Control,Education,Level-0,-0.23349802417783624,-1.1620879423981751,0.6569269734778889,40
Control,Education,Level-1,-0.23029584454428667,-0.7624038370916495,0.2967526588543658,276
Control,Education,Level-2,-0.3740902258048665,-0.9680353976695926,0.221280905556565,190
Control,Education,Level-3,-0.16446673994185737,-0.6936013359811274,0.34620963614034517,258
Control,Education,Other,-0.3020478651930652,-1.0759975531632386,0.4534555035391679,73
Control,Employment,Unemployed,0.755883104310583,0.04980123844155241,1.4652882334132307,56
Control,Employment,Student,0.1568025900060377,-0.6840282336201207,1.004652087372176,64
Control,Employment,Retired,-0.3999071327630458,-1.3032570673723034,0.48915341672624457,151
Control,Employment,Other,0.27671423156449854,-0.282368246194506,0.8343284887644384,110
Control,Religion,Jewish,1.50355138794404,-0.02520111257807272,2.9092576859152413,10
Control,Religion,Muslim,0.7149447978605787,-0.21680189699210572,1.6129179080144767,34
Control,Religion,Atheist,0.286166433768131,-0.09532741180226165,0.669017432870247,342
Control,Religion,Other,0.7272571411212718,0.2525634568374149,1.1919285140094726,172
Control,Political,Labour,-0.07595674083071688,-0.5295149157347555,0.3787598612016407,350
Control,Political,Liberal-Democrat,0.001613262595807581,-0.6502833509773587,0.6353975181827245,87
Control,Political,SNP,0.13340368388577378,-0.7392902015914294,0.9362742118278833,44
Control,Political,Other,-0.040582970090581476,-0.5354642156806189,0.4524053426233987,212
Control,Ethnicity,Black,0.5489874421303993,-0.4179034154382009,1.4972097260201178,27
Control,Ethnicity,Asian,-0.12362336887780465,-0.7964524861328004,0.5450160327006117,82
Control,Ethnicity,Other,-0.4701778032153305,-1.5231158832807754,0.5549779677053465,19
Control,Income,Level-0,0.07502061993651536,-0.5527517424049914,0.6898608928147508,154
Control,Income,Level-1,-0.28116960429894455,-0.8633787437592584,0.29363163629258954,197
Control,Income,Level-2,0.03860045286056828,-0.5725674730235137,0.61783163666878,167
Control,Income,Level-3,0.09362906223692555,-0.45856616901226444,0.6344709930186765,230
Control,Income,Other,-0.06814527763861775,-0.8130107557228824,0.6896712564256963,68
Control,Social media usage,Less than 10 minutes per day,-0.5493938528925364,-1.2384754227236439,0.1237419332905409,122
Control,Social media usage,10–30 minutes per day,-0.0774643146442477,-0.6740175004968493,0.5113633087232173,215
Control,Social media usage,31–60 minutes per day,-0.19998109117017643,-0.8064166633965718,0.40284730931071966,160
Control,Social media usage,1–2 hours per day,-0.005443863342524503,-0.6387831733142144,0.6133840839047852,154
Control,Social media usage,2–3 hours per day,-0.06788827560894707,-0.8176614948332316,0.6872976231907006,94
Control,Social media usage,More than 3 hours per day,0.10563345854108143,-0.5844539612745223,0.8004916238277969,119
Treatment,Age,25-34,-0.15053996682701504,-0.46539316433823424,0.16843713871928062,575
Treatment,Age,35-44,-0.2696792536956725,-0.601824767663549,0.0614433137265839,586
Treatment,Age,45-54,-0.18406681094447133,-0.5253944415516126,0.15585586879795918,528
Treatment,Age,55-64,-0.36507789079038594,-0.7315167494739145,0.00045200832465287045,437
Treatment,Age,65+,-0.39269580697306045,-0.8521710462008352,0.07136216026783404,510
Treatment,Gender,Female,0.24056653387414462,0.06174668872016562,0.41784003785550183,1710
Treatment,Gender,Other,0.6656539315739762,-0.25793898684521244,1.6271510501588724,19
Treatment,Education,Level-0,0.21534235076063357,-0.24957973104748565,0.6806877734151765,138
Treatment,Education,Level-1,-0.015621502643047708,-0.2947658914666514,0.26718532938916756,875
Treatment,Education,Level-2,0.08283137838860509,-0.22403145499980046,0.3920236197228769,501
Treatment,Education,Level-3,-0.09675367305353691,-0.3661246333728004,0.17186669816673505,787
Treatment,Education,Other,0.1505130401254221,-0.22088725719706834,0.5341721929334954,234
Treatment,Employment,Unemployed,-0.2060701014847032,-0.5737921904357074,0.16320555300783546,165
Treatment,Employment,Student,-0.417512222901263,-0.863023550615804,0.03470262537061239,134
Treatment,Employment,Retired,-0.3074989536336625,-0.6788831300077374,0.07713981855637289,496
Treatment,Employment,Other,-0.023189133812780732,-0.3022249268591871,0.24471400049963277,291
Treatment,Religion,Jewish,0.014088110363592336,-0.7848841952846615,0.7708966659072909,34
Treatment,Religion,Muslim,-0.22987678569080425,-0.729284568271821,0.2343381732710664,117
Treatment,Religion,Atheist,-0.16230019765718465,-0.36061255120072666,0.037076052693407226,1001
Treatment,Religion,Other,-0.11607754611209711,-0.349622359633483,0.12463200862433302,562
Treatment,Political,Labour,0.015029875853942932,-0.1998890251625316,0.22474432221410376,1060
Treatment,Political,Liberal-Democrat,-0.41201494664400273,-0.7841119812792211,-0.05622928620632405,220
Treatment,Political,SNP,0.2235069036358952,-0.21760987574747703,0.6605477477574087,109
Treatment,Political,Other,0.019842341867651308,-0.21406426705810042,0.25547853636578427,633
Treatment,Ethnicity,Black,0.10027917682618893,-0.3329834073097409,0.5386373889505991,109
Treatment,Ethnicity,Asian,0.3582015450721169,-0.0055302919430329335,0.7082328619072544,216
Treatment,Ethnicity,Other,0.17020088613694648,-0.40806520930706625,0.7411024711392584,54
Treatment,Income,Level-0,0.1312686991429563,-0.1874260557184029,0.4661108362425151,430
Treatment,Income,Level-1,0.09538683517829107,-0.1827944517917562,0.38164053355064,593
Treatment,Income,Level-2,-0.07616236606821007,-0.37129034922017445,0.2056383994464893,581
Treatment,Income,Level-3,-0.08580091060530153,-0.34920804415033085,0.17790529615125078,726
Treatment,Income,Other,0.027045259639154273,-0.3686101438554966,0.4205491443301801,179
Treatment,Social media usage,Less than 10 minutes per day,-0.1072537234121128,-0.4324970258245882,0.2133405531202687,413
Treatment,Social media usage,10–30 minutes per day,0.059703455554630594,-0.23407299218902494,0.35432050922293057,616
Treatment,Social media usage,31–60 minutes per day,-0.007076438130662904,-0.337621523545673,0.3204409699294899,463
Treatment,Social media usage,1–2 hours per day,0.22807936031812637,-0.08324531734916213,0.54402597025487,481
Treatment,Social media usage,2–3 hours per day,0.25859782288834565,-0.10157538241966971,0.6227851357872146,289
Treatment,Social media usage,More than 3 hours per day,0.0670079793438164,-0.2910945313990676,0.4219917832363736,343
Treatment-Control,Age,25-34,-0.20539565932045664,-0.8914222970914503,0.48885926802898905,802
Treatment-Control,Age,35-44,-0.3312016381000772,-1.0613711526934553,0.39368858109728944,776
Treatment-Control,Age,45-54,-0.4786929658920757,-1.2310172365245489,0.25307251979277484,690
Treatment-Control,Age,55-64,-0.48191535757625614,-1.3117009779671214,0.3336769938101608,564
Treatment-Control,Age,65+,-1.0012927384187131,-2.067393284037367,0.11349996805274985,664
Treatment-Control,Gender,Female,0.3411288984361027,-0.04872778731979846,0.731453952079285,2283
