,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",0.46,-0.86,1.77,1251,1.0
"beta_Age[2,1]",-0.24,-1.41,0.95,1057,1.0
"beta_Age[1,2]",-0.48,-1.75,0.8,1210,1.0
"beta_Age[2,2]",0.25,-0.87,1.38,954,1.0
"beta_Age[1,3]",0.86,-0.48,2.25,1351,1.0
"beta_Age[2,3]",0.62,-0.51,1.75,993,1.0
"beta_Age[1,4]",1.21,-0.17,2.6,1420,1.0
"beta_Age[2,4]",0.73,-0.36,1.89,935,1.0
"beta_Age[1,5]",0.69,-0.63,2.11,1324,1.0
"beta_Age[2,5]",1.07,-0.05,2.22,954,1.0
"beta_Age[1,6]",0.93,-0.51,2.41,1623,1.0
"beta_Age[2,6]",0.83,-0.34,1.99,1004,1.0
mu_beta_Age[1],0.07,-1.29,1.41,2320,1.0
mu_beta_Age[2],-0.08,-1.39,1.23,2116,1.0
mu_beta_Age[3],0.51,-0.79,1.87,2363,1.0
mu_beta_Age[4],0.65,-0.7,2.01,2487,1.0
mu_beta_Age[5],0.58,-0.77,1.87,2471,1.0
mu_beta_Age[6],0.58,-0.79,1.99,2271,1.0
"beta_Gender[1,1]",1.89,0.31,3.56,1306,1.0
"beta_Gender[2,1]",1.44,-0.09,2.98,1152,1.0
"beta_Gender[1,2]",2.46,0.88,4.07,1297,1.0
"beta_Gender[2,2]",1.58,0.04,3.09,1155,1.0
"beta_Gender[1,3]",-0.61,-2.71,1.48,2558,1.0
"beta_Gender[2,3]",0.31,-1.44,2.0,1503,1.0
mu_beta_Gender[1],1.11,-0.39,2.52,1751,1.0
mu_beta_Gender[2],1.36,-0.07,2.8,1861,1.0
mu_beta_Gender[3],-0.11,-1.63,1.46,2371,1.0
"beta_Education[1,1]",0.39,-1.27,2.01,2064,1.0
"beta_Education[2,1]",-0.08,-1.31,1.18,1010,1.0
"beta_Education[1,2]",0.91,-0.32,2.16,1122,1.0
"beta_Education[2,2]",0.93,-0.22,2.08,850,1.0
"beta_Education[1,3]",1.11,-0.18,2.39,1325,1.0
"beta_Education[2,3]",0.84,-0.31,2.01,866,1.0
"beta_Education[1,4]",0.7,-0.62,2.0,1207,1.0
"beta_Education[2,4]",0.45,-0.72,1.63,893,1.0
"beta_Education[1,5]",-0.02,-1.47,1.38,1499,1.0
"beta_Education[2,5]",0.37,-0.81,1.54,903,1.0
"beta_Education[1,6]",0.67,-0.78,2.09,1534,1.0
"beta_Education[2,6]",0.79,-0.45,1.97,973,1.0
mu_beta_Education[1],0.11,-1.29,1.51,2600,1.0
mu_beta_Education[2],0.62,-0.71,1.93,2131,1.0
mu_beta_Education[3],0.66,-0.69,1.96,2126,1.0
mu_beta_Education[4],0.39,-0.9,1.69,1863,1.0
mu_beta_Education[5],0.12,-1.23,1.45,2290,1.0
mu_beta_Education[6],0.49,-0.88,1.82,2215,1.0
"beta_Employment[1,1]",0.65,-0.69,1.93,973,1.0
"beta_Employment[2,1]",0.49,-0.74,1.72,896,1.0
"beta_Employment[1,2]",0.59,-0.8,2.03,1117,1.0
"beta_Employment[2,2]",0.39,-0.87,1.68,905,1.0
"beta_Employment[1,3]",0.46,-1.03,1.96,1272,1.0
"beta_Employment[2,3]",0.72,-0.63,2.08,1113,1.0
"beta_Employment[1,4]",0.74,-0.84,2.28,1350,1.0
"beta_Employment[2,4]",0.83,-0.46,2.13,981,1.0
"beta_Employment[1,5]",1.46,-0.01,2.94,1222,1.0
"beta_Employment[2,5]",0.97,-0.28,2.23,860,1.0
mu_beta_Employment[1],0.39,-0.96,1.75,1904,1.0
mu_beta_Employment[2],0.32,-1.06,1.7,1813,1.0
mu_beta_Employment[3],0.39,-1.04,1.86,2253,1.0
mu_beta_Employment[4],0.53,-0.88,1.91,1880,1.0
mu_beta_Employment[5],0.82,-0.56,2.19,1934,1.0
"beta_Religion[1,1]",0.75,-0.6,2.12,1434,1.0
"beta_Religion[2,1]",1.1,-0.07,2.29,1131,1.0
"beta_Religion[1,2]",0.5,-1.69,2.66,3490,1.0
"beta_Religion[2,2]",0.34,-0.99,1.7,1410,1.0
"beta_Religion[1,3]",0.65,-0.95,2.41,2100,1.0
"beta_Religion[2,3]",-0.07,-1.55,1.45,1763,1.0
"beta_Religion[1,4]",1.01,-0.49,2.51,1865,1.0
"beta_Religion[2,4]",0.84,-0.39,2.08,1109,1.0
"beta_Religion[1,5]",0.81,-0.52,2.14,1591,1.0
"beta_Religion[2,5]",1.11,-0.08,2.3,1151,1.0
mu_beta_Religion[1],0.61,-0.77,1.96,2665,1.0
mu_beta_Religion[2],0.28,-1.21,1.77,2985,1.0
mu_beta_Religion[3],0.19,-1.22,1.64,2481,1.0
mu_beta_Religion[4],0.62,-0.76,1.98,2551,1.0
mu_beta_Religion[5],0.64,-0.71,1.97,2553,1.0
"beta_Political[1,1]",1.44,-0.09,2.95,1140,1.0
"beta_Political[2,1]",1.1,-0.34,2.5,1085,1.0
"beta_Political[1,2]",0.86,-0.69,2.41,1108,1.0
"beta_Political[2,2]",0.96,-0.5,2.39,1082,1.0
"beta_Political[1,3]",1.58,0.07,3.06,1176,1.0
"beta_Political[2,3]",1.4,-0.06,2.82,1106,1.0
mu_beta_Political[1],0.85,-0.59,2.22,1793,1.0
mu_beta_Political[2],0.6,-0.84,2.02,2000,1.0
mu_beta_Political[3],0.99,-0.5,2.43,2031,1.0
"beta_Ethnicity[1,1]",0.76,-0.53,2.07,1129,1.01
