,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.4420139278639428,0.14518040896251902,1.0357761545683597,249
Control,Age,35-44,1.7744862830045307,0.4883670520069703,4.622231575366005,226
Control,Age,45-54,2.585405606969953,0.6402721322181337,7.674443565598376,97
Control,Age,55-64,1.551752140970784,0.365663846927134,4.405920373343016,75
Control,Age,65+,2.098777745608511,0.4035609425444284,7.008880570857458,121
Control,Gender,Female,1.9089932219954935,0.8381138503794593,3.7072144469150716,499
Control,Gender,Other,0.15220214346174218,0.009775976977043249,0.7425141389501992,9
Control,Education,Level-0,2.1964963356974527,0.27580197256374933,8.265970535835232,52
Control,Education,Level-1,3.050077574568771,0.7636300871819459,8.36328330190958,301
Control,Education,Level-2,3.8177168653895373,0.897720509426583,11.043638444124678,133
Control,Education,Level-3,2.4933712129991754,0.6069643381714558,6.96085031537048,234
Control,Education,Other,2.602068407624266,0.489141239187777,8.476567619710762,76
Control,Employment,Unemployed,1.0597744443211647,0.3659494122435321,2.399029989181638,117
Control,Employment,Student,0.9787752088965446,0.2666594915389779,2.5956300024880314,82
Control,Employment,Retired,1.3350399317214618,0.30774909426408836,3.765334402434315,110
Control,Employment,Other,2.618983729390535,0.7652319174101352,6.849641420003908,79
Control,Religion,Jewish,1.5980199831080615,0.07978646337591876,7.882524875640707,27
Control,Religion,Muslim,1.2449894881628867,0.20767667821012203,4.371647965238892,57
Control,Religion,Atheist,1.5550913220137277,0.4003558188275828,4.325802022257283,77
Control,Religion,Other,1.1472104761953603,0.4915175291050906,2.2606677082179814,256
Control,Political,Democrat,0.6146120587590264,0.24240133201943193,1.3197071094560056,366
Control,Political,Other,1.2530758903362291,0.485908637125705,2.6231740825544256,336
Control,Ethnicity,Hispanic,0.7033572723224926,0.2058591850154207,1.79277357190466,101
Control,Ethnicity,Black,1.1099176519253204,0.4290026217741276,2.36103644515497,143
Control,Ethnicity,Asian,0.8372750152802992,0.13379891762693166,2.8992408617216925,60
Control,Ethnicity,Other,2.7659036199185114,0.7595870114042822,7.465138914053814,93
Control,Income,Level-0,3.821170285146664,0.7738834453639202,11.938723387343558,178
Control,Income,Level-1,2.3288149611504125,0.5615597710968837,6.56809736198038,191
Control,Income,Level-2,2.763684015257034,0.5908195512450436,8.129122310450063,126
Control,Income,Level-3,1.997295044393039,0.4697107079987788,5.762622935611843,208
Control,Income,Other,3.9284516739371376,0.6683550042352269,12.882138974698043,71
Control,Social media usage,Less than 10 minutes per day,0.71196142547864,0.13952695701209888,2.209184414562369,77
Control,Social media usage,10–30 minutes per day,0.7658681472226693,0.20596522969962366,2.022440398563742,155
Control,Social media usage,31–60 minutes per day,0.8858166565021287,0.22474692237769184,2.3735183117889798,161
Control,Social media usage,1–2 hours per day,0.7974694862946864,0.19657307897893725,2.1450910783015464,157
Control,Social media usage,2–3 hours per day,0.37977601492745416,0.08560969734601462,1.0908734869013192,136
Control,Social media usage,More than 3 hours per day,1.2563348712842592,0.3086447506910612,3.530629246840284,200
Treatment,Age,25-34,1.741250697994036,0.8267450349047669,3.2568835705088635,480
Treatment,Age,35-44,2.533007343963461,1.1409594678928674,4.958565416741959,469
Treatment,Age,45-54,2.821699295653119,1.3089392769538974,5.311096299279863,570
Treatment,Age,55-64,3.970546488472203,1.7539681048636206,7.54837837255811,479
Treatment,Age,65+,3.1721750013510865,1.2822917526214916,6.543970865852563,748
Treatment,Gender,Female,1.1725262059623145,0.796248961692785,1.6609863390500963,1705
Treatment,Gender,Other,0.39734547255012437,0.08667988788481422,1.1498296635243221,30
Treatment,Education,Level-0,0.7004932345388155,0.2838222216850174,1.4667353170054447,137
Treatment,Education,Level-1,1.8392433408762776,0.9800632188908195,3.070119221220562,955
Treatment,Education,Level-2,1.6838434770689554,0.8443763167571681,3.0131522450434103,508
Treatment,Education,Level-3,1.13732626064937,0.5971998811902828,1.9842471118331169,664
Treatment,Education,Other,1.6570317552367337,0.6973338284825673,3.3567501348494457,175
Treatment,Employment,Unemployed,0.9505606094102279,0.5004988777057465,1.6512228841734227,257
Treatment,Employment,Student,1.3860009832442992,0.5516201852469005,2.9913314988908493,94
Treatment,Employment,Retired,1.4612575437387147,0.7762966651371332,2.5098128220425937,726
Treatment,Employment,Other,1.668409906356794,0.9659614752949159,2.724658551935759,380
Treatment,Religion,Jewish,0.5195706478684347,0.19463089769582056,1.181896820927933,138
Treatment,Religion,Muslim,0.3719470389357723,0.09578942245046228,0.9925640863748347,102
Treatment,Religion,Atheist,0.8049038307754256,0.4264182483106996,1.399006942049965,304
Treatment,Religion,Other,1.0321539244412063,0.6645971785250087,1.5483954048352901,640
Treatment,Political,Democrat,0.8860626470676918,0.5486459136788501,1.3762946309114419,1023
Treatment,Political,Other,1.3745723335334472,0.8669726603611531,2.0843706505308432,987
