,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.9408831761910167,-1.9297786244177892,0.0351510530181999,249
Control,Age,35-44,0.4011809656424646,-0.7166898991366458,1.5308775632205374,226
Control,Age,45-54,0.7486629584375419,-0.44586198642232444,2.037895789454248,97
Control,Age,55-64,0.23565239789939835,-1.0060409251407445,1.4829491757323312,75
Control,Age,65+,0.47739525703542796,-0.9074277694010825,1.9471778041053496,121
Control,Gender,Female,0.5754579143286601,-0.17660135670527394,1.3102807502829228,499
Control,Gender,Other,-2.4977109400946693,-4.627827642513425,-0.29771343565369385,9
Control,Education,Level-0,0.40776559690308206,-1.2880723844723618,2.1121470280804417,52
Control,Education,Level-1,0.9287565151351935,-0.2696718783563464,2.123850929634852,301
Control,Education,Level-2,1.1329572106189214,-0.10789649729039746,2.401854543376479,133
Control,Education,Level-3,0.7238698827042421,-0.49928525126732903,1.9403015170019389,234
Control,Education,Other,0.6903621826058267,-0.7151040023136984,2.137305603330632,76
Control,Employment,Unemployed,-0.05608436263828662,-1.005260202414408,0.8750644841637074,117
Control,Employment,Student,-0.19267427184426786,-1.3217827839627303,0.9538290130959274,82
Control,Employment,Retired,0.08913856452301651,-1.1784704778887436,1.325834889371811,110
Control,Employment,Other,0.8083419654817087,-0.26757633265101355,1.9241962983404763,79
Control,Religion,Jewish,-0.2429038302565398,-2.528401833971357,2.06464821032548,27
Control,Religion,Muslim,-0.0905385488676978,-1.5717728436854461,1.4751399334964783,57
Control,Religion,Atheist,0.26105944309745227,-0.9154015835735771,1.4645973095974614,77
Control,Religion,Other,0.06157000610721799,-0.7102576756913468,0.815660213923358,256
Control,Political,Democrat,-0.5793347329380808,-1.4171607382585818,0.277409822341698,366
Control,Political,Other,0.13455989324754772,-0.7217346988443972,0.9643850373542976,336
Control,Ethnicity,Hispanic,-0.505176662575655,-1.5805629221126425,0.5837638970315647,101
Control,Ethnicity,Black,0.0075645530115103655,-0.8462924266453149,0.8591006860442207,143
Control,Ethnicity,Asian,-0.4850943855725988,-2.011417261289449,1.0644488285009803,60
Control,Ethnicity,Other,0.8449767037828735,-0.2749803994662226,2.0102438705321224,93
Control,Income,Level-0,1.0992346115441023,-0.25633402745978273,2.479786991876281,178
Control,Income,Level-1,0.6490279192846159,-0.5770370876344263,1.8822241763173453,191
Control,Income,Level-2,0.7907543183638946,-0.5262449635880081,2.095452959491179,126
Control,Income,Level-3,0.4834582422893897,-0.7556383056530068,1.7513926750334627,208
Control,Income,Other,1.0879679517374274,-0.40293609057185104,2.55584173233798,71
Control,Social media usage,Less than 10 minutes per day,-0.595777849086347,-1.9694975046651393,0.792623397826275,77
Control,Social media usage,10–30 minutes per day,-0.43812710805985583,-1.5800480168249513,0.7043048949145588,155
Control,Social media usage,31–60 minutes per day,-0.2957784144531525,-1.4927806906084575,0.8643731026615524,161
