,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.42,-1.54,0.73,861,1.0
"beta_Age[2,1]",-0.67,-1.79,0.45,667,1.0
"beta_Age[1,2]",-0.61,-1.72,0.53,834,1.0
"beta_Age[2,2]",-0.31,-1.45,0.78,666,1.0
"beta_Age[1,3]",-0.23,-1.35,0.94,861,1.0
"beta_Age[2,3]",-0.23,-1.35,0.88,675,1.0
"beta_Age[1,4]",0.02,-1.1,1.2,832,1.0
"beta_Age[2,4]",-0.17,-1.3,0.91,670,1.0
"beta_Age[1,5]",-0.08,-1.26,1.13,946,1.0
"beta_Age[2,5]",-0.15,-1.27,0.97,672,1.0
"beta_Age[1,6]",-0.25,-1.44,0.93,934,1.0
"beta_Age[2,6]",-0.16,-1.3,0.94,693,1.0
mu_beta_Age[1],-0.35,-1.59,0.93,1633,1.0
mu_beta_Age[2],-0.3,-1.56,0.94,1799,1.0
mu_beta_Age[3],-0.14,-1.42,1.14,1720,1.0
mu_beta_Age[4],-0.06,-1.37,1.25,2030,1.0
mu_beta_Age[5],-0.07,-1.36,1.26,1718,1.0
mu_beta_Age[6],-0.12,-1.42,1.17,1715,1.0
"beta_Gender[1,1]",-1.08,-2.67,0.51,1656,1.0
"beta_Gender[2,1]",-0.55,-2.01,0.94,1303,1.0
"beta_Gender[1,2]",-0.87,-2.47,0.71,1652,1.0
"beta_Gender[2,2]",-0.26,-1.73,1.23,1286,1.0
"beta_Gender[1,3]",0.29,-1.81,2.3,2527,1.0
"beta_Gender[2,3]",-1.08,-2.61,0.49,1421,1.0
mu_beta_Gender[1],-0.55,-1.96,0.84,2396,1.0
mu_beta_Gender[2],-0.39,-1.85,1.03,2282,1.0
mu_beta_Gender[3],-0.25,-1.8,1.21,2398,1.0
"beta_Education[1,1]",-0.49,-1.71,0.72,1130,1.0
"beta_Education[2,1]",-0.5,-1.64,0.66,835,1.0
"beta_Education[1,2]",-0.07,-1.17,1.07,938,1.0
"beta_Education[2,2]",-0.22,-1.25,0.87,767,1.0
"beta_Education[1,3]",-0.13,-1.25,1.03,977,1.0
"beta_Education[2,3]",-0.15,-1.2,0.93,792,1.0
"beta_Education[1,4]",-0.17,-1.28,0.98,935,1.0
"beta_Education[2,4]",-0.4,-1.43,0.72,774,1.0
"beta_Education[1,5]",-0.58,-1.69,0.59,1017,1.0
"beta_Education[2,5]",-0.44,-1.49,0.67,771,1.0
"beta_Education[1,6]",-0.11,-1.25,1.06,1037,1.0
"beta_Education[2,6]",-0.09,-1.17,1.04,801,1.0
mu_beta_Education[1],-0.33,-1.65,0.99,1992,1.0
mu_beta_Education[2],-0.1,-1.4,1.17,2024,1.0
mu_beta_Education[3],-0.1,-1.4,1.19,1928,1.0
mu_beta_Education[4],-0.19,-1.45,1.08,1843,1.0
mu_beta_Education[5],-0.34,-1.63,0.94,2243,1.0
mu_beta_Education[6],-0.06,-1.35,1.24,2032,1.0
"beta_Employment[1,1]",-0.39,-1.55,0.83,1130,1.0
"beta_Employment[2,1]",-0.48,-1.72,0.74,975,1.0
"beta_Employment[1,2]",-0.33,-1.54,0.94,1177,1.0
"beta_Employment[2,2]",-0.48,-1.73,0.74,977,1.0
"beta_Employment[1,3]",-0.43,-1.71,0.85,1196,1.0
"beta_Employment[2,3]",-0.4,-1.66,0.85,1044,1.0
"beta_Employment[1,4]",-0.47,-1.74,0.84,1318,1.0
"beta_Employment[2,4]",-0.33,-1.58,0.89,979,1.0
"beta_Employment[1,5]",-0.17,-1.42,1.13,1210,1.0
"beta_Employment[2,5]",-0.29,-1.53,0.91,987,1.0
mu_beta_Employment[1],-0.29,-1.66,1.0,2189,1.0
mu_beta_Employment[2],-0.26,-1.6,1.09,2114,1.0
mu_beta_Employment[3],-0.28,-1.61,1.01,2128,1.0
mu_beta_Employment[4],-0.25,-1.63,1.08,2278,1.0
mu_beta_Employment[5],-0.15,-1.51,1.22,2354,1.0
"beta_Religion[1,1]",-0.39,-1.65,0.85,1085,1.0
"beta_Religion[2,1]",-0.15,-1.4,1.06,887,1.0
"beta_Religion[1,2]",-0.1,-1.6,1.36,1382,1.0
"beta_Religion[2,2]",-0.58,-1.87,0.68,937,1.0
"beta_Religion[1,3]",-0.48,-1.83,0.84,1179,1.0
"beta_Religion[2,3]",-0.76,-2.09,0.57,991,1.0
"beta_Religion[1,4]",-0.44,-1.75,0.83,1122,1.0
"beta_Religion[2,4]",-0.35,-1.61,0.86,872,1.0
"beta_Religion[1,5]",-0.36,-1.64,0.88,1087,1.0
"beta_Religion[2,5]",-0.13,-1.38,1.11,902,1.0
mu_beta_Religion[1],-0.18,-1.53,1.18,2239,1.0
mu_beta_Religion[2],-0.22,-1.61,1.16,2054,1.0
mu_beta_Religion[3],-0.41,-1.73,0.97,1889,1.0
mu_beta_Religion[4],-0.27,-1.68,1.11,2014,1.0
mu_beta_Religion[5],-0.17,-1.56,1.17,2131,1.0
"beta_Political[1,1]",-0.55,-2.0,0.93,1039,1.0
"beta_Political[2,1]",-0.7,-2.18,0.75,983,1.0
"beta_Political[1,2]",-0.72,-2.17,0.72,1050,1.0
"beta_Political[2,2]",-0.81,-2.28,0.62,1008,1.0
"beta_Political[1,3]",-0.43,-1.85,1.03,1044,1.0
"beta_Political[2,3]",-0.48,-1.96,0.99,993,1.0
mu_beta_Political[1],-0.42,-1.77,0.98,1806,1.0
mu_beta_Political[2],-0.5,-1.93,0.86,1908,1.0
mu_beta_Political[3],-0.31,-1.7,1.08,1836,1.0
"beta_Ethnicity[1,1]",-0.52,-1.76,0.66,850,1.0
"beta_Ethnicity[2,1]",-0.3,-1.56,0.9,906,1.01
"beta_Ethnicity[1,2]",-0.68,-2.0,0.58,937,1.0
"beta_Ethnicity[2,2]",-0.36,-1.62,0.85,947,1.0
"beta_Ethnicity[1,3]",-0.34,-1.59,0.86,843,1.0
"beta_Ethnicity[2,3]",-0.06,-1.34,1.19,906,1.01
"beta_Ethnicity[1,4]",-0.54,-1.86,0.75,901,1.0
"beta_Ethnicity[2,4]",-0.71,-1.98,0.56,929,1.01
"beta_Ethnicity[1,5]",0.44,-0.85,1.7,870,1.0
"beta_Ethnicity[2,5]",-0.36,-1.65,0.87,927,1.01
mu_beta_Ethnicity[1],-0.28,-1.64,1.02,1811,1.0
mu_beta_Ethnicity[2],-0.35,-1.67,0.94,1834,1.0
mu_beta_Ethnicity[3],-0.12,-1.5,1.25,2059,1.0
mu_beta_Ethnicity[4],-0.41,-1.75,0.9,1765,1.0
mu_beta_Ethnicity[5],0.02,-1.3,1.31,2168,1.0
"beta_Income[1,1]",0.12,-1.05,1.28,1007,1.0
"beta_Income[2,1]",-0.16,-1.25,0.93,871,1.0
"beta_Income[1,2]",-0.19,-1.35,0.92,928,1.0
"beta_Income[2,2]",-0.25,-1.31,0.8,875,1.0
"beta_Income[1,3]",-0.19,-1.35,0.96,957,1.0
"beta_Income[2,3]",-0.52,-1.57,0.55,879,1.0
"beta_Income[1,4]",-0.32,-1.47,0.8,960,1.0
"beta_Income[2,4]",-0.34,-1.43,0.72,873,1.0
"beta_Income[1,5]",-0.78,-1.96,0.35,996,1.0
"beta_Income[2,5]",-0.25,-1.31,0.81,897,1.0
"beta_Income[1,6]",-0.24,-1.44,0.93,1050,1.0
"beta_Income[2,6]",-0.37,-1.46,0.73,890,1.0
mu_beta_Income[1],-0.01,-1.31,1.29,2196,1.0
mu_beta_Income[2],-0.15,-1.42,1.05,1896,1.0
mu_beta_Income[3],-0.25,-1.53,1.01,2069,1.0
mu_beta_Income[4],-0.22,-1.48,1.03,2091,1.0
mu_beta_Income[5],-0.36,-1.58,0.91,1955,1.0
mu_beta_Income[6],-0.21,-1.5,1.1,2001,1.0
