,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.8538705116138516,0.5174209614105024,1.3421202344571508,249
Control,Age,35-44,1.2539584100000267,0.7163025500840212,2.0695825808968054,226
Control,Age,45-54,1.6332223417332175,0.8524355636688514,2.836531414995314,97
Control,Age,55-64,1.4745787557756531,0.749063677078904,2.6477016779016105,75
Control,Age,65+,1.2685996550012417,0.5970464117979396,2.4011835754476056,121
Control,Gender,Female,1.2495953435975025,0.8698994460394258,1.729585691703508,499
Control,Gender,Other,7.044985210134264,0.5632907602397169,34.41033501171083,9
Control,Education,Level-0,1.1922815508466054,0.47982466217147923,2.4749317709325607,52
Control,Education,Level-1,1.7240021862489787,0.933789866273679,2.880197664970511,301
Control,Education,Level-2,1.6432587763903672,0.8633853355922322,2.856963269672736,133
Control,Education,Level-3,1.5584593758026322,0.88056244208657,2.5462961100265895,234
Control,Education,Other,1.7111327041965012,0.7578005326115395,3.3656740046070146,76
Control,Employment,Unemployed,1.0933516016042084,0.6530515469541528,1.701922038391852,117
Control,Employment,Student,0.9998743322260502,0.5189608437853724,1.71033678211704,82
Control,Employment,Retired,0.9683001807886927,0.4942028105547389,1.7080180380719565,110
Control,Employment,Other,1.298083540910655,0.700493291598656,2.1877672982256375,79
Control,Religion,Jewish,1.528363639259782,0.45695701420819135,3.6095266547857574,27
Control,Religion,Muslim,0.989393583476189,0.42385786689692617,1.927637577679907,57
Control,Religion,Atheist,0.9923150488877182,0.5331382198625495,1.6487715504202463,77
Control,Religion,Other,1.0548159416210765,0.7078520716945749,1.5214180728989304,256
Control,Political,Democrat,0.8625919035408547,0.5782256548890014,1.2400628682755304,366
Control,Political,Other,1.1605065399726517,0.7435540945340593,1.725249495503327,336
Control,Ethnicity,Hispanic,0.8798410913256344,0.4967669252043655,1.4688585727274475,101
Control,Ethnicity,Black,1.2275134664513239,0.7610280789908364,1.884992813912072,143
Control,Ethnicity,Asian,1.033207419966787,0.48980724948113497,1.8390427828883522,60
Control,Ethnicity,Other,2.7289077675951816,1.4714430479903853,4.698080744518741,93
Control,Income,Level-0,2.5950466014399107,1.3440260406473963,4.538947291868484,178
Control,Income,Level-1,1.8773703400056947,1.046126143574838,3.0852677993112154,191
Control,Income,Level-2,1.893154089838532,1.0205026209959938,3.247821977983035,126
Control,Income,Level-3,1.640499767395187,0.9533967496236389,2.6651251564721483,208
Control,Income,Other,1.838057622124886,0.8452232010992535,3.5322262943975624,71
Control,Social media usage,Less than 10 minutes per day,1.1028571245393428,0.5300184909096651,2.0735542616624705,77
Control,Social media usage,10–30 minutes per day,0.7433908890015521,0.3962230257623532,1.2651431563790398,155
Control,Social media usage,31–60 minutes per day,0.8180069184206306,0.43178915781727667,1.4114797713126996,161
Control,Social media usage,1–2 hours per day,0.8001733960506254,0.4230243687703288,1.3797102793305858,157
Control,Social media usage,2–3 hours per day,0.7290140020817093,0.3756527457951833,1.285765563256169,136
Control,Social media usage,More than 3 hours per day,0.8977149807410378,0.46944462851781554,1.5159058658199385,200
Treatment,Age,25-34,1.4569173044870913,0.9912775100899807,2.089013158601212,480
Treatment,Age,35-44,1.5915635450237122,1.0636319602456688,2.282920970885349,469
Treatment,Age,45-54,1.6736146749750713,1.136248550219274,2.3914080985757686,570
Treatment,Age,55-64,1.7103720478312752,1.1422501903237303,2.4788151277793475,479
Treatment,Age,65+,1.7092046554572369,1.096740924542682,2.557764244771104,748
Treatment,Gender,Female,1.3326377915447927,1.1267261224538385,1.5704022542402918,1705
Treatment,Gender,Other,0.6390506353957611,0.2580873674747537,1.3402544842250912,30
Treatment,Education,Level-0,0.9630442142452799,0.5936106665000006,1.4862480864943022,137
Treatment,Education,Level-1,1.2583064432150788,0.966570714811915,1.6209119222069288,955
Treatment,Education,Level-2,1.3440355815706253,1.0002849946598005,1.7642582293519031,508
Treatment,Education,Level-3,1.0481018437405405,0.7974191360172808,1.3446612664646573,664
Treatment,Education,Other,1.4521523037748374,0.9498367858459793,2.137186598136235,175
Treatment,Employment,Unemployed,1.0127820796270697,0.7276822130998427,1.3590607695829091,257
Treatment,Employment,Student,1.116416690402679,0.6505393928878933,1.778992195370195,94
Treatment,Employment,Retired,1.1730088766543347,0.8860702159615298,1.5290572168752377,726
Treatment,Employment,Other,1.2237201465406116,0.9361838709301873,1.583254460336023,380
Treatment,Religion,Jewish,0.6642735806394119,0.42496361943938005,0.978395322001257,138
Treatment,Religion,Muslim,0.5639053528173602,0.3212385028476066,0.9017469085953606,102
Treatment,Religion,Atheist,0.823627277747163,0.6267210416841508,1.0682025384951996,304
Treatment,Religion,Other,1.024475472050767,0.8245713530348555,1.2512348254594112,640
Treatment,Political,Democrat,0.8984394874947353,0.733394165104111,1.0899867878422766,1023
Treatment,Political,Other,1.2537739712707647,1.0125339965011184,1.5211589342619747,987
Treatment,Ethnicity,Hispanic,0.9612463247037815,0.6786074231152531,1.3140303942175804,211
Treatment,Ethnicity,Black,1.2903557777326802,0.9788018055059579,1.6702242407525534,367
Treatment,Ethnicity,Asian,0.6828336702973236,0.43024681809188303,1.0327334552795338,127
Treatment,Ethnicity,Other,0.9562023441437227,0.6599770953342021,1.3305490832393088,194
Treatment,Income,Level-0,1.1050093522332018,0.7833283193892602,1.515627579259138,383
Treatment,Income,Level-1,1.0034404582527456,0.7549895134155435,1.3003462322893178,680
Treatment,Income,Level-2,0.7736062627005968,0.5711265911823578,1.0208719637533368,499
Treatment,Income,Level-3,0.9156778861502763,0.7101559078214249,1.1682142586679085,671
Treatment,Income,Other,0.9060059639539574,0.5891132541016749,1.346057299952001,160
Treatment,Social media usage,Less than 10 minutes per day,0.7412307275918867,0.540582217014667,0.9922311313094923,402
Treatment,Social media usage,10–30 minutes per day,0.785284079901203,0.5918204551610923,1.0209516057253887,601
Treatment,Social media usage,31–60 minutes per day,0.9745326568338603,0.7205724123784716,1.3092420630637813,403
