,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.18701306420737326,-0.6588984972172152,0.29425062772020283,249
Control,Age,35-44,0.18961422261925234,-0.33365264722208876,0.7273469187718061,226
Control,Age,45-54,0.4446052023697846,-0.15965765892830056,1.0425819272536003,97
Control,Age,55-64,0.33648010107813064,-0.2889313238463336,0.973691857599083,75
Control,Age,65+,0.17463880545999447,-0.5157604281166067,0.875961771804669,121
Control,Gender,Female,0.20800053460081905,-0.1393776753098465,0.5478818281558837,499
Control,Gender,Other,1.376522203809113,-0.5739593416483346,3.5383558004531905,9
Control,Education,Level-0,0.08740596183540963,-0.7343345340739537,0.9062126816033782,52
Control,Education,Level-1,0.5049507200944614,-0.06850385386269757,1.057858925380641,301
Control,Education,Level-2,0.44921258877726594,-0.1468941899023074,1.0497591960930197,133
Control,Education,Level-3,0.40701481739846607,-0.12719444051282244,0.9346397220485451,234
Control,Education,Other,0.4621318613047452,-0.2773351671155437,1.2136282400143685,76
Control,Employment,Unemployed,0.05932261089710403,-0.4260992200242103,0.5317582230873958,117
Control,Employment,Student,-0.04696665176916463,-0.6559268465478452,0.536690289504399,82
Control,Employment,Retired,-0.08161497917080017,-0.7048092989810648,0.5353336511122823,110
Control,Employment,Other,0.21892554661487382,-0.3559704917918278,0.7828815095034731,79
Control,Religion,Jewish,0.2907324057546998,-0.783166039517493,1.283576639778961,27
Control,Religion,Muslim,-0.08325329468151316,-0.8583571017453558,0.6562949924586496,57
Control,Religion,Atheist,-0.05056730916244652,-0.628974638941554,0.5000304631229924,77
Control,Religion,Other,0.03360268786202418,-0.345520145431825,0.4196428366764761,256
Control,Political,Democrat,-0.16750454291109151,-0.5477910837822245,0.2151620784304501,366
Control,Political,Other,0.12674947165521333,-0.29631375915257163,0.5453716721541976,336
Control,Ethnicity,Hispanic,-0.16593641089871322,-0.6996343274513704,0.38448561736175735,101
Control,Ethnicity,Black,0.17828015943887943,-0.2730850486515443,0.6339240086438545,143
Control,Ethnicity,Asian,-0.023677499632321446,-0.7137433340652464,0.6092452078145583,60
Control,Ethnicity,Other,0.9595382884907961,0.38624342433029984,1.5471540722973158,93
Control,Income,Level-0,0.9040797290067291,0.2956695715221907,1.5126950918315827,178
Control,Income,Level-1,0.5897694302305769,0.04509390046405555,1.126638454234069,191
Control,Income,Level-2,0.5933988684383819,0.020295269242159228,1.177984609653125,126
Control,Income,Level-3,0.4591154957206323,-0.04772420617995492,0.9802509892866141,208
Control,Income,Other,0.5384605538716749,-0.1681545489826476,1.2619282762383863,71
Control,Social media usage,Less than 10 minutes per day,0.03740656354362881,-0.6348433906293232,0.7292641690299245,77
Control,Social media usage,10–30 minutes per day,-0.34121859400522464,-0.9257783706020302,0.2351852651394471,155
Control,Social media usage,31–60 minutes per day,-0.2451459444675052,-0.8398178716595075,0.34463862572239806,161
