,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.01,-1.58,1.61,2135,1.0
"beta_Age[2,1]",0.59,-0.7,1.92,1403,1.0
"beta_Age[1,2]",-0.63,-2.05,0.8,1691,1.0
"beta_Age[2,2]",-0.3,-1.55,0.93,1248,1.0
"beta_Age[1,3]",0.44,-1.02,1.9,1688,1.0
"beta_Age[2,3]",0.15,-1.08,1.41,1297,1.0
"beta_Age[1,4]",0.86,-0.64,2.38,1745,1.0
"beta_Age[2,4]",0.27,-0.98,1.53,1267,1.0
"beta_Age[1,5]",0.09,-1.49,1.72,2159,1.0
"beta_Age[2,5]",0.35,-0.89,1.61,1261,1.0
"beta_Age[1,6]",0.36,-1.59,2.38,2283,1.0
"beta_Age[2,6]",-0.13,-1.6,1.28,1568,1.0
mu_beta_Age[1],0.2,-1.19,1.59,2453,1.0
mu_beta_Age[2],-0.3,-1.65,1.04,2634,1.0
mu_beta_Age[3],0.2,-1.09,1.53,2385,1.0
mu_beta_Age[4],0.37,-1.02,1.76,2624,1.0
mu_beta_Age[5],0.13,-1.22,1.49,2310,1.0
mu_beta_Age[6],0.07,-1.38,1.57,2575,1.0
"beta_Gender[1,1]",0.65,-1.11,2.48,2231,1.0
"beta_Gender[2,1]",-0.08,-1.82,1.62,1954,1.0
"beta_Gender[1,2]",0.68,-1.07,2.54,2228,1.0
"beta_Gender[2,2]",0.16,-1.56,1.85,1951,1.0
"beta_Gender[1,3]",-0.28,-2.56,1.88,3301,1.0
"beta_Gender[2,3]",0.8,-1.22,2.75,2732,1.0
mu_beta_Gender[1],0.19,-1.33,1.67,2478,1.0
mu_beta_Gender[2],0.29,-1.17,1.8,2470,1.0
mu_beta_Gender[3],0.17,-1.49,1.78,2810,1.0
"beta_Education[1,1]",-0.17,-2.1,1.69,2417,1.0
"beta_Education[2,1]",0.11,-1.39,1.57,1442,1.0
"beta_Education[1,2]",-0.11,-1.54,1.27,1592,1.0
