,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.6195440024509632,-2.018283284182202,0.806632343590834,227
Control,Age,35-44,0.4457602353797664,-1.0587607105600367,1.9439606704747705,190
Control,Age,45-54,0.8668382738379903,-0.6786863730002354,2.3841328722883444,162
Control,Age,55-64,0.09918714642462353,-1.6826106112277408,1.8872174947961369,127
Control,Age,65+,0.3730740024374345,-1.860952012490395,2.5603038385996446,154
Control,Gender,Female,0.028964064552968207,-0.8838716598179928,0.9812073419719496,573
Control,Gender,Other,-0.9314205129201906,-3.397733735232687,1.4787684747435805,6
Control,Education,Level-0,-0.5398931349385487,-2.6200707123266436,1.541962587617729,40
Control,Education,Level-1,-0.47892354091541006,-1.862397187505477,0.8982272121274378,276
Control,Education,Level-2,-0.2653753456277956,-1.7022902324444253,1.1896711276168248,190
Control,Education,Level-3,0.5101077595573209,-0.8391401627848477,1.9134635520399068,258
Control,Education,Other,-0.38455942865950005,-2.150005614494546,1.440728031325502,73
Control,Employment,Unemployed,1.2068128406767547,-0.33737588184307254,2.7537229600365136,56
Control,Employment,Student,0.37982120358350485,-1.400546857167122,2.225770693147143,64
Control,Employment,Retired,0.6166199442564249,-1.3060968800316017,2.535838290070304,151
Control,Employment,Other,1.3529443498321858,-0.05381319264936968,2.8269157171069077,110
Control,Religion,Jewish,1.0025594133259996,-1.7848658509822617,3.793601629587789,10
Control,Religion,Muslim,1.7224195400732478,-0.18139345577750715,3.619834042744629,34
Control,Religion,Atheist,1.1335778437319863,0.15842971399313874,2.1680904574351736,342
Control,Religion,Other,0.7023740670601435,-0.43567074035978226,1.7990887725567442,172
Control,Political,Labour,-0.21947926669340287,-1.447492111311452,0.9827594529354801,350
Control,Political,Liberal-Democrat,0.22205800605303966,-1.315488955651919,1.828525000331583,87
Control,Political,SNP,-0.11951332920861948,-2.133442801493175,1.876015106367475,44
Control,Political,Other,0.2822598659897424,-0.9906938697558617,1.555235860370937,212
Control,Ethnicity,Black,0.4998689496539099,-1.38864972158317,2.4267883143500204,27
Control,Ethnicity,Asian,-0.2674792894326161,-1.745179519575058,1.3036443356201777,82
Control,Ethnicity,Other,-0.5737599337913002,-2.2618968869293123,1.1501573265913416,19
Control,Income,Level-0,0.4483909392728243,-1.0224069563692781,2.0432621126078985,154
Control,Income,Level-1,-0.6876900018800326,-2.112744897239121,0.8110350929934134,197
Control,Income,Level-2,0.09086812004759719,-1.4034997391180737,1.604437078678023,167
Control,Income,Level-3,0.4795407740409922,-0.8319531581292589,1.8257620464776376,230
Control,Income,Other,-0.17277898413822723,-1.9398994889644257,1.5727483000149085,68
Control,Trust:Television,Checked,-0.13612057279443457,-1.2840885846856593,1.0004587457865648,305
Control,Trust:Radio,Checked,0.42433138195177883,-1.3269019635431538,2.1798013977799493,92
Control,Trust:Newspapers,Checked,-0.06669258922855482,-1.504566751790251,1.4187380455109455,134
Control,Trust:Govt. Briefings,Checked,0.5651554688199599,-0.6673141361967535,1.787098805584042,311
Control,Trust:National Health Authorities,Checked,0.22168116489742037,-0.8692914745205559,1.2960990665642544,618
Control,Trust:International Health Authorities,Checked,-0.07318457631757042,-1.16626731086645,1.0082015554728256,442
Control,Trust:Healthcare Workers,Checked,0.07308477533013909,-0.9826480931907656,1.1246016589464332,547
Control,Trust:Scientists,Checked,0.5000477983975536,-0.5369023594634635,1.539258967150808,524
Control,Trust:Govt. Websites,Checked,0.3468162869224184,-0.8486958086295245,1.5046360991602672,334
Control,Trust:Social Media,Checked,-0.9234852152656943,-2.588398394265297,0.7021372101380966,83
Control,Trust:Celebrities,Checked,-3.3053017135711875,-6.26306252240379,-0.29100729304080253,23
Control,Trust:Search Engines,Checked,0.17653417193745116,-1.3014974735575322,1.655483840816525,105
Control,Trust:Family and friends,Checked,0.15079391108447698,-1.3193925500432757,1.5626559301034282,111
