,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.34,-1.57,0.84,3585,1.0
"beta_Age[2,1]",0.18,-0.94,1.26,3543,1.0
"beta_Age[1,2]",-0.19,-1.36,0.97,3571,1.0
"beta_Age[2,2]",-0.01,-1.12,1.08,3459,1.0
"beta_Age[1,3]",-0.23,-1.39,0.94,3601,1.0
"beta_Age[2,3]",-0.11,-1.23,0.99,3420,1.0
"beta_Age[1,4]",0.04,-1.15,1.2,3410,1.0
"beta_Age[2,4]",-0.0,-1.12,1.09,3533,1.0
"beta_Age[1,5]",-0.15,-1.39,1.01,3449,1.0
"beta_Age[2,5]",-0.18,-1.26,0.93,3533,1.0
"beta_Age[1,6]",0.41,-0.92,1.71,3773,1.0
"beta_Age[2,6]",-0.23,-1.34,0.92,3484,1.0
mu_beta_Age[1],-0.07,-1.42,1.24,4113,1.0
mu_beta_Age[2],-0.06,-1.42,1.23,4228,1.0
mu_beta_Age[3],-0.11,-1.43,1.26,4685,1.0
mu_beta_Age[4],0.0,-1.3,1.3,4464,1.0
mu_beta_Age[5],-0.11,-1.48,1.19,4166,1.0
mu_beta_Age[6],0.06,-1.25,1.36,4604,1.0
"beta_Gender[1,1]",-0.07,-1.77,1.59,5407,1.0
"beta_Gender[2,1]",-0.47,-2.1,1.2,5089,1.0
"beta_Gender[1,2]",-0.12,-1.83,1.57,5121,1.0
"beta_Gender[2,2]",-0.19,-1.8,1.47,4938,1.0
"beta_Gender[1,3]",-0.3,-2.13,1.64,4780,1.0
"beta_Gender[2,3]",0.33,-1.35,2.02,4883,1.0
mu_beta_Gender[1],-0.18,-1.66,1.28,4804,1.0
mu_beta_Gender[2],-0.12,-1.6,1.31,5177,1.0
mu_beta_Gender[3],0.02,-1.52,1.53,4854,1.0
"beta_Education[1,1]",-0.15,-1.46,1.16,3640,1.0
"beta_Education[2,1]",0.11,-1.0,1.29,3277,1.0
"beta_Education[1,2]",-0.11,-1.26,1.04,3421,1.0
"beta_Education[2,2]",-0.13,-1.24,0.99,3154,1.0
"beta_Education[1,3]",-0.16,-1.33,1.01,3437,1.0
"beta_Education[2,3]",-0.01,-1.09,1.12,3182,1.0
"beta_Education[1,4]",-0.01,-1.17,1.14,3416,1.0
"beta_Education[2,4]",-0.2,-1.3,0.93,3162,1.0
"beta_Education[1,5]",0.13,-1.05,1.33,3400,1.0
"beta_Education[2,5]",-0.11,-1.21,1.04,3127,1.0
"beta_Education[1,6]",-0.24,-1.46,1.01,3490,1.0
"beta_Education[2,6]",0.03,-1.1,1.18,3106,1.0
mu_beta_Education[1],-0.01,-1.36,1.35,4261,1.0
mu_beta_Education[2],-0.08,-1.35,1.16,3928,1.0
mu_beta_Education[3],-0.06,-1.33,1.19,4018,1.0
mu_beta_Education[4],-0.06,-1.33,1.19,4080,1.0
mu_beta_Education[5],0.01,-1.29,1.37,4601,1.0
mu_beta_Education[6],-0.07,-1.39,1.25,4340,1.0
"beta_Employment[1,1]",-0.3,-1.55,0.94,4120,1.0
