,,,mean,2.5%,97.5%,counts
Control,Age,25-34,1.2248923872243018,0.6220006734501122,2.168315821883205,227
Control,Age,35-44,1.1824157678907865,0.5875455766703863,2.121606023589347,190
Control,Age,45-54,1.5579241948963467,0.7292129595231046,2.8441579522492058,162
Control,Age,55-64,1.3026952599827897,0.5570937301464142,2.5624075367806918,127
Control,Age,65+,2.4202109448863505,0.7772193317317387,5.895893691645984,154
Control,Gender,Female,0.9696708580592974,0.6627861453631604,1.375961151685173,573
Control,Gender,Other,1.1165926641403494,0.16032135743018322,3.9549644404496416,6
Control,Education,Level-0,0.8505376977638945,0.2961924703986416,1.959561917546739,40
Control,Education,Level-1,0.8182978682838021,0.45599329985768927,1.3770846640662482,276
Control,Education,Level-2,0.7789293984909784,0.4140798665026138,1.3452181699372765,190
Control,Education,Level-3,0.9015738204355297,0.49733507023068774,1.5298080927215028,258
Control,Education,Other,0.7477827302365669,0.3197493741654728,1.448813400107253,73
Control,Employment,Unemployed,2.445845482231581,1.1320549761287566,4.49818306322715,56
Control,Employment,Student,1.5315738082894126,0.603193803789446,3.281013721709156,64
Control,Employment,Retired,0.7592654062148906,0.2843879231524806,1.6523014689047226,151
Control,Employment,Other,1.3844243865721342,0.7497348531887048,2.3557434704069244,110
Control,Religion,Jewish,5.6594664106175285,0.9410706843888541,17.896315042625023,10
Control,Religion,Muslim,2.034828231812233,0.7499909077329322,4.5917911617449345,34
Control,Religion,Atheist,1.334272472573137,0.8762131739903225,1.965114983780024,342
Control,Religion,Other,1.9131499107677563,1.1375272540842487,3.0098423122674656,172
Control,Political,Labour,0.9954848571549115,0.6070073265400643,1.5269483867801046,350
Control,Political,Liberal-Democrat,1.0437489854761064,0.5058841880937124,1.871301191770548,87
Control,Political,SNP,1.1709629492152651,0.43274930127678923,2.4656540629212063,44
Control,Political,Other,0.9736591872326138,0.56273968268907,1.5796527269155112,212
Control,Ethnicity,Black,1.8065328232603375,0.609585809753632,4.100327273176824,27
Control,Ethnicity,Asian,0.921223600012423,0.4520593647332978,1.6729366647247306,82
Control,Ethnicity,Other,0.7228105939118535,0.22986098900205226,1.7334571291067031,19
Control,Income,Level-0,1.1600376656954337,0.5702869186577162,2.0835514334523944,154
Control,Income,Level-1,0.7920602506976558,0.41148573806638494,1.3795061763224317,197
Control,Income,Level-2,1.0708275816230157,0.5670437049315606,1.8722084653619984,167
Control,Income,Level-3,1.1665436914330511,0.6580526074608617,1.9328222755444597,230
Control,Income,Other,0.9872488033889903,0.42649330583696454,1.9441213430927045,68
Control,Trust:Television,Checked,0.9254132299484389,0.6014722064917748,1.3623840969564307,305
Control,Trust:Radio,Checked,0.8581857503564018,0.41800499299996363,1.5765957724999036,92
Control,Trust:Newspapers,Checked,1.0105284891501596,0.5499563220601511,1.706770976131501,134
Control,Trust:Govt. Briefings,Checked,1.275847306930814,0.8133200251517761,1.8973283932034706,311
Control,Trust:National Health Authorities,Checked,0.8564652070482403,0.549203771009646,1.2709655620384628,618
Control,Trust:International Health Authorities,Checked,0.8562385269870652,0.5572190412826826,1.2507750579437065,442
Control,Trust:Healthcare Workers,Checked,0.8329007008521504,0.5469158188080258,1.2258203543086792,547
Control,Trust:Scientists,Checked,0.8931533325007845,0.5761462857078726,1.3008487879372417,524
Control,Trust:Govt. Websites,Checked,1.1401368553070024,0.7469446218948504,1.6732752900403578,334
Control,Trust:Social Media,Checked,1.0877293547789126,0.49767904730038937,2.018772862422771,83
Control,Trust:Celebrities,Checked,2.7014573767801426,0.6981592494095447,6.917396160297784,23
Control,Trust:Search Engines,Checked,0.8271941794131765,0.43787250532779,1.4228922768903005,105
Control,Trust:Family and friends,Checked,0.9805012327046678,0.5211184934663942,1.6677871364507795,111
Control,Trust:Work Guidelines,Checked,1.4050993810343135,0.7071152410773941,2.4619033261521848,91
Control,Trust:Other,Checked,6.907620907061498,1.2111033663840256,22.945101827717675,9
Control,Trust:None of these,Checked,1.048779657156633,0.48978214226062317,2.0039466416860328,81
Treatment,Age,25-34,0.8418984910022909,0.5996100007849449,1.1413396196752212,575
Treatment,Age,35-44,0.7603874841932994,0.5378470140876076,1.042892486332863,586
Treatment,Age,45-54,0.8494893432949757,0.5977076749069894,1.178150928966843,528
Treatment,Age,55-64,0.713702830395694,0.48807761037472264,1.0052383398514275,437
Treatment,Age,65+,0.6875109898307099,0.4168298226117324,1.0737056335061383,510
Treatment,Gender,Female,1.3331681826055846,1.1091702016179374,1.5865728270140127,1710
Treatment,Gender,Other,2.5062407253514394,0.8465035961249273,5.836089859662677,19
Treatment,Education,Level-0,1.274083310256497,0.7815277178835836,1.9739362403081915,138
Treatment,Education,Level-1,0.9860307197649862,0.7402576240148897,1.2909822018601849,875
Treatment,Education,Level-2,1.1110138550569184,0.8205120332028165,1.4890937177045769,501
Treatment,Education,Level-3,0.9164584460812352,0.6922255465420954,1.18083097471452,787
Treatment,Education,Other,1.1645958520507258,0.791319715916819,1.6531315532862003,234
Treatment,Employment,Unemployed,0.8170036953980672,0.5553717691359824,1.1746828905593343,165
Treatment,Employment,Student,0.6752063480234687,0.41567159725088787,1.054184623807215,134
Treatment,Employment,Retired,0.7685444468269549,0.514007870542624,1.1067823448661898,496
Treatment,Employment,Other,0.9935623310451354,0.7281373236148784,1.3086671179905964,291
Treatment,Religion,Jewish,1.0763984988449187,0.42707500143641186,2.119040697984466,34
Treatment,Religion,Muslim,0.8435284522218196,0.5030179235284711,1.3298940804813542,117
Treatment,Religion,Atheist,0.8852903529818473,0.7207137703206224,1.0729411927256185,1001
Treatment,Religion,Other,0.9151640139160166,0.7071307231821755,1.1631481861520097,562
Treatment,Political,Labour,0.9878398553469598,0.792138016134023,1.2088615745471853,1060
Treatment,Political,Liberal-Democrat,0.6680469100414633,0.4555508692465314,0.9488669858776211,220
Treatment,Political,SNP,1.247983833446447,0.7743164957386424,1.9063575927862109,109
Treatment,Political,Other,0.9562007995249231,0.744601372376648,1.2071357462116623,633
Treatment,Ethnicity,Black,1.2169994087127012,0.7477130842452745,1.8411425064626894,109
Treatment,Ethnicity,Asian,1.4219114072068184,0.9698952197053801,2.001842544179673,216
Treatment,Ethnicity,Other,1.2403843465120559,0.6382969892162345,2.137782524526447,54
Treatment,Income,Level-0,1.0752653029631565,0.7741393041111548,1.4404305859223077,430
Treatment,Income,Level-1,1.0512621068450803,0.7830851967974701,1.3882508216329377,593
Treatment,Income,Level-2,0.909218817353685,0.6774537721038512,1.1892230871559244,581
Treatment,Income,Level-3,0.9140880155205755,0.6947058245259254,1.181627479556626,726
Treatment,Income,Other,0.9780991738419317,0.6400218017222251,1.4186912839542234,179
Treatment,Trust:Television,Checked,0.9058847152836923,0.7379137793274861,1.0966701010192845,971
Treatment,Trust:Radio,Checked,1.1483663581577233,0.8173731407340368,1.5561880265574481,266
Treatment,Trust:Newspapers,Checked,0.7762312065166092,0.589760657204651,1.0069669275862079,415
Treatment,Trust:Govt. Briefings,Checked,0.8949518456103189,0.7237752342182603,1.0877017903318096,957
Treatment,Trust:National Health Authorities,Checked,0.9589681978890079,0.7758965074653627,1.172520530257501,1775
Treatment,Trust:International Health Authorities,Checked,0.9282169007443387,0.7618133216285107,1.120970672988747,1327
Treatment,Trust:Healthcare Workers,Checked,0.9331564232925085,0.7657298811301411,1.1200909854774816,1513
Treatment,Trust:Scientists,Checked,1.040817480057862,0.8507752947233627,1.2609015656082547,1513
Treatment,Trust:Govt. Websites,Checked,0.979412718624434,0.79957687452748,1.1871839287149257,1089
Treatment,Trust:Social Media,Checked,1.3025935449467032,0.8777032277091378,1.8475648953148431,198
Treatment,Trust:Celebrities,Checked,0.6428721548184341,0.3332248857783009,1.1010606837582986,78
Treatment,Trust:Search Engines,Checked,1.2248030415185969,0.9062808737562202,1.6118816055687384,298
Treatment,Trust:Family and friends,Checked,1.2953061217453927,0.9861544141674364,1.6805134884512054,340
Treatment,Trust:Work Guidelines,Checked,0.9996055964634932,0.7087019274681112,1.360926466174949,260
Treatment,Trust:Other,Checked,2.121693078813576,0.7114004565162638,4.794928234909818,18
Treatment,Trust:None of these,Checked,1.4405997994238255,0.9942792586133625,1.9989644178429955,229
Treatment-Control,Age,25-34,0.760442328998645,0.3560556739319981,1.4445974914032558,802
Treatment-Control,Age,35-44,0.718697487052054,0.33112347840809553,1.387332858535725,776
Treatment-Control,Age,45-54,0.6154871577298006,0.27029072520513964,1.246843582778561,690
Treatment-Control,Age,55-64,0.6357364743108754,0.2527439402532551,1.3363540499886106,564
Treatment-Control,Age,65+,0.3689834800119835,0.10696613850788902,0.9872912329675899,664
Treatment-Control,Gender,Female,1.4224940990126893,0.9229164729775904,2.073118128176994,2283
Treatment-Control,Gender,Other,4.205295968287797,0.4583467001089323,16.789707319256774,25
Treatment-Control,Education,Level-0,1.8827682006921667,0.5808655055264226,4.6155138901568415,178
Treatment-Control,Education,Level-1,1.3049702143545836,0.6684541525523767,2.278099718685269,1151
Treatment-Control,Education,Level-2,1.5599316324831778,0.7790661571754938,2.8271107561140285,691
Treatment-Control,Education,Level-3,1.098823841779233,0.5630268562289356,1.9071117714049832,1045
Treatment-Control,Education,Other,1.8118183401669083,0.7212190135106629,3.747879058431285,307
Treatment-Control,Employment,Unemployed,0.3798992162290361,0.15991587725723505,0.7732706694355477,221
Treatment-Control,Employment,Student,0.5286124876780058,0.18276990806932497,1.1939015331909377,198
Treatment-Control,Employment,Retired,1.23418219999814,0.4213705396170995,2.819106156074221,647
Treatment-Control,Employment,Other,0.7802507231391428,0.39643250218816045,1.3981623059274317,401
Treatment-Control,Religion,Jewish,0.32340615177448767,0.04650946254744957,1.1528123831453523,44
Treatment-Control,Religion,Muslim,0.5102320463005495,0.1603028005449453,1.2359156305440917,151
Treatment-Control,Religion,Atheist,0.6914239015757445,0.4291072997481577,1.0589519453531915,1343
Treatment-Control,Religion,Other,0.509321694353868,0.28167564979247683,0.84692596584099,734
Treatment-Control,Political,Labour,1.0482756188712965,0.6107299598170105,1.6734218929028817,1410
Treatment-Control,Political,Liberal-Democrat,0.7146642997494888,0.3181547463587854,1.3969263308269462,307
Treatment-Control,Political,SNP,1.2957773540694986,0.4366812413253503,3.059553573847313,153
Treatment-Control,Political,Other,1.0547134989084532,0.5644381070848605,1.792235272860081,845
Treatment-Control,Ethnicity,Black,0.8495702099197627,0.25305253104811143,2.131562968650403,136
Treatment-Control,Ethnicity,Asian,1.7237909498057433,0.7816538841911067,3.379537299883455,298
Treatment-Control,Ethnicity,Other,2.219093784698381,0.5957025593692394,5.779318435194278,73
Treatment-Control,Income,Level-0,1.0330118526601042,0.47792675745759927,1.958316266506132,584
Treatment-Control,Income,Level-1,1.4573970949448316,0.7105339850501753,2.6460534385665375,790
Treatment-Control,Income,Level-2,0.929825468347466,0.4587780126779121,1.682963927991024,748
Treatment-Control,Income,Level-3,0.8465755023314891,0.4424439358463565,1.4867779280359739,956
Treatment-Control,Income,Other,1.1504479013452713,0.4442394758246398,2.4871367273204457,247
Treatment-Control,Trust:Television,Checked,1.0218443492432525,0.6312010283918933,1.5812531965358578,1276
Treatment-Control,Trust:Radio,Checked,1.493274498521077,0.6788814781258526,2.8915706875604097,358
Treatment-Control,Trust:Newspapers,Checked,0.8345320043563648,0.4281921001447404,1.4866921963526085,549
Treatment-Control,Trust:Govt. Briefings,Checked,0.7359812164847925,0.4438390334554057,1.1664385289407948,1268
Treatment-Control,Trust:National Health Authorities,Checked,1.1722205718323344,0.7114554919022615,1.8060706305536012,2393
Treatment-Control,Trust:International Health Authorities,Checked,1.1304569891083571,0.7088549538068126,1.7361670191615381,1769
Treatment-Control,Trust:Healthcare Workers,Checked,1.17149942463695,0.7291535821975967,1.7831809497001985,2060
Treatment-Control,Trust:Scientists,Checked,1.2153326815652097,0.7600222517511742,1.8420361029652226,2037
Treatment-Control,Trust:Govt. Websites,Checked,0.8972217878576882,0.5527702575414121,1.3707684593743115,1423
Treatment-Control,Trust:Social Media,Checked,1.360599567492717,0.5673917552123613,2.838527725714279,281
Treatment-Control,Trust:Celebrities,Checked,0.3340546604568954,0.07481118613653003,0.9752230761072072,101
Treatment-Control,Trust:Search Engines,Checked,1.6232609745135647,0.7977731984744313,2.9285821806291876,403
Treatment-Control,Trust:Family and friends,Checked,1.4420844808018736,0.7267112293286723,2.6010273526072156,451
Treatment-Control,Trust:Work Guidelines,Checked,0.7861993841851177,0.3766202868328334,1.5069178182830099,351
Treatment-Control,Trust:Other,Checked,0.5222923956744687,0.06428949736634681,2.0095229032225266,27
Treatment-Control,Trust:None of these,Checked,1.557757811566425,0.6649233764179211,3.0789195094944057,310
