,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.15193674451358574,-0.47481419105900136,0.7739507429516506,227
Control,Age,35-44,0.11277671832056685,-0.5318014622635323,0.7521733035755405,190
Control,Age,45-54,0.38303733238638693,-0.3157895285239018,1.0452670477053516,162
Control,Age,55-64,0.18982376918441773,-0.5850217766014443,0.9409472604234277,127
Control,Age,65+,0.7512076446979741,-0.2520329104014917,1.7742560738720077,154
Control,Gender,Female,-0.04795705931447555,-0.41130290228017796,0.31915250594858874,573
Control,Gender,Other,-0.22497866509685246,-1.830575899140061,1.3749712929234148,6
Control,Education,Level-0,-0.2782544710369541,-1.2167458016805,0.6727209193972707,40
Control,Education,Level-1,-0.2408776700623556,-0.7852771644998593,0.3199686248432748,276
Control,Education,Level-2,-0.29562643176361897,-0.8816964096731154,0.2965561776886708,190
Control,Education,Level-3,-0.14320976209109057,-0.698491300562727,0.42514229501022205,258
Control,Education,Other,-0.3665494867749151,-1.1402178114547752,0.3707448186099914,73
Control,Employment,Unemployed,0.8305299760699846,0.12403413160375716,1.5036733067361254,56
Control,Employment,Student,0.33111578702906025,-0.5055168275029878,1.1881524349080264,64
Control,Employment,Retired,-0.37764934050868904,-1.2574161544436917,0.5021675056702286,151
Control,Employment,Other,0.283506023810396,-0.2880357617843433,0.8568563696593282,110
Control,Religion,Jewish,1.4664358501813557,-0.06073790428803953,2.884594617862223,10
Control,Religion,Muslim,0.6057119967944704,-0.2876942233833749,1.5242701250832946,34
Control,Religion,Atheist,0.2677363340163346,-0.13214587108748357,0.6755507382377839,342
Control,Religion,Other,0.6176109886690204,0.12885679883464005,1.101887688232194,172
Control,Political,Labour,-0.032013217635295826,-0.4992144360296421,0.42327111049030797,350
Control,Political,Liberal-Democrat,-0.012938058991291182,-0.6814475143934915,0.6266340131172673,87
Control,Political,SNP,0.059388224647636205,-0.837596701391895,0.9024571115213689,44
Control,Political,Other,-0.06248941438962715,-0.5749381346978117,0.4572050240029197,212
Control,Ethnicity,Black,0.47373675442177193,-0.49497555440220453,1.4110667897100166,27
Control,Ethnicity,Asian,-0.1375115946388803,-0.7939417718015077,0.5145805269093978,82
Control,Ethnicity,Other,-0.45645753124617655,-1.4702805519558126,0.550117751757322,19
Control,Income,Level-0,0.09399024431383819,-0.561615709229349,0.7340738576372965,154
Control,Income,Level-1,-0.2800365873244155,-0.887980930306449,0.32172558680009566,197
Control,Income,Level-2,0.02262483157799388,-0.567318915134445,0.6271186635439547,167
Control,Income,Level-3,0.11519531908939229,-0.41847040666185886,0.6589809091254261,230
Control,Income,Other,-0.08791339372019653,-0.8521586257164386,0.6648100896073762,68
Control,Trust:Television,Checked,-0.09906119589831838,-0.5083749520957455,0.30923617020809996,305
Control,Trust:Radio,Checked,-0.20833118288640481,-0.8722619015988198,0.4552679208672071,92
Control,Trust:Newspapers,Checked,-0.03119878622408839,-0.5979166244005056,0.5346032142203091,134
Control,Trust:Govt. Briefings,Checked,0.21989061148129155,-0.2066306122673815,0.6404467345633313,311
Control,Trust:National Health Authorities,Checked,-0.17791214172673034,-0.599285778964724,0.2397768922459964,618
Control,Trust:International Health Authorities,Checked,-0.17601279423883576,-0.5847970813049288,0.22376339820753424,442
Control,Trust:Healthcare Workers,Checked,-0.20495896666335683,-0.6034603886931901,0.20361029426903496,547
Control,Trust:Scientists,Checked,-0.13397798537635078,-0.5513936822905009,0.2630169198258404,524
Control,Trust:Govt. Websites,Checked,0.10936994934950933,-0.2917642327538188,0.5147828770038485,334
Control,Trust:Social Media,Checked,0.01983379801911636,-0.697799897947178,0.7024894599443737,83
Control,Trust:Celebrities,Checked,0.8243294932691995,-0.35930809265192903,1.9340394166778925,23
Control,Trust:Search Engines,Checked,-0.23578669814411957,-0.8258275315752825,0.3526915795730524,105
Control,Trust:Family and friends,Checked,-0.06360275186026314,-0.6517778877598199,0.5114976752053799,111
Control,Trust:Work Guidelines,Checked,0.2900494408691896,-0.346561767537743,0.900934760442389,91
Control,Trust:Other,Checked,1.6513380376684155,0.19153169715363857,3.133104434829457,9
Control,Trust:None of these,Checked,-0.01604234621358475,-0.7137946056802834,0.6951184665987252,81
Treatment,Age,25-34,-0.1856301022989893,-0.5114758338026029,0.13220267736028687,575
Treatment,Age,35-44,-0.2880430101488398,-0.6201811196923085,0.041998047284420074,586
Treatment,Age,45-54,-0.17818104644302285,-0.5146534825045423,0.16394619045000644,528
Treatment,Age,55-64,-0.35419283299720505,-0.7172808531480757,0.005224651217396355,437
Treatment,Age,65+,-0.40357544001372453,-0.8750772408694797,0.07111586997722745,510
Treatment,Gender,Female,0.2833645703453797,0.10361216957678909,0.46157623409050946,1710
Treatment,Gender,Other,0.7998439316118132,-0.16664085306413912,1.7640607235372459,19
Treatment,Education,Level-0,0.21478990781226637,-0.24650469468592406,0.680029603767007,138
Treatment,Education,Level-1,-0.024087398790733572,-0.3007570343821013,0.2554033173793079,875
Treatment,Education,Level-2,0.0939136335331543,-0.19782670514653555,0.39816764242548985,501
