,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.1,-1.49,1.3,3000,1.0
"beta_Age[2,1]",-0.63,-1.89,0.62,2165,1.0
"beta_Age[1,2]",-0.95,-2.29,0.34,2530,1.0
"beta_Age[2,2]",-0.1,-1.27,1.05,2052,1.0
"beta_Age[1,3]",0.36,-1.04,1.79,3033,1.0
"beta_Age[2,3]",0.2,-1.02,1.38,2102,1.0
"beta_Age[1,4]",0.81,-0.62,2.23,3047,1.0
"beta_Age[2,4]",0.41,-0.75,1.56,2023,1.0
"beta_Age[1,5]",0.2,-1.25,1.59,2806,1.0
"beta_Age[2,5]",0.62,-0.54,1.79,2049,1.0
"beta_Age[1,6]",0.54,-0.98,2.06,3331,1.0
"beta_Age[2,6]",0.28,-0.96,1.5,2168,1.0
mu_beta_Age[1],-0.23,-1.64,1.15,4001,1.0
mu_beta_Age[2],-0.35,-1.67,0.95,3592,1.0
mu_beta_Age[3],0.19,-1.12,1.56,3952,1.0
mu_beta_Age[4],0.4,-0.97,1.72,4047,1.0
mu_beta_Age[5],0.27,-1.06,1.58,3305,1.0
mu_beta_Age[6],0.28,-1.04,1.66,3683,1.0
"beta_Gender[1,1]",0.76,-1.04,2.5,3398,1.0
"beta_Gender[2,1]",0.48,-1.16,2.12,2563,1.0
"beta_Gender[1,2]",1.44,-0.38,3.27,3614,1.0
"beta_Gender[2,2]",0.61,-1.04,2.24,2682,1.0
"beta_Gender[1,3]",-1.38,-3.44,0.85,3966,1.0
"beta_Gender[2,3]",-0.45,-2.25,1.37,3237,1.0
mu_beta_Gender[1],0.41,-1.16,1.95,3429,1.0
mu_beta_Gender[2],0.69,-0.78,2.19,3560,1.0
mu_beta_Gender[3],-0.6,-2.18,0.94,3460,1.0
"beta_Education[1,1]",0.08,-1.57,1.66,3538,1.0
"beta_Education[2,1]",-0.5,-1.73,0.73,2372,1.0
"beta_Education[1,2]",0.42,-0.84,1.64,2644,1.0
"beta_Education[2,2]",0.5,-0.62,1.61,2132,1.0
"beta_Education[1,3]",0.49,-0.85,1.84,2828,1.0
"beta_Education[2,3]",0.39,-0.77,1.53,2310,1.0
"beta_Education[1,4]",0.13,-1.23,1.43,2678,1.0
"beta_Education[2,4]",-0.01,-1.17,1.15,2197,1.0
"beta_Education[1,5]",-0.55,-2.0,0.9,2715,1.0
"beta_Education[2,5]",-0.09,-1.26,1.03,2298,1.0
"beta_Education[1,6]",0.27,-1.17,1.75,3305,1.0
"beta_Education[2,6]",0.35,-0.87,1.6,2185,1.0
mu_beta_Education[1],-0.14,-1.58,1.25,3781,1.0
mu_beta_Education[2],0.3,-1.0,1.59,3594,1.0
mu_beta_Education[3],0.3,-1.03,1.69,3507,1.0
mu_beta_Education[4],0.03,-1.27,1.4,3850,1.0
mu_beta_Education[5],-0.21,-1.59,1.1,3560,1.0
mu_beta_Education[6],0.19,-1.15,1.55,4086,1.0
"beta_Employment[1,1]",0.02,-1.42,1.4,2355,1.0
"beta_Employment[2,1]",-0.16,-1.48,1.18,1991,1.0
"beta_Employment[1,2]",-0.09,-1.58,1.34,2468,1.0
"beta_Employment[2,2]",-0.19,-1.59,1.2,1990,1.0
"beta_Employment[1,3]",-0.24,-1.85,1.28,2784,1.0
"beta_Employment[2,3]",0.29,-1.16,1.73,2259,1.0
