,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.4897450719167438,0.15958053312324183,1.1754724376000028,249
Control,Age,35-44,1.9224255765225728,0.4838828865485552,5.25822236054009,226
Control,Age,45-54,3.092347322288033,0.7151737081582461,9.146451918155966,97
Control,Age,55-64,1.706960871228443,0.3591417125498178,5.195759212384109,75
Control,Age,65+,2.5108116595058214,0.4519137905676852,8.149033100240686,121
Control,Gender,Female,2.126842518244178,0.9309562761506329,4.2326757129470165,499
Control,Gender,Other,0.22922097181937234,0.01372208734276397,1.1700748506048742,9
Control,Education,Level-0,2.8537966179583627,0.31016814695448425,11.277035959948641,52
Control,Education,Level-1,3.223147215536702,0.7561858355799531,9.302158438213748,301
Control,Education,Level-2,3.5955362427468187,0.7456430029104346,10.75355139995761,133
Control,Education,Level-3,2.3993388934497264,0.5565959350607957,6.6174938759831266,234
Control,Education,Other,3.0343022651761884,0.4944273408218253,9.977137632768983,76
Control,Employment,Unemployed,1.0170570955984635,0.3328207555329843,2.383016955025118,117
Control,Employment,Student,0.920661856468926,0.23409447512500606,2.5778665034699486,82
Control,Employment,Retired,1.5838942873954334,0.3621528905379265,4.662407629795166,110
Control,Employment,Other,2.623964909270242,0.7219027617056154,7.060254900436637,79
Control,Religion,Jewish,2.1730827704810416,0.09253094262428292,12.09473112232052,27
Control,Religion,Muslim,1.2194397036157074,0.1710033618862786,4.348852624894081,57
Control,Religion,Atheist,1.9151947958723978,0.4409457647749256,5.35986095026733,77
Control,Religion,Other,1.0956811976977974,0.45496626590661854,2.228887082627597,256
Control,Political,Democrat,0.6675224636971111,0.22993731589067393,1.540092283499962,366
Control,Political,Other,1.2255863308880672,0.46632312862868575,2.6417839954379754,336
Control,Ethnicity,Hispanic,0.6140217873630346,0.16231025191122422,1.633001095376603,101
Control,Ethnicity,Black,1.094936908001442,0.3802650363648267,2.4971493176530246,143
Control,Ethnicity,Asian,0.9129840502951735,0.1441343996577781,2.9896285214169827,60
Control,Ethnicity,Other,2.9047554172772205,0.7296835957518242,8.171896724885064,93
Control,Income,Level-0,4.514728649251537,0.8614746910689947,14.263467547443353,178
Control,Income,Level-1,2.575444208202287,0.570565221592414,7.464907959216234,191
Control,Income,Level-2,3.3382715787285466,0.6794797613949988,10.386826538086064,126
Control,Income,Level-3,2.0672225492090166,0.4663341996638587,5.982211587441199,208
Control,Income,Other,4.385297947730884,0.6882844966743443,14.940127439425078,71
Control,Trust:Television,Checked,0.5670600899096212,0.20573550092619514,1.3043209964174372,245
Control,Trust:Radio,Checked,0.6701336299601154,0.12972333980665376,2.002569225274913,134
Control,Trust:Newspapers,Checked,1.2195382477138197,0.299894947845468,3.3255812026866702,167
Control,Trust:White House Briefings,Checked,1.714372321993137,0.469775113003119,4.727745727252154,170
Control,Trust:State Govt. Briefings,Checked,0.9835057474130654,0.3199428032878658,2.4106284526478046,229
Control,Trust:National Health Authorities,Checked,1.3281817996802021,0.5582861332585717,2.7959839359874517,435
Control,Trust:International Health Authorities,Checked,1.1973143749164479,0.45759060959954545,2.5863599644425306,344
Control,Trust:Healthcare Workers,Checked,0.7228707646223731,0.2965132902940995,1.4534258925501007,500
Control,Trust:Scientists,Checked,1.1124933350772166,0.4455499972138811,2.3694092380389726,389
Control,Trust:Govt. Websites,Checked,3.3789865523528486,0.8896638599531169,9.08518150751417,206
Control,Trust:Social Media,Checked,1.1395099137232754,0.33584591960481086,2.8902875657089,183
Control,Trust:Celebrities,Checked,2.3344863229888664,0.16231717718048802,10.555732688290883,56
Control,Trust:Search Engines,Checked,1.4518218412905108,0.48531997073079336,3.471164662407317,204
Control,Trust:Family and friends,Checked,0.8729112770779501,0.3035613585223757,2.073417645035276,183
Control,Trust:Work Guidelines,Checked,1.3406302530392702,0.3300408731098221,3.7021816948716086,119
Control,Trust:Other,Checked,4.212127037863707,0.3157746109539509,21.394417445748214,13
Control,Trust:None of these,Checked,1.6150789064074336,0.49904187510756626,3.956370544926446,89
Treatment,Age,25-34,1.8091137052689585,0.8544569566590949,3.4198858352494197,480
Treatment,Age,35-44,2.4649493685714328,1.0823474859553799,4.766068775448317,469
Treatment,Age,45-54,3.026265005454808,1.3588438443128183,5.796843776288139,570
Treatment,Age,55-64,3.7693130391401826,1.6307946253980212,7.573285632104376,479
Treatment,Age,65+,2.7103137257652095,1.0408478652054967,5.771150866688988,748
Treatment,Gender,Female,1.1592495926869348,0.773474044348939,1.6324264702320208,1705
Treatment,Gender,Other,0.489975759965186,0.10988431770895069,1.4018088175689172,30
Treatment,Education,Level-0,0.7311716893559901,0.2877072250332754,1.5649762939862888,137
Treatment,Education,Level-1,1.9014080041947294,0.9854830796910938,3.3681126786052458,955
Treatment,Education,Level-2,1.7228677155874457,0.8574316478670447,3.0969492710013085,508
Treatment,Education,Level-3,1.1441060437797448,0.5889406706635892,2.0417284066015786,664
