,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.863374439679107,0.5147286637231945,1.3654857948895684,249
Control,Age,35-44,1.294821977480205,0.7261234029260586,2.1573765131432157,226
Control,Age,45-54,1.6320643751555022,0.836898354912367,2.91597273169765,97
Control,Age,55-64,1.5559272252694856,0.7732737456364436,2.8585459798926003,75
Control,Age,65+,1.3537208282618773,0.6154520338661736,2.551625216268996,121
Control,Gender,Female,1.24342796239756,0.8750883161121736,1.73217302039641,499
Control,Gender,Other,5.399136351606786,0.41573854685314005,25.19440724348149,9
Control,Education,Level-0,1.1125835469977927,0.4401832686339225,2.356077699392865,52
Control,Education,Level-1,1.739762216097067,0.9404519907216973,2.9468270239921934,301
Control,Education,Level-2,1.6204015595691055,0.8326618559166442,2.8799185124084676,133
Control,Education,Level-3,1.584657394595873,0.8883982585519128,2.6322866979214767,234
Control,Education,Other,1.6473859185318556,0.7153495983338553,3.3151254622671074,76
Control,Employment,Unemployed,1.106344515906134,0.6465850215107333,1.7945371788600164,117
Control,Employment,Student,0.92878250402191,0.48927118391171837,1.615456442338444,82
Control,Employment,Retired,1.0318368693909117,0.5195485967192486,1.8195410045788671,110
Control,Employment,Other,1.2857519026670519,0.7042887086368285,2.2172010373899202,79
Control,Religion,Jewish,1.5092100697237265,0.4804394137408834,3.419666522822398,27
Control,Religion,Muslim,0.8458683356712448,0.3630388934150537,1.690172501691382,57
Control,Religion,Atheist,1.0444717087026423,0.5492022551041738,1.7660263158685536,77
Control,Religion,Other,0.9884896673927018,0.655935090523633,1.4151569751024853,256
Control,Political,Democrat,0.9318228050931073,0.6085058802336332,1.3806737385865038,366
Control,Political,Other,1.1777736629672282,0.7627802578134749,1.7309214631232017,336
Control,Ethnicity,Hispanic,0.8922500368408829,0.5058868520857298,1.4560338604552059,101
Control,Ethnicity,Black,1.2372329512205753,0.7452718156227919,1.8832890619017466,143
Control,Ethnicity,Asian,0.9488920244096436,0.4751945019345019,1.7245016876371118,60
