,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.17694966211852595,-0.6641153838683536,0.31151023732087507,249
Control,Age,35-44,0.2193537600596597,-0.32003530528853324,0.7688928536374956,226
Control,Age,45-54,0.43925631069035576,-0.17805268942672856,1.0702034595009995,97
Control,Age,55-64,0.38684804272573686,-0.25712215917299397,1.050312971169815,75
Control,Age,65+,0.2376392741022859,-0.48539829262370127,0.9367304956776271,121
Control,Gender,Female,0.2028009632219208,-0.13343049495696588,0.5493766452538555,499
Control,Gender,Other,1.1151727037982828,-0.8776987094945249,3.226622022420239,9
Control,Education,Level-0,0.016434501088983568,-0.820564124261614,0.8569981658624394,52
Control,Education,Level-1,0.5121158106641479,-0.06139468092838446,1.0807290009182433,301
Control,Education,Level-2,0.43296842960988324,-0.1831276547153653,1.0577619990114941,133
Control,Education,Level-3,0.42231181444696664,-0.11833531218687877,0.967852931691276,234
Control,Education,Other,0.4211045374770475,-0.33498397906625377,1.1984953786070751,76
Control,Employment,Unemployed,0.06732098979450782,-0.4360505838259734,0.5847471484330192,117
Control,Employment,Student,-0.12041691904129927,-0.7148383858068161,0.4796175365159611,82
Control,Employment,Retired,-0.019752987443470996,-0.6547949277242527,0.598584271534129,110
Control,Employment,Other,0.20740445314923875,-0.3505669453726736,0.7962455576648781,79
Control,Religion,Jewish,0.28760777380937375,-0.7330541827382187,1.2295429713616102,27
Control,Religion,Muslim,-0.24470926153321845,-1.0132454084047797,0.5248305516650218,57
Control,Religion,Atheist,-0.0006914578187763661,-0.5992885062209915,0.5687319687626221,77
Control,Religion,Other,-0.03065462945085215,-0.42169345499113325,0.3472404445979534,256
Control,Political,Democrat,-0.09214309736307183,-0.4967487038825733,0.322571586379296,366
Control,Political,Other,0.14176569338544182,-0.2707852953134905,0.5486538623184194,336
Control,Ethnicity,Hispanic,-0.15129637306605168,-0.6814423038064066,0.37571619094525355,101
Control,Ethnicity,Black,0.1847153904635805,-0.29400627430247306,0.6330196220457641,143
Control,Ethnicity,Asian,-0.10917950561152166,-0.7440311355596116,0.5449381318389617,60
Control,Ethnicity,Other,0.9757755867618562,0.3790232828111533,1.573148243399936,93
Control,Income,Level-0,0.8996617484439999,0.2385953729049965,1.522136218409717,178
Control,Income,Level-1,0.5851821115405895,0.012019695413808741,1.158149211229533,191
Control,Income,Level-2,0.6551665060875975,0.03824931701104087,1.2704648344635743,126
Control,Income,Level-3,0.43568382601054745,-0.09455607823360734,0.9785637177082263,208
Control,Income,Other,0.5037828370770014,-0.2569523324887116,1.2804049176783348,71
Control,Trust:Television,Checked,-0.34075165222942233,-0.727761252108504,0.04340413671404246,245
Control,Trust:Radio,Checked,-0.30907636778834835,-0.8780944516648984,0.26470809424140573,134
Control,Trust:Newspapers,Checked,-0.2761489584521987,-0.7713645868657727,0.21836189434347417,167
Control,Trust:White House Briefings,Checked,-0.15365673382105388,-0.61157991179969,0.3183210492263667,170
Control,Trust:State Govt. Briefings,Checked,-0.17673878041825464,-0.5896170614676643,0.22796885847078827,229
Control,Trust:National Health Authorities,Checked,0.09808855410886021,-0.24862330298671667,0.461043748020268,435
Control,Trust:International Health Authorities,Checked,-0.0364591472947236,-0.40198718427587465,0.3404933982451154,344
Control,Trust:Healthcare Workers,Checked,-0.31010887174827223,-0.6624480581425284,0.04391169430534904,500
Control,Trust:Scientists,Checked,-0.08380311251158615,-0.4303425808127595,0.2658449012707978,389
Control,Trust:Govt. Websites,Checked,0.021439151253967254,-0.4174390870161643,0.4764500987544457,206
Control,Trust:Social Media,Checked,-0.007410330360575046,-0.4616409535421677,0.4592749994122279,183
Control,Trust:Celebrities,Checked,0.26992034778132085,-0.5419684044137336,1.060615545237404,56
Control,Trust:Search Engines,Checked,0.12744016363062538,-0.31351880436916213,0.548621755674933,204
Control,Trust:Family and friends,Checked,-0.49933338215706674,-0.9389886384129282,-0.05027898530238812,183
Control,Trust:Work Guidelines,Checked,0.45092110071588093,-0.07988272524383021,0.952304193586327,119
Control,Trust:Other,Checked,0.06912925247743487,-1.1385377593396955,1.2767974957562547,13
Control,Trust:None of these,Checked,0.3041024519909198,-0.2956631968512768,0.8971964290977864,89
Treatment,Age,25-34,0.3874128071844351,0.022089866192349403,0.7543161104744732,480
Treatment,Age,35-44,0.47167754227339403,0.09348527679079591,0.8537110839463257,469
Treatment,Age,45-54,0.5134505037273213,0.14932305354882247,0.9016145201725775,570
Treatment,Age,55-64,0.4808432980824573,0.0890845948355021,0.8729132789029738,479
Treatment,Age,65+,0.4462105116018874,0.02565936366822435,0.8725234646117109,748
Treatment,Gender,Female,0.2737982174161443,0.10281020490099989,0.44744522109765733,1705
Treatment,Gender,Other,-0.5389335108719185,-1.3814152326531004,0.2522941722661918,30
Treatment,Education,Level-0,-0.0990970134079808,-0.5588838330925243,0.3483989817181743,137
Treatment,Education,Level-1,0.21132855913892018,-0.05581212333778001,0.4787210203144575,955
Treatment,Education,Level-2,0.2704346202061618,-0.02918416687116297,0.5622261329776594,508
