,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",0.23,-1.68,2.21,2839,1.0
"beta_Age[2,1]",1.39,-0.2,3.0,2043,1.0
"beta_Age[1,2]",-0.3,-1.98,1.35,2745,1.0
"beta_Age[2,2]",-0.18,-1.57,1.18,1770,1.0
"beta_Age[1,3]",0.9,-0.79,2.61,2473,1.0
"beta_Age[2,3]",0.13,-1.25,1.57,1690,1.0
"beta_Age[1,4]",0.89,-0.95,2.72,2621,1.0
"beta_Age[2,4]",-0.1,-1.52,1.31,1760,1.0
"beta_Age[1,5]",-0.08,-2.1,1.92,3160,1.0
"beta_Age[2,5]",0.76,-0.75,2.25,1951,1.0
"beta_Age[1,6]",-0.39,-2.76,1.86,3502,1.0
"beta_Age[2,6]",-0.87,-2.55,0.85,2372,1.0
mu_beta_Age[1],0.54,-0.99,2.1,2756,1.0
mu_beta_Age[2],-0.16,-1.56,1.29,3112,1.0
mu_beta_Age[3],0.35,-1.07,1.79,2869,1.0
mu_beta_Age[4],0.25,-1.18,1.71,2936,1.0
mu_beta_Age[5],0.23,-1.25,1.72,2961,1.0
mu_beta_Age[6],-0.42,-2.0,1.17,3139,1.0
"beta_Gender[1,1]",0.85,-1.18,2.75,2240,1.0
"beta_Gender[2,1]",0.32,-1.55,2.15,1777,1.0
"beta_Gender[1,2]",0.76,-1.2,2.72,1931,1.0
"beta_Gender[2,2]",-0.16,-2.04,1.66,1803,1.0
"beta_Gender[1,3]",-0.23,-2.63,2.21,3367,1.0
"beta_Gender[2,3]",1.03,-1.22,3.33,3163,1.0
mu_beta_Gender[1],0.4,-1.17,1.92,2095,1.0
mu_beta_Gender[2],0.19,-1.38,1.72,2211,1.0
mu_beta_Gender[3],0.28,-1.47,2.04,3034,1.0
"beta_Education[1,1]",-0.27,-2.42,1.84,4175,1.0
"beta_Education[2,1]",0.55,-1.11,2.27,3313,1.0
"beta_Education[1,2]",0.29,-1.35,1.87,3194,1.0
"beta_Education[2,2]",-0.14,-1.45,1.17,2227,1.0
"beta_Education[1,3]",-0.22,-1.84,1.46,3081,1.0
"beta_Education[2,3]",0.75,-0.7,2.29,2563,1.0
"beta_Education[1,4]",1.36,-0.46,3.2,3395,1.0
"beta_Education[2,4]",-0.18,-1.56,1.17,2329,1.0
"beta_Education[1,5]",0.09,-1.68,1.92,3227,1.0
"beta_Education[2,5]",-0.08,-1.6,1.43,2746,1.0
