,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.521868194226536,-2.5727849899170048,1.5813152440671865,227
Control,Age,35-44,0.6761534051671736,-1.4221884068066963,2.8845859606919606,190
Control,Age,45-54,0.661822534503925,-1.7123491663226817,2.9677574729756504,162
Control,Age,55-64,-0.3084212983564163,-2.7866563537411744,2.1280189978802677,127
Control,Age,65+,-0.616710994411814,-3.564281494812497,2.256892805758602,154
Control,Gender,Female,-0.08499321014932244,-1.654089075131832,1.4966755030880174,573
Control,Gender,Other,-1.0747757386746548,-3.8237528014408344,1.7906128306994193,6
Control,Education,Level-0,-0.3617732737077682,-2.9743577863636927,2.2896833556256566,40
Control,Education,Level-1,0.19754089846061548,-1.764748656175905,2.3668936576658437,276
Control,Education,Level-2,-0.30873551288141715,-2.293073295698902,1.6541547154501541,190
Control,Education,Level-3,1.2692155968847372,-0.901640627490391,3.506025769840236,258
Control,Education,Other,0.13663337519628077,-2.157322518068836,2.4307696450681475,73
Control,Employment,Unemployed,1.3242104856733243,-0.8843598431843984,3.549812160562762,56
Control,Employment,Student,0.3422959509365593,-2.0483825875883444,2.915639279901615,64
Control,Employment,Retired,1.5752402778408594,-0.8932646972629158,4.044601458599438,151
Control,Employment,Other,2.088272860519962,-0.07919255290573653,4.226127930272852,110
Control,Religion,Jewish,1.0795738175830296,-2.110762162138804,4.312704164101131,10
Control,Religion,Muslim,1.7744232084671259,-0.7441454172585269,4.313137344072891,34
Control,Religion,Atheist,1.6846456076902923,-0.056547920051832026,3.6687640559034773,342
Control,Religion,Other,0.6166975891479569,-0.9647190323185746,2.23360271999689,172
Control,Political,Labour,-0.979323648000729,-2.899580657550925,0.9230873692196851,350
Control,Political,Liberal-Democrat,-1.2928417797755345,-3.722957748202497,1.2384464527191557,87
Control,Political,SNP,-1.614427505175249,-4.309757153251598,1.1224127675577542,44
Control,Political,Other,0.17097207014300314,-1.5691926608585423,1.87867899689784,212
Control,Ethnicity,Black,0.44637021391588044,-1.904309760084089,2.8836227405943555,27
Control,Ethnicity,Asian,-0.284462174280365,-2.532510219657602,2.017346207990253,82
Control,Ethnicity,Other,0.09047894714849403,-2.0562236190380587,2.330537750060774,19
Control,Income,Level-0,0.5211529474338422,-1.9035896478705137,2.8497876019212565,154
Control,Income,Level-1,-1.0765945571340345,-3.221690359976239,1.0802800415778966,197
Control,Income,Level-2,-0.07616396755196139,-2.328883298527069,2.1715857267841026,167
Control,Income,Level-3,0.3718006756318776,-1.6683668764875108,2.5213066217024793,230
Control,Income,Other,-0.3964272852461136,-2.9920153153514026,2.047423866175708,68
Control,Reason:Unsure if safe,Checked,1.6806150366745733,0.04810962261998966,3.3380008448713077,249
Control,Reason:Unsure if effective,Checked,-0.7304954651292662,-2.2740268038711595,0.7397782239527477,187
Control,Reason:Not at risk,Checked,0.1842816429366653,-1.829546672617762,2.2349254773024634,51
Control,Reason:Wait until others,Checked,-0.4053260669531336,-2.2534126188323267,1.499965083348408,133
Control,Reason:Won't be ill,Checked,1.0879159793981517,-0.8906898894131942,3.0279790128704236,53
Control,Reason:Other effective treatments,Checked,0.2590977591493157,-1.9763754194577083,2.7520083430874336,29
Control,Reason:Already acquired immunity,Checked,-0.23179244770860355,-2.5968282480631575,2.184492482782165,28
