,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.26,-1.59,1.02,2016,1.0
"beta_Age[2,1]",0.08,-1.12,1.25,1519,1.0
"beta_Age[1,2]",-0.56,-1.82,0.67,1827,1.0
"beta_Age[2,2]",-0.23,-1.38,0.9,1593,1.0
"beta_Age[1,3]",-0.01,-1.27,1.21,1931,1.0
"beta_Age[2,3]",0.06,-1.1,1.2,1577,1.0
"beta_Age[1,4]",0.29,-1.03,1.54,1798,1.0
"beta_Age[2,4]",0.09,-1.08,1.22,1544,1.01
"beta_Age[1,5]",-0.04,-1.36,1.27,1947,1.0
"beta_Age[2,5]",-0.08,-1.25,1.06,1554,1.0
"beta_Age[1,6]",0.33,-1.19,1.8,2634,1.0
"beta_Age[2,6]",0.0,-1.21,1.2,1711,1.01
mu_beta_Age[1],-0.07,-1.38,1.24,3248,1.0
mu_beta_Age[2],-0.25,-1.6,1.06,3398,1.0
mu_beta_Age[3],0.02,-1.28,1.32,3396,1.0
mu_beta_Age[4],0.12,-1.2,1.48,3256,1.0
mu_beta_Age[5],-0.03,-1.36,1.25,3374,1.0
mu_beta_Age[6],0.1,-1.26,1.46,3511,1.0
"beta_Gender[1,1]",0.26,-1.45,1.89,2440,1.0
"beta_Gender[2,1]",-0.21,-1.76,1.41,2426,1.0
"beta_Gender[1,2]",0.16,-1.52,1.83,2503,1.0
"beta_Gender[2,2]",-0.03,-1.59,1.62,2420,1.0
"beta_Gender[1,3]",-0.51,-2.46,1.46,3125,1.0
"beta_Gender[2,3]",0.16,-1.56,1.92,2495,1.0
mu_beta_Gender[1],0.02,-1.43,1.49,3123,1.0
mu_beta_Gender[2],0.04,-1.42,1.54,3284,1.0
mu_beta_Gender[3],-0.11,-1.58,1.44,3234,1.0
"beta_Education[1,1]",-0.17,-1.52,1.35,2908,1.0
"beta_Education[2,1]",0.02,-1.22,1.25,1881,1.0
"beta_Education[1,2]",-0.23,-1.41,1.01,2315,1.0
"beta_Education[2,2]",-0.14,-1.32,1.04,1842,1.0
"beta_Education[1,3]",-0.03,-1.26,1.25,2379,1.0
"beta_Education[2,3]",0.07,-1.1,1.24,1904,1.0
"beta_Education[1,4]",0.14,-1.1,1.34,2251,1.0
"beta_Education[2,4]",-0.23,-1.41,0.96,1815,1.0
"beta_Education[1,5]",0.21,-1.03,1.49,2402,1.0
"beta_Education[2,5]",0.04,-1.17,1.24,1908,1.0
"beta_Education[1,6]",-0.16,-1.58,1.25,2597,1.0
"beta_Education[2,6]",0.17,-1.04,1.38,1863,1.0
mu_beta_Education[1],-0.04,-1.45,1.29,3541,1.0
mu_beta_Education[2],-0.11,-1.42,1.23,3857,1.0
mu_beta_Education[3],0.01,-1.34,1.27,3490,1.0
mu_beta_Education[4],-0.03,-1.3,1.31,3333,1.0
mu_beta_Education[5],0.08,-1.27,1.34,3592,1.0
mu_beta_Education[6],0.0,-1.36,1.35,3681,1.0
"beta_Employment[1,1]",-0.28,-1.59,1.01,1919,1.0
"beta_Employment[2,1]",-0.01,-1.22,1.2,1654,1.0
"beta_Employment[1,2]",0.42,-1.04,1.86,2390,1.0
"beta_Employment[2,2]",0.13,-1.14,1.4,1610,1.0
"beta_Employment[1,3]",-0.39,-1.9,1.15,2476,1.0
"beta_Employment[2,3]",0.06,-1.21,1.3,1812,1.0
"beta_Employment[1,4]",-0.28,-1.93,1.31,2876,1.0
"beta_Employment[2,4]",-0.33,-1.62,0.95,1870,1.0
"beta_Employment[1,5]",0.35,-1.08,1.78,2310,1.0
"beta_Employment[2,5]",-0.07,-1.3,1.17,1649,1.0
