,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.8044491262488827,0.3478577549846279,1.6105326995105544,227
Control,Age,35-44,1.4056994991929992,0.5738743373321091,2.9274591978041116,190
Control,Age,45-54,1.9298432925215627,0.7104799397002758,4.304663850280916,162
Control,Age,55-64,1.4305473331931096,0.4673565077891124,3.4865322117172584,127
Control,Age,65+,2.346776500094792,0.4532136724734105,7.46648703553787,154
Control,Gender,Female,0.9406826997491923,0.5497427133657349,1.4671146168388491,573
Control,Gender,Other,0.7091247681061821,0.0832336013135484,2.8004814982422346,6
Control,Education,Level-0,0.8304633026888845,0.2030447140726998,2.385595364128807,40
Control,Education,Level-1,0.6918554977200355,0.30235425300697694,1.3728363768079828,276
Control,Education,Level-2,0.8601939165426685,0.3533266806818513,1.782645433414916,190
Control,Education,Level-3,0.9930758200372449,0.45781510037186157,1.8760787881106915,258
Control,Education,Other,0.8087676869919541,0.2346736067631251,2.0567326810479525,73
Control,Employment,Unemployed,2.272127014692007,0.811914968665474,5.291808301728153,56
Control,Employment,Student,1.0494751282691015,0.30719591327840956,2.739740758457212,64
Control,Employment,Retired,1.2358880989866667,0.2789740439643673,3.5733979702153222,151
Control,Employment,Other,2.0435309227744076,0.8999114063649133,4.176550181406144,110
Control,Religion,Jewish,3.347314181777815,0.25348763553035186,14.337840313710458,10
Control,Religion,Muslim,3.9312111912396945,1.0417895329249451,9.938438623804194,34
Control,Religion,Atheist,1.7267033851317841,0.9801852575464206,2.8200132480000653,342
Control,Religion,Other,1.7106424502669768,0.8556016773138608,3.0201050074373796,172
Control,Political,Labour,0.8847314743799016,0.46103791428037116,1.5690107323773985,350
Control,Political,Liberal-Democrat,1.673245694519519,0.6129861697754617,3.674339519305204,87
Control,Political,SNP,1.5773446057487748,0.40896327755712764,4.318718070686355,44
Control,Political,Other,1.1658906032886482,0.5849415050843672,2.1211434060494083,212
Control,Ethnicity,Black,3.2460889140693623,0.744803488550922,9.393387841321257,27
Control,Ethnicity,Asian,0.9491441871944756,0.3820782400616537,1.9950123908080248,82
Control,Ethnicity,Other,0.8913611151827296,0.21440560533676725,2.3549585267374766,19
Control,Income,Level-0,1.5344979847321394,0.5970591461917435,3.284880924641458,154
Control,Income,Level-1,0.869559143817352,0.3598401291344469,1.7808364146856892,197
Control,Income,Level-2,1.3315640684396117,0.548395720116546,2.778734781412956,167
Control,Income,Level-3,1.4974010763089947,0.6557205877221873,2.9435668127481636,230
Control,Income,Other,1.3040975977095994,0.43171239795322597,3.1404362564787576,68
Control,Reason:Unsure if safe,Checked,1.6242739612177175,0.9479298444632104,2.622309331942603,249
Control,Reason:Unsure if effective,Checked,1.1587773680160125,0.6982555753691099,1.833649680187708,187
Control,Reason:Not at risk,Checked,1.851648762499402,0.8272049799380685,3.6355580412287867,51
Control,Reason:Wait until others,Checked,1.2869803663385517,0.7552157818645575,2.092390991727055,133
Control,Reason:Won't be ill,Checked,1.3410357350335518,0.6243797625071041,2.597723353682795,53
Control,Reason:Other effective treatments,Checked,0.8131005248278831,0.3143883175698265,1.7938069576054645,29
Control,Reason:Already acquired immunity,Checked,0.6519834371243445,0.24757153864425055,1.4623280229529794,28
Control,Reason:Approval may be rushed,Checked,1.2677740396614134,0.7422430976512974,2.025425578518862,185
Control,Reason:Other,Checked,3.986630735794225,1.0719636283910687,11.050375425632117,17
Control,Reason:Do not know,Checked,1.782446321081869,0.5585394946090622,4.372068055893386,28
Treatment,Age,25-34,0.7551038722581445,0.4730671133199899,1.147002801118946,575
Treatment,Age,35-44,1.0089501830612129,0.6253962386949482,1.5297180038026117,586
Treatment,Age,45-54,1.0387013729586687,0.6374629632172177,1.5961021319109154,528
Treatment,Age,55-64,0.8826551381786033,0.5103967940419156,1.4162557544256078,437
Treatment,Age,65+,0.9872106415141739,0.45654107557603324,1.8431129981351144,510
Treatment,Gender,Female,1.2100308528647339,0.9298860465144883,1.5409901222937648,1710
Treatment,Gender,Other,1.743471020422587,0.4497004842408226,4.637534415386298,19
Treatment,Education,Level-0,1.032109027532847,0.4964113938601476,1.8613029882795413,138
Treatment,Education,Level-1,0.8575793407410105,0.5479234818905528,1.2795025737127814,875
Treatment,Education,Level-2,1.0610510958193127,0.6670483134671015,1.6091058483522283,501
Treatment,Education,Level-3,0.782057649731954,0.5087658652895162,1.1358886684178686,787
Treatment,Education,Other,1.1770278524135291,0.656303596284634,1.923794026752574,234
Treatment,Employment,Unemployed,1.1781408016333896,0.7190696343286639,1.8339506122780636,165
Treatment,Employment,Student,1.1231693871118726,0.5925573603980041,1.9567198017551242,134
Treatment,Employment,Retired,0.7589410393878154,0.412903899185369,1.3261219551544614,496
Treatment,Employment,Other,0.9608812947983015,0.6399757490715721,1.3978398786986064,291
Treatment,Religion,Jewish,1.0161976566615154,0.233200300992122,3.150362297050197,34
Treatment,Religion,Muslim,1.2406642965805879,0.5973544618243826,2.246973740939817,117
Treatment,Religion,Atheist,1.0031830783967204,0.7517641667262901,1.3173968158907952,1001
Treatment,Religion,Other,0.9395283611959107,0.6602048932799536,1.2817665232762228,562
Treatment,Political,Labour,1.0159490928603108,0.7347530811743438,1.3636548732810658,1060
Treatment,Political,Liberal-Democrat,0.7082127658610545,0.4080781650495569,1.1570193641052984,220
Treatment,Political,SNP,0.8838087856112511,0.4189056514563026,1.6726860078670862,109
Treatment,Political,Other,1.4514791276026677,1.015634762889172,1.9927146941849883,633
Treatment,Ethnicity,Black,1.0803521860602978,0.5892166550337661,1.8814448931312946,109
Treatment,Ethnicity,Asian,1.0156097530479777,0.5994758763129445,1.61387855964284,216
Treatment,Ethnicity,Other,1.270587943712936,0.5719060601245074,2.499924172339595,54
Treatment,Income,Level-0,0.9837498572992865,0.6087113060277194,1.4910235088259571,430
Treatment,Income,Level-1,0.9350319970035674,0.6143625979480662,1.3605940461617385,593
Treatment,Income,Level-2,0.7176604757025156,0.4679237322611819,1.0420158253290515,581
Treatment,Income,Level-3,0.7582376370457755,0.5065390375385199,1.093125742868313,726
Treatment,Income,Other,0.7143121820175702,0.4062056829688165,1.1905699484795818,179
Treatment,Reason:Unsure if safe,Checked,1.2983892087008093,0.9864979797991827,1.6644690210952915,740
Treatment,Reason:Unsure if effective,Checked,1.376458580103438,1.0563351828462477,1.7696777076095604,579
Treatment,Reason:Not at risk,Checked,1.1954334510856937,0.7475190892423478,1.8273431718028852,124
Treatment,Reason:Wait until others,Checked,1.0497461063566107,0.8021708428049035,1.3611868748290656,429
Treatment,Reason:Won't be ill,Checked,0.9167964737495975,0.6056666399923682,1.3281212158708517,154
Treatment,Reason:Other effective treatments,Checked,1.0133292505390465,0.6443920885912147,1.5131421431603256,119
Treatment,Reason:Already acquired immunity,Checked,0.7162745138036628,0.4265800427212269,1.13784535754086,100
Treatment,Reason:Approval may be rushed,Checked,1.4303006545729373,1.0909590958414435,1.8472892249871036,559
Treatment,Reason:Other,Checked,1.5876838844609247,0.7994659462792335,2.8567289536266562,60
Treatment,Reason:Do not know,Checked,1.3985390164105251,0.7264228163739321,2.413630837581849,73
Treatment-Control,Age,25-34,1.0992143294649024,0.40254324027610966,2.4032806339937123,802
Treatment-Control,Age,35-44,0.8533401198527443,0.3022312856277844,1.8886854144583265,776
Treatment-Control,Age,45-54,0.6622650577014223,0.20841663323650422,1.5759201777506922,690
Treatment-Control,Age,55-64,0.7992688419098519,0.22062694495668683,1.9955131115153646,564
Treatment-Control,Age,65+,0.6943089041221221,0.11080959993914286,2.431270018528412,664
