,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-0.29660549911694367,-1.0559616394662554,0.4765646550010062,227
Control,Age,35-44,0.25273312290799355,-0.555344852998925,1.0741348266429331,190
Control,Age,45-54,0.5541275197932852,-0.3418145660143737,1.459699050597485,162
Control,Age,55-64,0.22555935703511315,-0.7606629415668081,1.2489076021122216,127
Control,Age,65+,0.5943318011322707,-0.791391684118872,2.010424550274836,154
Control,Gender,Female,-0.09281557198136525,-0.5983049969556584,0.3832976229042237,573
Control,Gender,Other,-0.7679228274596047,-2.486104153196087,1.0297898792618438,6
Control,Education,Level-0,-0.38130384886069557,-1.594329290935209,0.8694487168489881,40
Control,Education,Level-1,-0.44320417343075724,-1.1961560182728057,0.3168789419705274,276
Control,Education,Level-2,-0.23720746199774453,-1.0403622250104074,0.5780984333880356,190
Control,Education,Level-3,-0.07429677061894892,-0.7812899201221292,0.6291838329645942,258
Control,Education,Other,-0.3712266273135953,-1.449559655269825,0.7211186451409392,73
Control,Employment,Unemployed,0.7052125018105421,-0.20835969288027179,1.6661600198990532,56
Control,Employment,Student,-0.10763123009706947,-1.1802696294243584,1.0078619705767204,64
Control,Employment,Retired,0.0025053752095783003,-1.276637065236498,1.2735169549949812,151
Control,Employment,Other,0.636558312128223,-0.10545987534239344,1.4294855748525057,110
Control,Religion,Jewish,0.6731024830559855,-1.3724428089080671,2.6629015605433364,10
Control,Religion,Muslim,1.2042091223015423,0.040939929934917865,2.296409779166472,34
Control,Religion,Atheist,0.5104433041165708,-0.020013689630760393,1.0367415675379894,342
Control,Religion,Other,0.48414102734236425,-0.1559503560555787,1.1052915819071074,172
Control,Political,Labour,-0.1725165204625786,-0.7742755374252855,0.45044526353417563,350
Control,Political,Liberal-Democrat,0.4123300942704805,-0.4894129295440474,1.301373232886501,87
Control,Political,SNP,0.26892117223448386,-0.8941301440776213,1.462958615291071,44
Control,Political,Other,0.09950372147975903,-0.5362434281763164,0.7519552839560121,212
Control,Ethnicity,Black,0.9688149694507121,-0.29463486946317796,2.2400060205663133,27
Control,Ethnicity,Asian,-0.14446420427079099,-0.9621298942846547,0.6906500921094447,82
Control,Ethnicity,Other,-0.2930278699466044,-1.5398857136956834,0.8565231165789434,19
Control,Income,Level-0,0.33373162250264976,-0.5157391337984639,1.1893303374915416,154
Control,Income,Level-1,-0.22385695402326358,-1.0220954322850608,0.5770830769224186,197
Control,Income,Level-2,0.19811724934420413,-0.6007581358700271,1.0219948993707402,167
Control,Income,Level-3,0.32956440115098873,-0.42202051655162687,1.0796219335221546,230
Control,Income,Other,0.13437147437479793,-0.8399957200383804,1.1443612749035683,68
Control,Reason:Unsure if safe,Checked,0.45200995389046084,-0.05347480355534145,0.9640553236558185,249
Control,Reason:Unsure if effective,Checked,0.11638799317922667,-0.3591701016167398,0.6063083381247084,187
Control,Reason:Not at risk,Checked,0.5441006884511814,-0.18970288413573783,1.2907625813104975,51
Control,Reason:Wait until others,Checked,0.21826348004007073,-0.28075187429708665,0.73830742263236,133
Control,Reason:Won't be ill,Checked,0.22736146431411422,-0.47099693690760275,0.9546353734221745,53
Control,Reason:Other effective treatments,Checked,-0.30447813433730964,-1.1571265508658686,0.5843400955934406,29
Control,Reason:Already acquired immunity,Checked,-0.5331816578931557,-1.3960556954885557,0.38002961139166974,28
Control,Reason:Approval may be rushed,Checked,0.20435776684781165,-0.29807848537340315,0.7057798335018705,185
Control,Reason:Other,Checked,1.2078254268301682,0.06949208385616298,2.4024643556853356,17
Control,Reason:Do not know,Checked,0.44022918728991917,-0.5824300503455578,1.4752361188859529,28
Treatment,Age,25-34,-0.30650575706589916,-0.7485182020290194,0.13715227336924096,575
