,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.27,-1.7,1.21,2501,1.0
"beta_Age[2,1]",-0.37,-1.67,0.94,1492,1.0
"beta_Age[1,2]",-1.46,-2.89,-0.1,2283,1.0
"beta_Age[2,2]",-0.15,-1.33,1.13,1546,1.0
"beta_Age[1,3]",0.99,-0.71,2.74,3104,1.0
"beta_Age[2,3]",0.06,-1.2,1.28,1367,1.0
"beta_Age[1,4]",1.42,-0.14,3.04,3018,1.0
"beta_Age[2,4]",0.12,-1.1,1.34,1410,1.0
"beta_Age[1,5]",0.06,-1.6,1.74,2933,1.0
"beta_Age[2,5]",0.78,-0.48,2.07,1462,1.0
"beta_Age[1,6]",0.09,-1.7,1.88,3554,1.0
"beta_Age[2,6]",0.2,-1.11,1.54,1619,1.0
mu_beta_Age[1],-0.22,-1.51,1.15,2896,1.0
mu_beta_Age[2],-0.53,-1.89,0.85,3441,1.0
mu_beta_Age[3],0.35,-1.03,1.74,2919,1.0
mu_beta_Age[4],0.52,-0.87,1.93,3645,1.0
mu_beta_Age[5],0.27,-1.1,1.65,3161,1.0
mu_beta_Age[6],0.09,-1.35,1.57,3624,1.0
"beta_Gender[1,1]",0.89,-0.93,2.69,2685,1.0
"beta_Gender[2,1]",0.79,-0.87,2.49,2185,1.0
"beta_Gender[1,2]",1.56,-0.21,3.38,2680,1.0
"beta_Gender[2,2]",0.48,-1.16,2.17,2136,1.0
"beta_Gender[1,3]",-1.58,-3.84,0.67,4224,1.0
"beta_Gender[2,3]",-0.63,-2.47,1.26,2661,1.0
mu_beta_Gender[1],0.55,-0.9,2.08,3048,1.0
mu_beta_Gender[2],0.68,-0.8,2.17,2899,1.0
mu_beta_Gender[3],-0.73,-2.3,0.9,3624,1.0
"beta_Education[1,1]",0.33,-1.6,2.25,3556,1.0
"beta_Education[2,1]",-0.46,-1.79,0.9,1621,1.0
"beta_Education[1,2]",0.47,-0.93,1.88,2122,1.0
"beta_Education[2,2]",0.55,-0.65,1.75,1389,1.0
"beta_Education[1,3]",0.19,-1.38,1.74,2376,1.0
"beta_Education[2,3]",0.43,-0.84,1.67,1336,1.0
"beta_Education[1,4]",0.32,-1.2,1.82,2335,1.0
"beta_Education[2,4]",-0.12,-1.37,1.13,1404,1.0
"beta_Education[1,5]",-0.38,-2.2,1.34,2783,1.0
"beta_Education[2,5]",0.17,-1.14,1.46,1537,1.0
"beta_Education[1,6]",-0.15,-1.75,1.48,2732,1.0
"beta_Education[2,6]",0.0,-1.32,1.28,1493,1.0
mu_beta_Education[1],-0.04,-1.51,1.4,3316,1.0
mu_beta_Education[2],0.35,-1.01,1.7,2870,1.0
mu_beta_Education[3],0.21,-1.19,1.57,2841,1.0
mu_beta_Education[4],0.07,-1.3,1.44,2855,1.0
mu_beta_Education[5],-0.08,-1.51,1.35,3123,1.0
mu_beta_Education[6],-0.05,-1.4,1.32,3006,1.0
"beta_Employment[1,1]",-0.1,-1.53,1.32,2079,1.0
"beta_Employment[2,1]",-0.09,-1.42,1.17,1671,1.0
"beta_Employment[1,2]",-0.12,-1.69,1.47,2527,1.0
"beta_Employment[2,2]",-0.32,-1.69,1.02,1777,1.0
"beta_Employment[1,3]",-0.11,-1.8,1.58,2752,1.0
"beta_Employment[2,3]",0.21,-1.29,1.77,2189,1.0
"beta_Employment[1,4]",0.14,-1.76,2.0,3311,1.0
"beta_Employment[2,4]",0.25,-1.17,1.61,1851,1.0
"beta_Employment[1,5]",1.12,-0.52,2.81,2431,1.0
"beta_Employment[2,5]",0.64,-0.73,1.95,1735,1.0
mu_beta_Employment[1],-0.06,-1.37,1.29,2749,1.0
mu_beta_Employment[2],-0.14,-1.49,1.23,2877,1.0
mu_beta_Employment[3],0.04,-1.39,1.44,3475,1.0
mu_beta_Employment[4],0.13,-1.31,1.57,3321,1.0
mu_beta_Employment[5],0.58,-0.81,1.97,2918,1.0
"beta_Religion[1,1]",-0.06,-1.65,1.55,2133,1.0
"beta_Religion[2,1]",0.43,-0.9,1.78,1430,1.0
"beta_Religion[1,2]",-0.47,-2.91,1.94,4651,1.0
"beta_Religion[2,2]",0.14,-1.45,1.75,1800,1.0
"beta_Religion[1,3]",0.49,-1.55,2.55,3615,1.0
"beta_Religion[2,3]",-0.71,-2.4,1.0,2471,1.0
"beta_Religion[1,4]",0.97,-0.96,2.87,2907,1.0
"beta_Religion[2,4]",0.36,-1.07,1.84,1558,1.0
"beta_Religion[1,5]",0.02,-1.59,1.64,2097,1.0
"beta_Religion[2,5]",0.59,-0.74,1.94,1485,1.0
mu_beta_Religion[1],0.12,-1.2,1.52,2584,1.0
mu_beta_Religion[2],-0.11,-1.66,1.45,3237,1.0
mu_beta_Religion[3],-0.06,-1.6,1.48,3355,1.0
mu_beta_Religion[4],0.45,-0.99,1.95,2879,1.0
mu_beta_Religion[5],0.2,-1.2,1.57,2801,1.0
"beta_Political[1,1]",0.47,-1.21,2.24,1865,1.0
"beta_Political[2,1]",0.24,-1.27,1.82,1740,1.0
"beta_Political[1,2]",-0.09,-1.75,1.66,2067,1.0
"beta_Political[2,2]",0.1,-1.45,1.71,1733,1.0
"beta_Political[1,3]",0.52,-1.14,2.18,1967,1.0
"beta_Political[2,3]",0.34,-1.2,1.88,1653,1.0
mu_beta_Political[1],0.25,-1.19,1.71,2454,1.0
mu_beta_Political[2],0.0,-1.42,1.5,2339,1.0
mu_beta_Political[3],0.29,-1.15,1.8,2703,1.0
"beta_Ethnicity[1,1]",0.4,-1.07,1.84,1819,1.0
"beta_Ethnicity[2,1]",0.72,-0.59,2.01,1792,1.0
"beta_Ethnicity[1,2]",0.08,-1.59,1.79,2313,1.0
"beta_Ethnicity[2,2]",0.57,-0.87,2.02,1793,1.0
"beta_Ethnicity[1,3]",0.11,-1.4,1.62,2069,1.0
"beta_Ethnicity[2,3]",0.46,-0.88,1.79,1743,1.0
"beta_Ethnicity[1,4]",-0.68,-2.76,1.46,3383,1.0
"beta_Ethnicity[2,4]",-1.21,-2.87,0.43,2424,1.0
"beta_Ethnicity[1,5]",1.07,-0.63,2.74,2652,1.0
"beta_Ethnicity[2,5]",0.26,-1.13,1.65,1820,1.0
mu_beta_Ethnicity[1],0.37,-1.02,1.72,3098,1.0
mu_beta_Ethnicity[2],0.21,-1.22,1.65,2761,1.0
mu_beta_Ethnicity[3],0.2,-1.17,1.53,3109,1.0
mu_beta_Ethnicity[4],-0.63,-2.16,0.9,3425,1.0
mu_beta_Ethnicity[5],0.43,-1.01,1.89,3112,1.0
"beta_Income[1,1]",0.65,-0.8,2.16,2626,1.0
"beta_Income[2,1]",-0.19,-1.41,1.03,1764,1.0
"beta_Income[1,2]",-0.02,-1.36,1.41,2283,1.0
"beta_Income[2,2]",0.15,-1.03,1.35,1612,1.0
"beta_Income[1,3]",0.62,-0.98,2.21,2712,1.0
"beta_Income[2,3]",0.26,-0.94,1.52,1658,1.0
"beta_Income[1,4]",-0.29,-1.7,1.2,2459,1.0
"beta_Income[2,4]",0.19,-0.98,1.45,1655,1.0
"beta_Income[1,5]",-0.46,-2.22,1.29,3176,1.0
"beta_Income[2,5]",-0.17,-1.45,1.14,1755,1.0
"beta_Income[1,6]",0.41,-1.16,2.01,2893,1.0
"beta_Income[2,6]",0.39,-0.89,1.76,1960,1.0
mu_beta_Income[1],0.15,-1.19,1.47,3426,1.0
mu_beta_Income[2],0.04,-1.22,1.36,3253,1.0
