,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.3677709487364366,0.08387463658616763,1.0282403811915115,249
Control,Age,35-44,5.311952758755226,0.6274418960060997,21.83711123279478,226
Control,Age,45-54,7.7225810567702995,1.0847007620370286,29.520463954679173,97
Control,Age,55-64,2.1049703575233303,0.2453834389414898,8.137009989639443,75
Control,Age,65+,2.4690608326614822,0.17971155502784747,11.116995567529846,121
Control,Gender,Female,2.2348804817863193,0.6957210354101537,5.580541549490144,499
Control,Gender,Other,0.18368676198331746,0.008031844984749969,0.9775039571967018,9
Control,Education,Level-0,4.12552582656986,0.2231641224149477,19.680849261682795,52
Control,Education,Level-1,3.3989776421718445,0.40990001646991175,12.558111808797548,301
Control,Education,Level-2,2.8303508060738873,0.2925786037408645,11.40252315666826,133
Control,Education,Level-3,3.025247054868166,0.34925482459871654,11.880158955280137,234
Control,Education,Other,2.1408812851485655,0.17046051686818928,9.885679946628315,76
Control,Employment,Unemployed,1.2140979756055912,0.2900633278844713,3.5650854140892347,117
Control,Employment,Student,1.3272510664551698,0.2194941017491169,4.3030038805654405,82
Control,Employment,Retired,1.9527775568113785,0.21788749249010064,7.274704282656968,110
Control,Employment,Other,4.587759943722708,0.7842768549632544,15.89321431165436,79
Control,Religion,Jewish,1.7428222548971064,0.038057091169616836,9.62609939338398,27
Control,Religion,Muslim,3.1728018874101744,0.24122361797189906,14.501698784351653,57
Control,Religion,Atheist,4.216449814974065,0.4839969203327839,15.910560893514143,77
Control,Religion,Other,1.2503526662899052,0.3813554260319672,3.1289278888534904,256
Control,Political,Democrat,0.7082074897019158,0.15313008987502327,2.05752630046125,366
Control,Political,Other,1.2539490047489668,0.31345617932944037,3.329021537605139,336
Control,Ethnicity,Hispanic,0.9574654061135671,0.17686758858170692,3.2109851744568254,101
Control,Ethnicity,Black,0.8819210986054338,0.2456187960570512,2.3476404009933414,143
Control,Ethnicity,Asian,0.6836344856992573,0.03731694704719496,3.3166216197964555,60
Control,Ethnicity,Other,2.6637956371198825,0.4304216599921526,9.006052203450501,93
Control,Income,Level-0,4.993069233078275,0.4266530530399635,21.918471953556914,178
Control,Income,Level-1,2.3186449255015114,0.2647769226668582,9.397081575432079,191
Control,Income,Level-2,4.908527829068506,0.39079669784628,22.132201986396908,126
Control,Income,Level-3,1.84181517980032,0.1949339409125173,7.8340784386502165,208
Control,Income,Other,3.98136317276648,0.3128957738878607,17.748235233353373,71
Control,Reason:Unsure if safe,Checked,3.5119751072779835,0.9290456846725204,9.701424864197527,237
Control,Reason:Unsure if effective,Checked,1.361195995894867,0.38064899421254106,3.494752841703238,186
Control,Reason:Not at risk,Checked,0.5294660538110684,0.09932701239489967,1.7367734970796653,59
Control,Reason:Wait until others,Checked,0.7283248217165087,0.18178545396424234,1.9321475549182243,169
Control,Reason:Won't be ill,Checked,2.7005972824484967,0.572134329917929,8.832915967055618,69
Control,Reason:Other effective treatments,Checked,0.9323147681227947,0.17170006802709217,3.141158424499921,57
Control,Reason:Already acquired immunity,Checked,0.6848380973319287,0.1571454807150173,2.053614928077278,54
Control,Reason:Approval may be rushed,Checked,1.0498275063590858,0.28670181649835397,2.7357080751470773,187
Control,Reason:Other,Checked,6.072297496305281,1.0180836084397051,21.527124823081223,38
Control,Reason:Do not know,Checked,4.687056982083331,0.7684445495555949,16.376075767446014,64
Treatment,Age,25-34,1.3741616528626885,0.5050060514771905,2.9440858706800883,480
Treatment,Age,35-44,1.7322524341166543,0.5689373691318926,3.9754769970562833,469
Treatment,Age,45-54,1.8165883794162452,0.6261148222110974,4.115129062305802,570
Treatment,Age,55-64,3.5741435335745932,1.152313597431624,8.39783634051707,479
Treatment,Age,65+,2.0847838196263866,0.5674697388860602,5.517632296894163,748
Treatment,Gender,Female,0.7644582721367296,0.4270313996505257,1.250022016635518,1705
Treatment,Gender,Other,0.3251248078616869,0.056501248372028676,1.1147234039102465,30
Treatment,Education,Level-0,0.6237401785991913,0.17272378864695456,1.632832649694103,137
Treatment,Education,Level-1,1.6079857620538012,0.6049215404753346,3.5064093353814236,955
Treatment,Education,Level-2,1.4465611553086395,0.5094487819321682,3.2130590330898396,508
Treatment,Education,Level-3,0.8272375258467897,0.2892463765973805,1.849246591440554,664
Treatment,Education,Other,0.9760196497135182,0.2904004281110587,2.4613078178127306,175
Treatment,Employment,Unemployed,0.8597145116802865,0.353772415007103,1.766754218879518,257
Treatment,Employment,Student,1.5823196264996073,0.44593127841284375,4.220407582614101,94
Treatment,Employment,Retired,1.5427377886414306,0.5981600090358885,3.4151107972492243,726
Treatment,Employment,Other,2.2045050520172116,1.001051186795976,4.197955671116017,380
Treatment,Religion,Jewish,0.9226113854481348,0.22439132284659366,2.765689326572433,138
Treatment,Religion,Muslim,0.423650546276584,0.07269763849136313,1.3842805986930373,102
Treatment,Religion,Atheist,1.0352049099390852,0.40262954849459753,2.1852387638949122,304
Treatment,Religion,Other,1.2325794188873127,0.6586257326765743,2.1256392305541927,640
Treatment,Political,Democrat,0.9293743551531424,0.42810234357414956,1.8252743741545399,1023
Treatment,Political,Other,1.1551860309751767,0.6113260815665041,1.9940237032021566,987
Treatment,Ethnicity,Hispanic,0.974377649163612,0.34399324478342164,2.3247530017208007,211
Treatment,Ethnicity,Black,0.8329313038972224,0.3646155722128568,1.6415571326306475,367
Treatment,Ethnicity,Asian,0.1888014989007927,0.036973625269260714,0.5948090583443337,127
Treatment,Ethnicity,Other,0.6885493954200218,0.2805924313183188,1.4272504339800696,194
Treatment,Income,Level-0,1.1010231671147384,0.3727970372184616,2.5125130057210154,383
Treatment,Income,Level-1,1.5115196890395701,0.5836365557149487,3.191949466026,680
Treatment,Income,Level-2,1.7013412453953907,0.6184116432362685,3.7587374051123974,499
Treatment,Income,Level-3,1.5874728994484777,0.5812276206029581,3.4418563112529688,671
Treatment,Income,Other,2.0776303604339508,0.5850237397216891,5.564677289632427,160
Treatment,Reason:Unsure if safe,Checked,4.015581056119809,2.0186287478289273,7.374941957537866,886
