,,,mean,2.5%,97.5%,counts
Control,Age,25-34,-1.1936983896843905,-2.4784320608599506,0.02784895333556764,249
Control,Age,35-44,1.2574054383880886,-0.46610715937491987,3.0836108406708203,226
Control,Age,45-54,1.6889080840438992,0.08130415299356442,3.385083692264005,97
Control,Age,55-64,0.331638660449824,-1.4049344013566767,2.096422533342522,75
Control,Age,65+,0.3583526302443867,-1.7164022812540036,2.4084750132408796,121
Control,Gender,Female,0.6692698837389475,-0.36280665069686474,1.7192858235305823,499
Control,Gender,Other,-2.474245150725541,-4.824341110920381,-0.022753408564881717,9
Control,Education,Level-0,0.7141481359139557,-1.499847979183325,2.9796460435383394,52
Control,Education,Level-1,0.8478162297239608,-0.8918420174427225,2.530366359431666,301
Control,Education,Level-2,0.5715396804386982,-1.2290220150719369,2.433833819930639,133
Control,Education,Level-3,0.699297694403904,-1.051956919337768,2.4748694245417027,234
Control,Education,Other,0.23151279431656777,-1.7692515843565704,2.2910866054721013,76
Control,Employment,Unemployed,-0.013164858775012386,-1.2376565562678699,1.2711879567485582,117
Control,Employment,Student,-0.006859873334611701,-1.5164299506681214,1.4593110980719257,82
Control,Employment,Retired,0.24546209178188064,-1.5237764834621643,1.984402431262954,110
Control,Employment,Other,1.221459063797451,-0.24299326535837873,2.7658922379911286,79
Control,Religion,Jewish,-0.40077033644011234,-3.2686678928151007,2.26447792343505,27
Control,Religion,Muslim,0.5585827496352611,-1.4220327626943003,2.6742650502903547,57
Control,Religion,Atheist,1.029582453657758,-0.7256771223663996,2.7669830958733543,77
Control,Religion,Other,0.07952056870242322,-0.9640235151993207,1.140690407997036,256
Control,Political,Democrat,-0.5639666585088898,-1.8764674593119417,0.72150443409682,366
Control,Political,Other,0.048986790364231494,-1.1600957164761876,1.2026783378580104,336
Control,Ethnicity,Hispanic,-0.3206510529429944,-1.7323539208203729,1.1665776855589836,101
Control,Ethnicity,Black,-0.2916443265224027,-1.4039745869082927,0.8534106457965606,143
Control,Ethnicity,Asian,-1.076167575818903,-3.288310540497183,1.1989463241238205,60
Control,Ethnicity,Other,0.6736715142305524,-0.8429905363651965,2.197896815994431,93
Control,Income,Level-0,1.1045356030317441,-0.8517841358105551,3.087329644002185,178
Control,Income,Level-1,0.43912726869239216,-1.328869035096962,2.240399165090623,191
Control,Income,Level-2,1.0789876536957155,-0.9395689285985263,3.0970336509603316,126
Control,Income,Level-3,0.17137302511931504,-1.6350951487818808,2.0584828911138846,208
Control,Income,Other,0.8673954496132902,-1.1618851380884156,2.8762860531740335,71
Control,Reason:Unsure if safe,Checked,1.0780103621351675,-0.07359813370159604,2.272272703199487,237
Control,Reason:Unsure if effective,Checked,0.14982759955369965,-0.965877603631256,1.2512626262870625,186
Control,Reason:Not at risk,Checked,-0.9088754856091295,-2.309337741315487,0.5520283593639052,59
Control,Reason:Wait until others,Checked,-0.504351866659951,-1.7049281383004,0.6586318132273407,169
Control,Reason:Won't be ill,Checked,0.7424399283349019,-0.5583814755975145,2.1784850995005316,69
Control,Reason:Other effective treatments,Checked,-0.3487862623775739,-1.7620061155661364,1.1445915902895951,57
Control,Reason:Already acquired immunity,Checked,-0.5926390869127468,-1.8505832756816196,0.7196016126753965,54
Control,Reason:Approval may be rushed,Checked,-0.11907307361926801,-1.249312779301863,1.0063902797624216,187
Control,Reason:Other,Checked,1.4862948431534582,0.017921557708690763,3.06931375935551,38
Control,Reason:Do not know,Checked,1.240728884328883,-0.263387040156505,2.795821300958131,64
Treatment,Age,25-34,0.21723626882797376,-0.683184878465444,1.0797983673975788,480
Treatment,Age,35-44,0.4288412367038658,-0.5639849424253409,1.380144733127068,469
Treatment,Age,45-54,0.48342562413496953,-0.4682215145390509,1.4146700228260187,570
Treatment,Age,55-64,1.1455867813451852,0.14177170031044484,2.127974054348379,479
Treatment,Age,65+,0.5681190256340699,-0.5665678817703447,1.7079488336250965,748
Treatment,Gender,Female,-0.3064213398502403,-0.8508977812432759,0.22316059918241776,1705
