,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.01,-1.25,1.23,1035,1.0
"beta_Age[2,1]",-0.66,-1.86,0.54,958,1.0
"beta_Age[1,2]",-0.42,-1.61,0.75,1014,1.0
"beta_Age[2,2]",-0.04,-1.23,1.15,926,1.0
"beta_Age[1,3]",0.01,-1.24,1.21,1055,1.0
"beta_Age[2,3]",0.16,-1.01,1.34,940,1.0
"beta_Age[1,4]",0.36,-0.9,1.62,1011,1.0
"beta_Age[2,4]",0.24,-0.92,1.42,929,1.0
"beta_Age[1,5]",0.11,-1.14,1.35,1060,1.0
"beta_Age[2,5]",0.24,-0.92,1.42,944,1.0
"beta_Age[1,6]",-0.05,-1.34,1.21,1088,1.0
"beta_Age[2,6]",0.1,-1.07,1.29,955,1.0
mu_beta_Age[1],-0.22,-1.56,1.12,2242,1.0
mu_beta_Age[2],-0.15,-1.44,1.16,2236,1.0
mu_beta_Age[3],0.06,-1.26,1.4,1955,1.0
mu_beta_Age[4],0.2,-1.14,1.53,1800,1.0
mu_beta_Age[5],0.12,-1.17,1.4,2058,1.0
mu_beta_Age[6],0.02,-1.33,1.34,2272,1.0
"beta_Gender[1,1]",0.53,-1.2,2.27,1881,1.0
"beta_Gender[2,1]",0.17,-1.39,1.77,1593,1.0
"beta_Gender[1,2]",0.66,-1.1,2.43,1905,1.0
"beta_Gender[2,2]",0.33,-1.22,1.92,1590,1.0
"beta_Gender[1,3]",-1.29,-3.3,0.71,2714,1.0
"beta_Gender[2,3]",-0.59,-2.22,1.04,1737,1.0
mu_beta_Gender[1],0.23,-1.2,1.77,2464,1.0
mu_beta_Gender[2],0.33,-1.12,1.76,2335,1.0
mu_beta_Gender[3],-0.63,-2.12,0.88,2443,1.0
"beta_Education[1,1]",-0.18,-1.47,1.18,1319,1.0
"beta_Education[2,1]",-0.48,-1.62,0.75,874,1.0
"beta_Education[1,2]",0.05,-1.07,1.21,988,1.0
"beta_Education[2,2]",0.19,-0.89,1.36,801,1.0
"beta_Education[1,3]",0.26,-0.9,1.46,1021,1.0
"beta_Education[2,3]",0.17,-0.93,1.35,788,1.0
"beta_Education[1,4]",0.01,-1.12,1.21,1037,1.0
"beta_Education[2,4]",-0.08,-1.17,1.08,793,1.0
"beta_Education[1,5]",-0.32,-1.52,0.91,1080,1.0
"beta_Education[2,5]",-0.25,-1.33,0.92,795,1.0
"beta_Education[1,6]",0.08,-1.15,1.4,1078,1.0
"beta_Education[2,6]",0.35,-0.81,1.55,884,1.0
mu_beta_Education[1],-0.21,-1.55,1.12,2241,1.0
mu_beta_Education[2],0.08,-1.18,1.35,1873,1.0
mu_beta_Education[3],0.15,-1.2,1.49,2170,1.0
mu_beta_Education[4],-0.02,-1.4,1.29,2065,1.0
mu_beta_Education[5],-0.18,-1.47,1.17,1885,1.0
mu_beta_Education[6],0.14,-1.21,1.49,2133,1.0
"beta_Employment[1,1]",-0.09,-1.35,1.15,869,1.01
"beta_Employment[2,1]",-0.2,-1.48,1.03,966,1.01
"beta_Employment[1,2]",-0.01,-1.29,1.28,896,1.01
"beta_Employment[2,2]",-0.19,-1.49,1.04,953,1.01
"beta_Employment[1,3]",-0.31,-1.64,1.0,983,1.0
"beta_Employment[2,3]",0.27,-1.05,1.59,1003,1.0
"beta_Employment[1,4]",0.02,-1.35,1.34,1044,1.0
"beta_Employment[2,4]",0.03,-1.25,1.27,963,1.01
"beta_Employment[1,5]",0.29,-1.02,1.61,966,1.01
