,,,mean,2.5%,97.5%,counts
Control,Age,25-34,0.6978491870526824,0.3756416845142666,1.1779540309239411,249
Control,Age,35-44,1.0862651785882496,0.5191221940301569,2.036968465690985,226
Control,Age,45-54,1.5628909093345202,0.6793599767390751,3.1145090287472903,97
Control,Age,55-64,1.2304685026459128,0.5166102840175901,2.490424348699422,75
Control,Age,65+,1.069860004827944,0.40351592120507934,2.3017843949918113,121
Control,Gender,Female,1.1644544226431695,0.7495576163742205,1.7157719595543328,499
Control,Gender,Other,0.25280568535865267,0.027330193383304675,1.0283544904346313,9
Control,Education,Level-0,1.3267529978241703,0.42711156589966087,3.2574544791430595,52
Control,Education,Level-1,1.537943720285809,0.7415825647970719,2.8473544063576113,301
Control,Education,Level-2,1.910189802556564,0.8402458012925762,3.6743865678206302,133
Control,Education,Level-3,1.4894378373619004,0.6903339637941213,2.8067520315176515,234
Control,Education,Other,1.677292670141894,0.6005442889466776,3.7657057585879308,76
Control,Employment,Unemployed,1.1399018144164967,0.592085915364079,2.0179755172200506,117
Control,Employment,Student,0.8587731580226254,0.3990289898706372,1.6003693179511551,82
Control,Employment,Retired,1.1965639258396537,0.5227363565599469,2.384582860478158,110
Control,Employment,Other,1.5604384805450409,0.7498429331708052,2.8611547373852617,79
Control,Religion,Jewish,2.6453208499349183,0.433361904448145,8.867756404315202,27
Control,Religion,Muslim,0.9369438584782109,0.29773338879852546,2.2052600718157045,57
Control,Religion,Atheist,0.9970931401798987,0.46837815466241506,1.8658317925015526,77
Control,Religion,Other,0.9786452359535466,0.5980629106997098,1.4960120613631724,256
Control,Political,Democrat,0.7521712908531023,0.4314356251402093,1.2158160862083085,366
Control,Political,Other,1.260800402887461,0.7377649698704208,2.037944018139222,336
Control,Ethnicity,Hispanic,0.6723821120903408,0.3228225353271854,1.2575751517872689,101
Control,Ethnicity,Black,1.2668805701528507,0.6928369258477014,2.145772280814546,143
Control,Ethnicity,Asian,0.8336447919037422,0.348941796859545,1.6833422496340407,60
Control,Ethnicity,Other,2.3015603197894485,1.0381081322688968,4.3986998879751384,93
Control,Income,Level-0,1.9558064112172375,0.78498360450586,4.1219658863192,178
Control,Income,Level-1,1.848607329128021,0.8470387323045955,3.52437942714555,191
Control,Income,Level-2,1.589781344368489,0.7116354878198473,3.026220417775384,126
Control,Income,Level-3,1.433694261809225,0.6521047106901308,2.6949351224137996,208
Control,Income,Other,1.4783834576913388,0.5238826018315622,3.2973768414125204,71
Control,Reason:Unsure if safe,Checked,2.3574533157049617,1.4992278097299216,3.5428143426081147,237
Control,Reason:Unsure if effective,Checked,0.9280823214730956,0.5948805533533041,1.3729494733825451,186
Control,Reason:Not at risk,Checked,1.2302967765050097,0.640524163621397,2.1774388916616307,59
Control,Reason:Wait until others,Checked,1.078002140363102,0.6975385802702619,1.6148593546343857,169
Control,Reason:Won't be ill,Checked,1.4264547528501355,0.7459837156862387,2.484691322343951,69
Control,Reason:Other effective treatments,Checked,0.7204104059676785,0.38915553625770194,1.2366327333845897,57
Control,Reason:Already acquired immunity,Checked,0.7495973183689042,0.362388627252008,1.3808794687992536,54
Control,Reason:Approval may be rushed,Checked,1.0623383428612567,0.6904843665003245,1.5667213016845238,187
Control,Reason:Other,Checked,2.6513875138667866,1.1052750854017999,5.599073246647681,38
Control,Reason:Do not know,Checked,3.545838324866589,1.4350683591861748,7.561647201193515,64
Treatment,Age,25-34,1.9122159777508598,1.185167091736745,2.8978506670243176,480
Treatment,Age,35-44,2.3370354597084906,1.3911989284543584,3.669115768692977,469
Treatment,Age,45-54,2.5186167299997417,1.53127228247988,3.883613578242598,570
Treatment,Age,55-64,2.5329555515722477,1.5238906630331779,3.9309766007973845,479
Treatment,Age,65+,2.221129613143474,1.2857537829217898,3.5583298105303456,748
Treatment,Gender,Female,1.1826613489980717,0.9411003344705945,1.4559848310068708,1705
Treatment,Gender,Other,0.5177944058842785,0.19486342587301028,1.1349148421937085,30
Treatment,Education,Level-0,0.8277070531225392,0.4627202254596724,1.3936960723666383,137
Treatment,Education,Level-1,1.5841847105996587,1.10670709197367,2.1886719674185082,955
Treatment,Education,Level-2,1.5534888122030936,1.0578773863674416,2.231629480153864,508
Treatment,Education,Level-3,1.2021697900834678,0.8410977711775744,1.6744620559164978,664
Treatment,Education,Other,1.8933839625307853,1.0675598865412932,3.142979561281899,175
Treatment,Employment,Unemployed,1.0236177783342961,0.68923087455547,1.4777055609293768,257
Treatment,Employment,Student,1.676336914629045,0.898589564734706,2.8447978989605405,94
Treatment,Employment,Retired,1.2753023561884873,0.8879924900600051,1.7628887359263041,726
Treatment,Employment,Other,1.3286203230462357,0.9546820627447734,1.8039443353269626,380
Treatment,Religion,Jewish,0.6535682106717181,0.36994040908720977,1.0678933993127542,138
Treatment,Religion,Muslim,0.5129661844881889,0.22232315919861442,1.0105865050435578,102
Treatment,Religion,Atheist,0.8792594888941965,0.6161113556300508,1.2057266862480183,304
Treatment,Religion,Other,0.9843361099795549,0.7558113648170613,1.26768995221468,640
Treatment,Political,Democrat,0.8915300530305744,0.6797994733352044,1.1379188133579057,1023
Treatment,Political,Other,1.1612209840426926,0.8985904585517275,1.4840984327431586,987
Treatment,Ethnicity,Hispanic,0.908306853340151,0.5782791219909261,1.358172885658534,211
Treatment,Ethnicity,Black,1.066578754583094,0.7510105468622992,1.4669497658138944,367
Treatment,Ethnicity,Asian,0.5641524613272055,0.3154041435091982,0.9545562472179211,127
Treatment,Ethnicity,Other,0.9770096295670397,0.629721879239727,1.4354433413081595,194
Treatment,Income,Level-0,1.022212740006019,0.6567866415054396,1.5202623533294697,383
Treatment,Income,Level-1,1.1119954445223592,0.7779512638257785,1.5461009696415549,680
Treatment,Income,Level-2,0.8351397884159928,0.577954131247909,1.1667122205084384,499
Treatment,Income,Level-3,1.0033825196389863,0.7099250687470248,1.3696576262593132,671
Treatment,Income,Other,0.9140466903869204,0.5555105934573765,1.4348902081586814,160
Treatment,Reason:Unsure if safe,Checked,1.5924444181863295,1.2488465889155238,2.019684782592672,886
Treatment,Reason:Unsure if effective,Checked,1.0427734983877561,0.8267132452056649,1.3023850267561916,708
Treatment,Reason:Not at risk,Checked,1.3608274614525007,0.9036158345868182,1.9912046994582528,146
Treatment,Reason:Wait until others,Checked,0.9333825703436688,0.7427874441755324,1.167118155852285,552
Treatment,Reason:Won't be ill,Checked,1.2526447807977463,0.8326375804396742,1.8097193079912606,148
Treatment,Reason:Other effective treatments,Checked,0.9932729843546709,0.6750808459829458,1.3988881053808164,156
Treatment,Reason:Already acquired immunity,Checked,0.756496487140532,0.48755736406788186,1.1133046542894078,129
Treatment,Reason:Approval may be rushed,Checked,1.1046918504916434,0.8814453711156451,1.375675687457781,718
Treatment,Reason:Other,Checked,1.7154667344649046,1.0667733328017988,2.6514896690350898,92
Treatment,Reason:Do not know,Checked,2.1676994948751904,1.3728746363139892,3.2773660829990856,184
Treatment-Control,Age,25-34,2.989248244047119,1.3364599638593877,5.747186871230219,729
Treatment-Control,Age,35-44,2.425990214059078,0.9665477110206514,5.059049072380145,695
Treatment-Control,Age,45-54,1.867661045095951,0.7063033796553029,4.1872492524672795,667
