,Mean,2.5%,97.5%,ESS,Rhat
beta[1],0.7,-0.03,1.48,4896,1.0
beta[2],0.38,-0.6,1.36,3250,1.0
beta[3],0.99,0.01,1.98,2765,1.0
beta[4],0.78,0.31,1.28,3609,1.0
beta[5],-3.35,-4.15,-2.63,2761,1.0
gamma[1],0.2,0.03,0.41,3106,1.0
gamma[2],0.26,0.07,0.46,4244,1.0
gamma[3],0.1,0.0,0.29,4879,1.0
gamma[4],0.17,0.02,0.36,4143,1.0
gamma[5],0.27,0.09,0.44,4167,1.0
delta[1],0.23,0.16,0.31,3426,1.0
delta[2],0.31,0.19,0.45,3759,1.0
delta[3],0.46,0.3,0.6,2996,1.0
alpha[1],0.51,0.37,0.66,5463,1.0
alpha[2],2.62,2.38,2.87,5490,1.0
alpha[3],4.11,3.74,4.51,5432,1.0
