,mean,2.5%,97.5%
beta[1],2.169559310879226,0.9666927672073891,4.390862175361285
beta[2],1.6608378989044994,0.5463338002080806,3.884854972762652
beta[3],3.0501180898736044,1.0127269602506253,7.202665074140636
beta[4],2.238964950626397,1.3644209930184252,3.593344358805663
beta[5],0.03777462553427984,0.015819235494471152,0.07222740225429117
gamma[1],0.20492714684699428,0.027879545984854953,0.40739088023476555
gamma[2],0.2598295296937432,0.06536988017179482,0.46244404827925617
gamma[3],0.099418771295008,0.003685228706780856,0.29052410763435726
gamma[4],0.16542092215757165,0.01834736495371827,0.3593386162832703
gamma[5],0.27040363000668255,0.0902528113110099,0.4390271956041786
