,mean,2.5%,97.5%
beta_img[1],0.27171156378308803,0.03140874166630563,0.5063772621526758
beta_img[2],-0.5297660145731462,-0.9639689136653533,-0.08149618219485803
beta_img[3],-0.4727918920470519,-0.8793697642468916,-0.05842965140417088
beta_img[4],-0.019698353400990715,-0.18895418924697197,0.14586931130028977
beta_img[5],0.12336842062549284,-0.034660759391901684,0.28589909442190886
gamma[1],0.41052871590480045,0.1861807769840471,0.6437346100472221
gamma[2],0.18721175098136977,0.012384352801893319,0.4214786029822126
gamma[3],0.18207963956810178,0.015311722487736296,0.39395978596542824
gamma[4],0.10683670177163257,0.004552343320119614,0.2919932856188
gamma[5],0.1133431917740941,0.005390585015088392,0.28562537318865633
