,Mean,2.5%,97.5%,ESS,Rhat
beta[1],3.75,3.27,4.26,2320,1.0
beta[2],0.95,0.35,1.59,2451,1.0
beta[3],-1.08,-1.72,-0.47,2246,1.0
beta[4],0.53,0.26,0.81,4268,1.0
beta[5],-1.87,-2.3,-1.47,2360,1.0
gamma[1],0.36,0.28,0.45,3646,1.0
gamma[2],0.26,0.18,0.34,4296,1.0
gamma[3],0.09,0.01,0.18,2542,1.0
gamma[4],0.08,0.01,0.17,2594,1.0
gamma[5],0.21,0.12,0.29,5669,1.0
delta[1],0.27,0.23,0.32,2069,1.0
delta[2],0.19,0.14,0.25,4083,1.0
delta[3],0.54,0.47,0.6,2150,1.0
alpha[1],0.47,0.37,0.55,4666,1.0
alpha[2],2.4,2.27,2.54,4658,1.0
alpha[3],3.83,3.63,4.02,4351,1.0
