,mean,2.5%,97.5%
beta_img[1],2.022922159004984,1.8031469192429037,2.274207188886136
beta_img[2],1.0539439611671821,0.8677295579470563,1.2842340044928104
beta_img[3],1.0020695253225975,0.8260148401201329,1.1942942338295413
beta_img[4],0.9644873779924495,0.8957328092690432,1.0398059601306688
beta_img[5],1.1670451285065806,1.0460234221267575,1.2968890358403593
gamma[1],0.41859569086828974,0.28213015471876723,0.5577569086295575
gamma[2],0.2813518493653574,0.14221686061239797,0.4213195085746946
gamma[3],0.035154399287182406,0.001075467000720667,0.11203666204349584
gamma[4],0.10790236286449947,0.007768850581199188,0.24490557889797393
gamma[5],0.15699569761467064,0.02361176286993794,0.30393785146710206
