,mean,2.5%,97.5%
beta[1],3.7516180711155114,3.2700765037293187,4.255898703734587
beta[2],0.9472064326198042,0.3549346566747037,1.5859401445307877
beta[3],-1.0834868492541383,-1.7218836866375133,-0.47028197765781693
beta[4],0.5346382416433899,0.2564044619814254,0.8052511549288968
beta[5],-1.868307981206321,-2.297816075446297,-1.4660808663290892
gamma[1],0.3620343950717142,0.277603154573766,0.4490355798844486
gamma[2],0.26084760620787173,0.17680951732065758,0.3438997367488148
gamma[3],0.08911953030168486,0.010867631650266992,0.17860825756546037
gamma[4],0.0820303502161362,0.006552155948368632,0.17396002845216227
gamma[5],0.20596811820259472,0.11822048540746424,0.2896367686142216
