,,,,mean
Control,1,Vaccine Intent,p[1],0.137
Control,1,Vaccine Intent,p[2],0.165
Control,1,Vaccine Intent,p[3],0.55
Control,1,Vaccine Intent,p[4],0.078
Control,1,Vaccine Intent,p[5],0.07
Control,1,Agreement,p[1],0.018
Control,1,Agreement,p[2],0.036
Control,1,Agreement,p[3],0.382
Control,1,Agreement,p[4],0.362
Control,1,Agreement,p[5],0.202
Control,1,Trust,p[1],0.022
Control,1,Trust,p[2],0.036
Control,1,Trust,p[3],0.334
Control,1,Trust,p[4],0.414
Control,1,Trust,p[5],0.194
Control,1,Fact-check,p[1],0.059
Control,1,Fact-check,p[2],0.115
Control,1,Fact-check,p[3],0.303
Control,1,Fact-check,p[4],0.306
Control,1,Fact-check,p[5],0.217
Control,1,Share,p[1],0.261
Control,1,Share,p[2],0.146
Control,1,Share,p[3],0.313
Control,1,Share,p[4],0.183
Control,1,Share,p[5],0.097
Control,2,Vaccine Intent,p[1],0.101
Control,2,Vaccine Intent,p[2],0.135
Control,2,Vaccine Intent,p[3],0.607
Control,2,Vaccine Intent,p[4],0.085
Control,2,Vaccine Intent,p[5],0.072
Control,2,Agreement,p[1],0.029
Control,2,Agreement,p[2],0.05
Control,2,Agreement,p[3],0.481
Control,2,Agreement,p[4],0.28
Control,2,Agreement,p[5],0.16
Control,2,Trust,p[1],0.028
Control,2,Trust,p[2],0.074
Control,2,Trust,p[3],0.44
Control,2,Trust,p[4],0.319
Control,2,Trust,p[5],0.139
Control,2,Fact-check,p[1],0.104
Control,2,Fact-check,p[2],0.116
Control,2,Fact-check,p[3],0.347
Control,2,Fact-check,p[4],0.243
Control,2,Fact-check,p[5],0.19
Control,2,Share,p[1],0.323
Control,2,Share,p[2],0.125
Control,2,Share,p[3],0.306
Control,2,Share,p[4],0.151
Control,2,Share,p[5],0.095
Control,3,Vaccine Intent,p[1],0.181
Control,3,Vaccine Intent,p[2],0.218
Control,3,Vaccine Intent,p[3],0.475
Control,3,Vaccine Intent,p[4],0.069
Control,3,Vaccine Intent,p[5],0.057
Control,3,Agreement,p[1],0.023
Control,3,Agreement,p[2],0.032
Control,3,Agreement,p[3],0.355
Control,3,Agreement,p[4],0.365
Control,3,Agreement,p[5],0.225
Control,3,Trust,p[1],0.019
Control,3,Trust,p[2],0.033
Control,3,Trust,p[3],0.313
Control,3,Trust,p[4],0.392
Control,3,Trust,p[5],0.243
Control,3,Fact-check,p[1],0.107
Control,3,Fact-check,p[2],0.109
Control,3,Fact-check,p[3],0.305
Control,3,Fact-check,p[4],0.287
Control,3,Fact-check,p[5],0.192
Control,3,Share,p[1],0.249
Control,3,Share,p[2],0.116
Control,3,Share,p[3],0.324
Control,3,Share,p[4],0.197
Control,3,Share,p[5],0.114
Control,4,Vaccine Intent,p[1],0.101
Control,4,Vaccine Intent,p[2],0.132
Control,4,Vaccine Intent,p[3],0.61
Control,4,Vaccine Intent,p[4],0.08
Control,4,Vaccine Intent,p[5],0.077
Control,4,Agreement,p[1],0.039
Control,4,Agreement,p[2],0.064
Control,4,Agreement,p[3],0.495
Control,4,Agreement,p[4],0.268
