,Mean,2.5%,97.5%,ESS,Rhat
beta,5.87,5.29,6.45,3619,1.0
beta_img[1],0.19,0.0,0.38,4958,1.0
beta_img[2],-0.78,-1.13,-0.43,3190,1.0
beta_img[3],-0.37,-0.69,-0.05,3618,1.0
beta_img[4],-0.16,-0.32,0.01,3931,1.0
beta_img[5],0.06,-0.1,0.22,3736,1.0
gamma[1],0.22,0.05,0.39,3187,1.0
gamma[2],0.41,0.24,0.59,3880,1.0
gamma[3],0.1,0.01,0.23,3969,1.0
gamma[4],0.18,0.03,0.33,4715,1.0
gamma[5],0.09,0.0,0.22,4787,1.0
delta[1],0.37,0.32,0.43,4423,1.0
delta[2],0.29,0.22,0.36,5117,1.0
delta[3],0.34,0.26,0.41,4578,1.0
alpha[1],0.58,0.26,0.93,3833,1.0
alpha[2],3.15,2.74,3.56,4154,1.0
alpha[3],4.92,4.46,5.38,3968,1.0
