,mean,2.5%,97.5%
beta_img[1],1.2155182350473719,1.0030857275887421,1.4587598955094756
beta_img[2],0.4657996360255587,0.3239304330128449,0.6468628703064986
beta_img[3],0.6985529297671329,0.5012832826296878,0.9463703066159697
beta_img[4],0.8564956462916069,0.7257531313184191,1.008950061929501
beta_img[5],1.064019313922791,0.9028939720175003,1.2423425773998598
gamma[1],0.2231073938948005,0.054245986155554475,0.3891029744244434
gamma[2],0.41449110013757917,0.2419606903304303,0.5892875690716209
gamma[3],0.09603186954545495,0.005732222275550486,0.23165246857680988
gamma[4],0.17766058314975755,0.033605906871166005,0.3262996030234955
gamma[5],0.08870905327240768,0.0035236259530297374,0.22017163619923702
